# Saved on 2025-06-24T17:21:07.181974
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -10.75
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.005
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,4.2180000000e-07,2.7878000000e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.0800000000e-01,7.3050000000e-05,8.1466000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.1500000000e-01,1.6182000000e-04,1.7968000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.2300000000e-01,2.7020000000e-04,3.0210000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.3000000000e-01,4.0578000000e-04,4.4980000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-5.3800000000e-01,5.7046000000e-04,6.3186000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-6.4500000000e-01,7.6638000000e-04,8.4970000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-7.5300000000e-01,1.0106000000e-03,1.1126000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-8.6000000000e-01,1.2992000000e-03,1.4172000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-9.6800000000e-01,1.6484000000e-03,1.7772000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.0750000000e+00,2.0412000000e-03,2.1710000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.1830000000e+00,2.4556000000e-03,2.5754000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.2900000000e+00,2.8882000000e-03,3.0122000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.3980000000e+00,3.3308000000e-03,3.4534000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.5050000000e+00,3.7690000000e-03,3.9006000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.6130000000e+00,4.2386000000e-03,4.3544000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.7200000000e+00,4.6944000000e-03,4.8254000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.8280000000e+00,5.0004000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.9350000000e+00,5.0004000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.0430000000e+00,5.0004000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.1500000000e+00,5.0004000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.2580000000e+00,5.0004000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.3650000000e+00,5.0006000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.4730000000e+00,5.0004000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.5800000000e+00,5.0004000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.6880000000e+00,5.0004000000e-03,5.0008000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.7950000000e+00,5.0006000000e-03,5.0004000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
