# Saved on 2025-06-18T14:32:24.254926
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 60
#   SampleRate: 60
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.4000000000e-09,7.4400000000e-10
-1.5000000000e-02,7.0291000000e-06,1.7058000000e-07
-3.0000000000e-02,1.3882000000e-05,3.4958000000e-07
-4.5000000000e-02,2.1196000000e-05,5.3398000000e-07
-6.0000000000e-02,2.8468000000e-05,7.2908000000e-07
-7.5000000000e-02,3.5294000000e-05,9.4262000000e-07
-9.0000000000e-02,4.3000000000e-05,1.1925000000e-06
-1.0500000000e-01,5.0564000000e-05,1.4577000000e-06
-1.2000000000e-01,5.8048000000e-05,1.7453000000e-06
-1.3500000000e-01,6.5328000000e-05,2.0579000000e-06
-1.5000000000e-01,7.3280000000e-05,2.3366000000e-06
-1.6500000000e-01,8.0712000000e-05,2.7113000000e-06
-1.8000000000e-01,8.8404000000e-05,3.1140000000e-06
-1.9500000000e-01,9.6712000000e-05,3.5115000000e-06
-2.1000000000e-01,1.0522000000e-04,3.9432000000e-06
-2.2500000000e-01,1.1346000000e-04,4.4559000000e-06
-2.4000000000e-01,1.2160000000e-04,4.9545000000e-06
-2.5500000000e-01,1.3022000000e-04,5.4417000000e-06
-2.7000000000e-01,1.3840000000e-04,6.0559000000e-06
-2.8500000000e-01,1.4700000000e-04,6.6690000000e-06
-3.0000000000e-01,1.5610000000e-04,7.3227000000e-06
-3.1500000000e-01,1.6488000000e-04,8.0300000000e-06
-3.3000000000e-01,1.7378000000e-04,8.7326000000e-06
-3.4500000000e-01,1.8272000000e-04,9.5251000000e-06
-3.6000000000e-01,1.9142000000e-04,1.0374000000e-05
-3.7500000000e-01,2.0150000000e-04,1.1170000000e-05
-3.9000000000e-01,2.1102000000e-04,1.2116000000e-05
-4.0500000000e-01,2.2058000000e-04,1.3102000000e-05
-4.2000000000e-01,2.3012000000e-04,1.4116000000e-05
-4.3500000000e-01,2.3988000000e-04,1.5168000000e-05
-4.5000000000e-01,2.4968000000e-04,1.6368000000e-05
-4.6500000000e-01,2.6028000000e-04,1.7546000000e-05
-4.8000000000e-01,2.7026000000e-04,1.8896000000e-05
-4.9500000000e-01,2.8096000000e-04,2.0252000000e-05
-5.1000000000e-01,2.9424000000e-04,2.1604000000e-05
-5.2500000000e-01,3.0422000000e-04,2.3064000000e-05
-5.4000000000e-01,3.1282000000e-04,2.4578000000e-05
-5.5500000000e-01,3.2638000000e-04,2.6248000000e-05
-5.7000000000e-01,3.3370000000e-04,2.7950000000e-05
-5.8500000000e-01,3.4478000000e-04,2.9674000000e-05
-6.0000000000e-01,3.5532000000e-04,3.1616000000e-05
-6.1500000000e-01,3.6702000000e-04,3.3638000000e-05
-6.3000000000e-01,3.7894000000e-04,3.5654000000e-05
