# Saved on 2025-06-18T14:38:53.826621
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 60
#   SampleRate: 60
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,5.7800000000e-10,1.8760000000e-09,7.1260000000e-09,1.6100000000e-10,1.6642000000e-08
-1.5000000000e-02,2.1780000000e-07,5.3238000000e-07,6.5832000000e-07,1.0905000000e-06,1.2584000000e-06
-3.0000000000e-02,4.5476000000e-07,1.0647000000e-06,1.3325000000e-06,2.1335000000e-06,2.6157000000e-06
-4.5000000000e-02,7.0080000000e-07,1.6745000000e-06,2.0877000000e-06,3.2917000000e-06,3.9239000000e-06
-6.0000000000e-02,9.6486000000e-07,2.2663000000e-06,2.8441000000e-06,4.4199000000e-06,5.3564000000e-06
-7.5000000000e-02,1.2327000000e-06,2.9121000000e-06,3.6329000000e-06,5.6044000000e-06,6.8106000000e-06
-9.0000000000e-02,1.5435000000e-06,3.5597000000e-06,4.4919000000e-06,6.8520000000e-06,8.3382000000e-06
-1.0500000000e-01,1.8708000000e-06,4.2569000000e-06,5.3614000000e-06,8.1890000000e-06,9.8619000000e-06
-1.2000000000e-01,2.2371000000e-06,5.0290000000e-06,6.3974000000e-06,9.5406000000e-06,1.1456000000e-05
-1.3500000000e-01,2.6002000000e-06,5.8267000000e-06,7.4037000000e-06,1.1000000000e-05,1.3172000000e-05
-1.5000000000e-01,3.0374000000e-06,6.6737000000e-06,8.5653000000e-06,1.2476000000e-05,1.4982000000e-05
-1.6500000000e-01,3.4721000000e-06,7.5554000000e-06,9.7448000000e-06,1.4024000000e-05,1.6764000000e-05
-1.8000000000e-01,3.9793000000e-06,8.5075000000e-06,1.1028000000e-05,1.5616000000e-05,1.8688000000e-05
-1.9500000000e-01,4.5122000000e-06,9.4763000000e-06,1.2392000000e-05,1.7330000000e-05,2.0638000000e-05
-2.1000000000e-01,5.1071000000e-06,1.0556000000e-05,1.3818000000e-05,1.9124000000e-05,2.2610000000e-05
-2.2500000000e-01,5.7132000000e-06,1.1710000000e-05,1.5276000000e-05,2.0978000000e-05,2.4774000000e-05
-2.4000000000e-01,6.3671000000e-06,1.2884000000e-05,1.7012000000e-05,2.3006000000e-05,2.7072000000e-05
-2.5500000000e-01,7.0770000000e-06,1.4316000000e-05,1.8684000000e-05,2.5098000000e-05,2.9386000000e-05
-2.7000000000e-01,7.8925000000e-06,1.5666000000e-05,2.0420000000e-05,2.7208000000e-05,3.1834000000e-05
-2.8500000000e-01,8.7318000000e-06,1.7126000000e-05,2.2202000000e-05,2.9556000000e-05,3.4458000000e-05
-3.0000000000e-01,9.6035000000e-06,1.8552000000e-05,2.4138000000e-05,3.1990000000e-05,3.7098000000e-05
-3.1500000000e-01,1.0540000000e-05,2.0252000000e-05,2.6310000000e-05,3.4454000000e-05,4.0324000000e-05
