# Saved on 2025-06-24T17:16:00.664593
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,9.3656000000e-08,5.4436000000e-08,9.1109000000e-08,4.5460000000e-08,9.8420000000e-08
-1.5000000000e-02,3.4107000000e-06,3.3902000000e-06,3.4164000000e-06,3.2616000000e-06,3.7221000000e-06
-3.0000000000e-02,6.6954000000e-06,6.5748000000e-06,6.7136000000e-06,6.7167000000e-06,7.2905000000e-06
-4.5000000000e-02,1.0226000000e-05,1.0092000000e-05,1.0374000000e-05,1.0084000000e-05,1.1258000000e-05
-6.0000000000e-02,1.3590000000e-05,1.3478000000e-05,1.3770000000e-05,1.3592000000e-05,1.4996000000e-05
-7.5000000000e-02,1.7288000000e-05,1.7288000000e-05,1.7466000000e-05,1.7080000000e-05,1.9226000000e-05
-9.0000000000e-02,2.1116000000e-05,2.0942000000e-05,2.1320000000e-05,2.1002000000e-05,2.3342000000e-05
-1.0500000000e-01,2.4552000000e-05,2.4790000000e-05,2.5096000000e-05,2.4850000000e-05,2.7576000000e-05
-1.2000000000e-01,2.8884000000e-05,2.9036000000e-05,2.9414000000e-05,2.8834000000e-05,3.2424000000e-05
-1.3500000000e-01,3.3006000000e-05,3.3228000000e-05,3.3738000000e-05,3.3296000000e-05,3.7280000000e-05
-1.5000000000e-01,3.6988000000e-05,3.7616000000e-05,3.8094000000e-05,3.7676000000e-05,4.2160000000e-05
-1.6500000000e-01,4.1810000000e-05,4.2464000000e-05,4.2938000000e-05,4.2280000000e-05,4.7648000000e-05
-1.8000000000e-01,4.6346000000e-05,4.7146000000e-05,4.7694000000e-05,4.7344000000e-05,5.2650000000e-05
-1.9500000000e-01,5.1026000000e-05,5.2138000000e-05,5.2294000000e-05,5.2242000000e-05,5.8492000000e-05
-2.1000000000e-01,5.6284000000e-05,5.7592000000e-05,5.7822000000e-05,5.7560000000e-05,6.4624000000e-05
-2.2500000000e-01,6.1566000000e-05,6.2802000000e-05,6.3168000000e-05,6.3198000000e-05,7.0498000000e-05
-2.4000000000e-01,6.6886000000e-05,6.8626000000e-05,6.8764000000e-05,6.8660000000e-05,7.6630000000e-05
-2.5500000000e-01,7.2886000000e-05,7.4694000000e-05,7.4904000000e-05,7.4640000000e-05,8.3468000000e-05
-2.7000000000e-01,7.8736000000e-05,8.0552000000e-05,8.0884000000e-05,8.0950000000e-05,8.9968000000e-05
-2.8500000000e-01,8.4776000000e-05,8.7158000000e-05,8.7242000000e-05,8.7280000000e-05,9.6934000000e-05
-3.0000000000e-01,9.1566000000e-05,9.3814000000e-05,9.4192000000e-05,9.3852000000e-05,1.0402000000e-04
-3.1500000000e-01,9.7936000000e-05,1.0066000000e-04,1.0078000000e-04,1.0038000000e-04,1.1198000000e-04
