# Saved on 2025-06-25T14:24:50.249769
# Name: Evan
# Sample_ID: Batch3_F5_TPTE35
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -10
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,4.2114195821e-04,5.0196453230e-04
1.1440000000e-03,4.1165982111e-04,5.0057074986e-04
2.1440000000e-03,4.1106548451e-04,5.0887556426e-04
3.1440000000e-03,4.1276489355e-04,5.1332051953e-04
4.1440000000e-03,4.1208972107e-04,5.0984537665e-04
5.1440000000e-03,4.1282186430e-04,5.0893959269e-04
6.1440000000e-03,4.1623992729e-04,5.1225360949e-04
7.1440000000e-03,4.2008647142e-04,5.1909722970e-04
8.1440000000e-03,4.1716913984e-04,5.1072482165e-04
9.1440000000e-03,4.2158331780e-04,5.1204522606e-04
1.0144000000e-02,4.2251733248e-04,5.0350081438e-04
1.1144000000e-02,4.2968636990e-04,5.0356145948e-04
1.2144000000e-02,4.2362131353e-04,4.9840738939e-04
1.3144000000e-02,4.2214058340e-04,5.0090100558e-04
1.4144000000e-02,4.1562070692e-04,5.0679602282e-04
1.5144000000e-02,4.1632843931e-04,5.0429531257e-04
1.6144000000e-02,4.1074712499e-04,5.0274531532e-04
1.7144000000e-02,4.1567924200e-04,5.0371541874e-04
1.8144000000e-02,4.1940718802e-04,5.1279646868e-04
1.9144000000e-02,4.1546169086e-04,5.0071848818e-04
2.0144000000e-02,4.1413011786e-04,5.0125046982e-04
2.1144000000e-02,4.1639897972e-04,4.8270281695e-04
2.2144000000e-02,4.2483483412e-04,4.9389411288e-04
2.3144000000e-02,4.2648192903e-04,4.8966106988e-04
2.4144000000e-02,4.3713051127e-04,4.9202208174e-04
2.5144000000e-02,4.1705930926e-04,4.9164180382e-04
2.6144000000e-02,4.2479226977e-04,4.8853151384e-04
2.7144000000e-02,4.1878771299e-04,4.8880225222e-04
2.8144000000e-02,4.2700456106e-04,4.8248679377e-04
2.9144000000e-02,4.2743886297e-04,4.8790396249e-04
