# Saved on 2025-06-24T11:07:40.664281
# Name: Evan
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.9753915189e-04
1.1440000000e-03,4.0627346607e-04
2.1440000000e-03,4.0139406337e-04
3.1440000000e-03,4.0105674998e-04
4.1440000000e-03,3.8831432903e-04
5.1440000000e-03,3.9142109017e-04
6.1440000000e-03,3.8515001506e-04
7.1440000000e-03,3.9346516132e-04
8.1440000000e-03,3.9587608626e-04
9.1440000000e-03,3.9439255488e-04
1.0144000000e-02,3.9380331145e-04
1.1144000000e-02,3.9427464799e-04
1.2144000000e-02,3.9849397581e-04
1.3144000000e-02,4.0196955524e-04
1.4144000000e-02,4.0576480387e-04
1.5144000000e-02,3.9178947191e-04
1.6144000000e-02,4.0363956941e-04
1.7144000000e-02,3.9688322431e-04
1.8144000000e-02,4.0466380597e-04
1.9144000000e-02,4.0329377953e-04
2.0144000000e-02,4.0076494770e-04
2.1144000000e-02,3.9862559788e-04
2.2144000000e-02,3.9542992454e-04
2.3144000000e-02,3.8997230149e-04
2.4144000000e-02,3.9509344788e-04
2.5144000000e-02,3.9662165364e-04
2.6144000000e-02,3.8765130739e-04
2.7144000000e-02,3.9543232560e-04
2.8144000000e-02,3.9558020944e-04
2.9144000000e-02,4.0210979932e-04
3.0144000000e-02,4.0171413275e-04
3.1144000000e-02,4.0787122998e-04
3.2144000000e-02,4.0344279114e-04
3.3144000000e-02,3.9928112528e-04
3.4144000000e-02,3.9974893298e-04
3.5144000000e-02,4.0110029659e-04
3.6144000000e-02,4.0039642045e-04
3.7144000000e-02,3.9568156353e-04
3.8144000000e-02,3.9279235352e-04
3.9144000000e-02,3.8818976464e-04
4.0144000000e-02,4.0160328354e-04
4.1144000000e-02,3.9447892050e-04
4.2144000000e-02,3.9675454900e-04
4.3144000000e-02,3.8925853005e-04
4.4144000000e-02,3.9405818825e-04
4.5144000000e-02,3.9301699871e-04
4.6144000000e-02,3.9802391257e-04
4.7144000000e-02,4.0534465370e-04
4.8144000000e-02,4.0482595068e-04
4.9144000000e-02,3.9774571633e-04
5.0144000000e-02,4.0018137952e-04
5.1144000000e-02,4.0697534132e-04
5.2144000000e-02,4.0317827370e-04
5.3144000000e-02,4.0826351324e-04
5.4144000000e-02,3.8925769331e-04
5.5144000000e-02,3.9354119508e-04
5.6144000000e-02,3.8735313865e-04
5.7144000000e-02,3.9872327761e-04
5.8144000000e-02,3.9517235564e-04
5.9144000000e-02,3.9600374294e-04
6.0144000000e-02,3.9203860069e-04
6.1144000000e-02,3.9295297029e-04
6.2144000000e-02,3.9967104385e-04
6.3144000000e-02,4.0095241275e-04
6.4144000000e-02,4.1079361836e-04
6.5144000000e-02,3.9354275941e-04
6.6144000000e-02,4.0036517021e-04
6.7144000000e-02,3.9788468712e-04
6.8144000000e-02,4.0471655666e-04
6.9144000000e-02,4.0117069148e-04
7.0144000000e-02,4.0248032747e-04
7.1144000000e-02,4.0107370296e-04
7.2144000000e-02,3.9084639866e-04
7.3144000000e-02,3.9116759581e-04
7.4144000000e-02,3.9506801841e-04
7.5144000000e-02,4.0118764446e-04
7.6144000000e-02,3.9217076846e-04
7.7144000000e-02,3.9099115384e-04
7.8144000000e-02,3.9252703573e-04
7.9144000000e-02,4.0658109356e-04
8.0144000000e-02,4.0141694626e-04
8.1144000000e-02,4.0878418076e-04
8.2144000000e-02,3.9917526010e-04
8.3144000000e-02,3.9991049562e-04
8.4144000000e-02,4.0270850150e-04
8.5144000000e-02,4.0212933527e-04
8.6144000000e-02,4.0531271225e-04
8.7144000000e-02,4.0125396481e-04
8.8144000000e-02,3.9613634726e-04
8.9144000000e-02,3.8808699173e-04
9.0144000000e-02,4.0489198000e-04
9.1144000000e-02,3.9707829274e-04
9.2144000000e-02,3.9995178668e-04
9.3144000000e-02,3.9150549128e-04
9.4144000000e-02,3.9685506636e-04
9.5144000000e-02,3.9697875764e-04
9.6144000000e-02,4.0096132579e-04
9.7144000000e-02,4.0605926188e-04
9.8144000000e-02,4.0832812374e-04
9.9144000000e-02,4.0231465391e-04
1.0014400000e-01,4.0206061385e-04
1.0114400000e-01,4.0915529098e-04
1.0214400000e-01,4.0597740735e-04
1.0314400000e-01,4.0372495278e-04
1.0414400000e-01,3.9322003431e-04
1.0514400000e-01,3.9481878048e-04
1.0614400000e-01,3.8929825678e-04
1.0714400000e-01,3.9677732275e-04
1.0814400000e-01,3.9835063944e-04
1.0914400000e-01,3.9767248381e-04
1.1014400000e-01,3.9507394831e-04
1.1114400000e-01,3.9639802708e-04
1.1214400000e-01,4.0185746911e-04
1.1314400000e-01,4.0434064431e-04
1.1414400000e-01,4.0920222091e-04
1.1514400000e-01,3.9620124880e-04
1.1614400000e-01,4.0285241994e-04
1.1714400000e-01,4.0030594391e-04
1.1814400000e-01,4.0885628550e-04
1.1914400000e-01,4.0303155401e-04
1.2014400000e-01,4.0495786379e-04
1.2114400000e-01,3.9516740799e-04
1.2214400000e-01,3.8874608435e-04
1.2314400000e-01,3.8704511098e-04
1.2414400000e-01,3.9665079385e-04
1.2514400000e-01,3.9840550016e-04
1.2614400000e-01,3.9128677599e-04
1.2714400000e-01,3.9385136915e-04
1.2814400000e-01,3.9589362132e-04
1.2914400000e-01,4.0631304728e-04
1.3014400000e-01,4.0413211536e-04
1.3114400000e-01,4.1076662455e-04
1.3214400000e-01,4.0132861614e-04
1.3314400000e-01,4.0204635297e-04
1.3414400000e-01,4.0293980419e-04
1.3514400000e-01,4.0505314246e-04
1.3614400000e-01,4.0306305891e-04
1.3714400000e-01,3.9916747482e-04
1.3814400000e-01,3.9473041397e-04
1.3914400000e-01,3.9206093788e-04
1.4014400000e-01,4.0260587411e-04
1.4114400000e-01,3.9760630898e-04
1.4214400000e-01,3.9822200051e-04
1.4314400000e-01,3.9043687138e-04
1.4414400000e-01,3.9572056266e-04
1.4514400000e-01,3.9712213038e-04
1.4614400000e-01,4.0077851736e-04
1.4714400000e-01,4.0667240683e-04
1.4814400000e-01,4.0851333324e-04
1.4914400000e-01,4.0277369408e-04
1.5014400000e-01,4.0261988033e-04
1.5114400000e-01,4.0972699935e-04
1.5214400000e-01,4.0570386773e-04
1.5314400000e-01,4.0528371755e-04
1.5414400000e-01,3.9395104977e-04
1.5514400000e-01,3.9639180613e-04
1.5614400000e-01,3.8920126826e-04
1.5714400000e-01,3.9857019146e-04
1.5814400000e-01,3.9910413761e-04
1.5914400000e-01,3.9734040911e-04
1.6014400000e-01,3.9588045183e-04
1.6114400000e-01,3.9592130634e-04
1.6214400000e-01,4.0130766138e-04
1.6314400000e-01,4.0420676669e-04
1.6414400000e-01,4.0864437324e-04
1.6514400000e-01,3.9794504119e-04
1.6614400000e-01,4.0251878090e-04
1.6714400000e-01,4.0082250052e-04
1.6814400000e-01,4.0868086217e-04
1.6914400000e-01,4.0310533223e-04
1.7014400000e-01,4.0357073885e-04
1.7114400000e-01,3.9858910895e-04
1.7214400000e-01,3.9462312998e-04
1.7314400000e-01,3.9238948375e-04
1.7414400000e-01,3.9737176849e-04
1.7514400000e-01,3.9844151615e-04
1.7614400000e-01,3.9181169996e-04
1.7714400000e-01,3.9431266487e-04
1.7814400000e-01,3.9441871195e-04
1.7914400000e-01,4.0673799958e-04
1.8014400000e-01,4.0317179810e-04
1.8114400000e-01,4.0966944653e-04
1.8214400000e-01,4.0070415707e-04
1.8314400000e-01,4.0253959014e-04
1.8414400000e-01,4.0195332986e-04
1.8514400000e-01,4.0332673962e-04
1.8614400000e-01,4.0414059185e-04
1.8714400000e-01,3.9925809688e-04
1.8814400000e-01,3.9506376197e-04
1.8914400000e-01,3.9036192902e-04
1.9014400000e-01,4.0309430915e-04
1.9114400000e-01,3.9771417505e-04
1.9214400000e-01,3.9857313823e-04
1.9314400000e-01,3.9017533709e-04
1.9414400000e-01,3.9522932639e-04
1.9514400000e-01,3.9544520405e-04
1.9614400000e-01,4.0058654122e-04
1.9714400000e-01,4.0641636588e-04
1.9814400000e-01,4.0720988181e-04
1.9914400000e-01,4.0315509978e-04
2.0014400000e-01,4.0177208575e-04
2.0114400000e-01,4.0708066081e-04
2.0214400000e-01,4.0532046114e-04
2.0314400000e-01,4.0366106987e-04
2.0414400000e-01,3.9349131839e-04
2.0514400000e-01,3.9643986383e-04
2.0614400000e-01,3.8912028685e-04
2.0714400000e-01,3.9821563405e-04
2.0814400000e-01,3.9757662307e-04
2.0914400000e-01,3.9840168029e-04
2.1014400000e-01,3.9627007936e-04
2.1114400000e-01,3.9634884160e-04
2.1214400000e-01,4.0076327423e-04
2.1314400000e-01,4.0508126403e-04
2.1414400000e-01,4.0863673348e-04
2.1514400000e-01,3.9649359678e-04
2.1614400000e-01,4.0264872951e-04
2.1714400000e-01,3.9964488678e-04
2.1814400000e-01,4.0947677917e-04
2.1914400000e-01,4.0296821680e-04
2.2014400000e-01,4.0297654778e-04
2.2114400000e-01,3.9863323764e-04
2.2214400000e-01,3.9323542296e-04
2.2314400000e-01,3.9306181861e-04
2.2414400000e-01,3.9759641368e-04
2.2514400000e-01,3.9843529521e-04
2.2614400000e-01,3.9100686990e-04
2.2714400000e-01,3.9419603127e-04
2.2814400000e-01,3.9452374040e-04
2.2914400000e-01,4.0625309339e-04
2.3014400000e-01,4.0366077883e-04
2.3114400000e-01,4.0930852265e-04
2.3214400000e-01,4.0058726881e-04
2.3314400000e-01,4.0351646021e-04
2.3414400000e-01,4.0251157770e-04
2.3514400000e-01,4.0381190047e-04
2.3614400000e-01,4.0354909288e-04
2.3714400000e-01,3.9993792598e-04
2.3814400000e-01,3.9606424252e-04
2.3914400000e-01,3.9157206629e-04
2.4014400000e-01,4.0193237510e-04
2.4114400000e-01,3.9672755520e-04
2.4214400000e-01,3.9832350012e-04
2.4314400000e-01,3.9081769501e-04
2.4414400000e-01,3.9680446207e-04
2.4514400000e-01,3.9592992835e-04
2.4614400000e-01,4.0071263356e-04
2.4714400000e-01,4.0591141442e-04
2.4814400000e-01,4.0882208850e-04
2.4914400000e-01,4.0229344449e-04
2.5014400000e-01,4.0155704482e-04
2.5114400000e-01,4.0883365727e-04
2.5214400000e-01,4.0543684008e-04
2.5314400000e-01,4.0565057134e-04
2.5414400000e-01,3.9282829675e-04
2.5514400000e-01,3.9651989937e-04
2.5614400000e-01,3.8960770326e-04
2.5714400000e-01,3.9836872020e-04
2.5814400000e-01,3.9788821596e-04
2.5914400000e-01,3.9761664084e-04
2.6014400000e-01,3.9502516302e-04
2.6114400000e-01,3.9771079173e-04
2.6214400000e-01,3.9828490117e-04
