# Saved on 2025-06-24T11:20:36.029347
# Name: Evan
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.7973270082e-04
1.1440000000e-03,3.8469508581e-04
2.1440000000e-03,3.8635986130e-04
3.1440000000e-03,3.9213740820e-04
4.1440000000e-03,3.9563448809e-04
5.1440000000e-03,3.9897364331e-04
6.1440000000e-03,3.9525744796e-04
7.1440000000e-03,3.8997655793e-04
8.1440000000e-03,3.9610411477e-04
9.1440000000e-03,3.9198770537e-04
1.0144000000e-02,3.9101054426e-04
1.1144000000e-02,3.7990575947e-04
1.2144000000e-02,3.8552225305e-04
1.3144000000e-02,3.7930985854e-04
1.4144000000e-02,3.9155154809e-04
1.5144000000e-02,3.8723155740e-04
1.6144000000e-02,3.8741647586e-04
1.7144000000e-02,3.8507780118e-04
1.8144000000e-02,3.8572441554e-04
1.9144000000e-02,3.8648060581e-04
2.0144000000e-02,3.9232698327e-04
2.1144000000e-02,3.9713726437e-04
2.2144000000e-02,3.8775437133e-04
2.3144000000e-02,3.9094706153e-04
2.4144000000e-02,3.9256137825e-04
2.5144000000e-02,3.9872655179e-04
2.6144000000e-02,3.9330145228e-04
2.7144000000e-02,3.9316008042e-04
2.8144000000e-02,3.8724159822e-04
2.9144000000e-02,3.8390058762e-04
3.0144000000e-02,3.7988851545e-04
3.1144000000e-02,3.8395628508e-04
3.2144000000e-02,3.8878581108e-04
3.3144000000e-02,3.8259546272e-04
3.4144000000e-02,3.8324378693e-04
3.5144000000e-02,3.8486261474e-04
3.6144000000e-02,3.9569302317e-04
3.7144000000e-02,3.9334739995e-04
3.8144000000e-02,3.9966624172e-04
3.9144000000e-02,3.8728827349e-04
4.0144000000e-02,3.9166818169e-04
4.1144000000e-02,3.9011552872e-04
4.2144000000e-02,3.9367747377e-04
4.3144000000e-02,3.9397098590e-04
4.4144000000e-02,3.9037549868e-04
4.5144000000e-02,3.8626531023e-04
4.6144000000e-02,3.8121568650e-04
4.7144000000e-02,3.8921909436e-04
4.8144000000e-02,3.8839531044e-04
4.9144000000e-02,3.8717615098e-04
5.0144000000e-02,3.7976380554e-04
5.1144000000e-02,3.8602312998e-04
5.2144000000e-02,3.8519698137e-04
5.3144000000e-02,3.9201117033e-04
5.4144000000e-02,3.9471400669e-04
5.5144000000e-02,3.9854727220e-04
5.6144000000e-02,3.9423859562e-04
5.7144000000e-02,3.8942282117e-04
5.8144000000e-02,3.9642036427e-04
5.9144000000e-02,3.9565482439e-04
6.0144000000e-02,3.9458493120e-04
6.1144000000e-02,3.8361318730e-04
6.2144000000e-02,3.8571197365e-04
6.3144000000e-02,3.7979280023e-04
6.4144000000e-02,3.9226295485e-04
6.5144000000e-02,3.8742651668e-04
6.6144000000e-02,3.8817535824e-04
6.7144000000e-02,3.8585447328e-04
6.8144000000e-02,3.8567650336e-04
6.9144000000e-02,3.8873546146e-04
7.0144000000e-02,3.9218208258e-04
7.1144000000e-02,3.9754468162e-04
7.2144000000e-02,3.8964164560e-04
7.3144000000e-02,3.9046837628e-04
7.4144000000e-02,3.9296399336e-04
7.5144000000e-02,3.9902170101e-04
7.6144000000e-02,3.9250680857e-04
7.7144000000e-02,3.9301939978e-04
7.8144000000e-02,3.8658014091e-04
7.9144000000e-02,3.8391503040e-04
8.0144000000e-02,3.8046615373e-04
8.1144000000e-02,3.8398498873e-04
8.2144000000e-02,3.8975518692e-04
8.3144000000e-02,3.8322115870e-04
8.4144000000e-02,3.8296529965e-04
8.5144000000e-02,3.8195365050e-04
8.6144000000e-02,3.9152753743e-04
8.7144000000e-02,3.8988368033e-04
8.8144000000e-02,3.9578575525e-04
8.9144000000e-02,3.8600417611e-04
9.0144000000e-02,3.9148060750e-04
9.1144000000e-02,3.8986316213e-04
9.2144000000e-02,3.9312755689e-04
9.3144000000e-02,3.9244518121e-04
9.4144000000e-02,3.8737209252e-04
9.5144000000e-02,3.8367710658e-04
9.6144000000e-02,3.8184803998e-04
9.7144000000e-02,3.8873335143e-04
9.8144000000e-02,3.8824378862e-04
9.9144000000e-02,3.8666905311e-04
1.0014400000e-01,3.7916342990e-04
1.0114400000e-01,3.8601407141e-04
1.0214400000e-01,3.8565813156e-04
1.0314400000e-01,3.9195518184e-04
1.0414400000e-01,3.9487418690e-04
1.0514400000e-01,3.9529080823e-04
1.0614400000e-01,3.9271460992e-04
1.0714400000e-01,3.8991576730e-04
1.0814400000e-01,3.9591552195e-04
1.0914400000e-01,3.9565216866e-04
1.1014400000e-01,3.9391994505e-04
1.1114400000e-01,3.8058798964e-04
1.1214400000e-01,3.8237350964e-04
1.1314400000e-01,3.7810485082e-04
1.1414400000e-01,3.8867652620e-04
1.1514400000e-01,3.8327885704e-04
1.1614400000e-01,3.8497091737e-04
1.1714400000e-01,3.8312969991e-04
1.1814400000e-01,3.8550049794e-04
1.1914400000e-01,3.8817423047e-04
1.2014400000e-01,3.9183531044e-04
1.2114400000e-01,3.9706330426e-04
1.2214400000e-01,3.9049482439e-04
1.2314400000e-01,3.9048620238e-04
1.2414400000e-01,3.9302987716e-04
1.2514400000e-01,3.9964925236e-04
1.2614400000e-01,3.9287238906e-04
1.2714400000e-01,3.9384347474e-04
1.2814400000e-01,3.8630263589e-04
1.2914400000e-01,3.8440728531e-04
1.3014400000e-01,3.8025209506e-04
1.3114400000e-01,3.8464546378e-04
1.3214400000e-01,3.8901947846e-04
1.3314400000e-01,3.8328380469e-04
1.3414400000e-01,3.8325877540e-04
1.3514400000e-01,3.7974259612e-04
1.3614400000e-01,3.8987633161e-04
1.3714400000e-01,3.8853217120e-04
1.3814400000e-01,3.9839629608e-04
1.3914400000e-01,3.8518621295e-04
1.4014400000e-01,3.9107613702e-04
1.4114400000e-01,3.8840025809e-04
1.4214400000e-01,3.9210150135e-04
1.4314400000e-01,3.9109661884e-04
1.4414400000e-01,3.8910515286e-04
1.4514400000e-01,3.8508911530e-04
1.4614400000e-01,3.7978486944e-04
1.4714400000e-01,3.8687190681e-04
1.4814400000e-01,3.8707661588e-04
1.4914400000e-01,3.8569869503e-04
1.5014400000e-01,3.7724232243e-04
1.5114400000e-01,3.8405552914e-04
1.5214400000e-01,3.8430294808e-04
