# Saved on 2025-06-25T16:05:41.516747
# Name: Evan
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -10
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS,Conductance_Target_1300.00 uS
1.4400000000e-04,4.0468559746e-04,4.8919595429e-04,5.8708719735e-04,6.8875582656e-04,8.2272999862e-04,9.0617817477e-04,9.9687174952e-04,1.0762453167e-03,1.2117936421e-03,1.2849236373e-03
1.1440000000e-03,4.1244737076e-04,4.9950569519e-04,5.8535737480e-04,6.8797322456e-04,8.1525155110e-04,9.0370274847e-04,9.9258941191e-04,1.0750098591e-03,1.2091506505e-03,1.2847782637e-03
2.1440000000e-03,4.0722658014e-04,4.9594200391e-04,5.8946785430e-04,6.8544068199e-04,8.1756530562e-04,9.1350637376e-04,1.0051604477e-03,1.0950857541e-03,1.2100819731e-03,1.2736472127e-03
3.1440000000e-03,4.0715589421e-04,4.9466911150e-04,5.5889042414e-04,6.9064401032e-04,8.0696721852e-04,9.1279740445e-04,9.9549317383e-04,1.0787822248e-03,1.1933560017e-03,1.2839438568e-03
4.1440000000e-03,3.9834398194e-04,4.8378613428e-04,5.7411758462e-04,6.9656089181e-04,8.1642247096e-04,9.1514048108e-04,9.9840748589e-04,1.0826496873e-03,1.1971075583e-03,1.2816594972e-03
5.1440000000e-03,3.9969520003e-04,4.8859965318e-04,5.7808047131e-04,6.9707843068e-04,8.1101243268e-04,9.0791618277e-04,9.9980803498e-04,1.0921743524e-03,1.2032825907e-03,1.2913426326e-03
6.1440000000e-03,3.9193539124e-04,4.8117432016e-04,5.8899298892e-04,6.9961577537e-04,8.0932441051e-04,9.1793575848e-04,1.0065560491e-03,1.0897943866e-03,1.2067843636e-03,1.2843565491e-03
7.1440000000e-03,3.9790345909e-04,4.9204343668e-04,6.0502101405e-04,6.9808644184e-04,8.1903548562e-04,9.1506655735e-04,9.9848351965e-04,1.0896471213e-03,1.1997074762e-03,1.2874306412e-03
8.1440000000e-03,3.9821519749e-04,4.8849378800e-04,5.7284807554e-04,6.9667119533e-04,8.1429090642e-04,9.1651585535e-04,1.0030104022e-03,1.0873386782e-03,1.2067559146e-03,1.2911492377e-03
9.1440000000e-03,3.9619742893e-04,4.9343041610e-04,5.6813551055e-04,6.9785375672e-04,8.1521488028e-04,8.8885011792e-04,9.8673139291e-04,1.0949649004e-03,1.2046690244e-03,1.2821824930e-03
1.0144000000e-02,3.9670521801e-04,4.8590882216e-04,5.7600445871e-04,7.0399459219e-04,8.1594182120e-04,9.0012610599e-04,9.9769538792e-04,1.0879585898e-03,1.2041672016e-03,1.2862561562e-03
1.1144000000e-02,3.9622653276e-04,4.9033584219e-04,5.7940920669e-04,7.0050940849e-04,8.2432481577e-04,9.0288376668e-04,9.9508739368e-04,1.0871086852e-03,1.2016388791e-03,1.2795366638e-03
1.2144000000e-02,4.0821134462e-04,4.9273996410e-04,5.7849199948e-04,6.9932211773e-04,8.1881727965e-04,9.0920671937e-04,9.9380180473e-04,1.0862734052e-03,1.1988086771e-03,1.2839082046e-03
1.3144000000e-02,4.0489267121e-04,4.9709957239e-04,5.8309306041e-04,6.8733366788e-04,8.2242506323e-04,9.0453926532e-04,9.9543729448e-04,1.0950641445e-03,1.2060217705e-03,1.2739593512e-03
1.4144000000e-02,4.0994949813e-04,4.9523685448e-04,5.7580542489e-04,6.9443995017e-04,8.0646932474e-04,9.0507193818e-04,9.9144104752e-04,1.0823087359e-03,1.1970708147e-03,1.2793281348e-03
1.5144000000e-02,4.0144241211e-04,4.8759975471e-04,5.6903307268e-04,6.8880930485e-04,8.2418118836e-04,9.1332600277e-04,9.9711010989e-04,1.0911275604e-03,1.2021911243e-03,1.2786562729e-03
