# Saved on 2025-06-25T17:51:37.241833
# Name: Evan
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# Waveform Editor: ask
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -10
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS,Conductance_Target_1300.00 uS
1.4400000000e-04,4.2385327106e-04,4.8229991080e-04,5.8929297666e-04,6.8014160206e-04,7.8235505498e-04,8.7617168901e-04,9.8581251223e-04,1.0884037329e-03,1.1823036766e-03,1.2838721159e-03
1.1440000000e-03,4.2206778744e-04,4.8226047511e-04,5.8812853240e-04,6.7235996539e-04,7.8393146396e-04,8.8045737357e-04,9.9304968899e-04,1.0982697131e-03,1.1773193546e-03,1.2928772776e-03
2.1440000000e-03,4.1435814637e-04,4.8813977628e-04,5.7922487031e-04,6.8104054662e-04,7.8227501945e-04,8.8198205049e-04,9.8868884379e-04,1.0932633450e-03,1.1848083523e-03,1.2848059123e-03
3.1440000000e-03,4.1546860302e-04,4.8969613999e-04,5.8136181906e-04,6.7983986810e-04,7.7925637015e-04,8.8717555627e-04,9.9248296465e-04,1.0930043936e-03,1.1773339065e-03,1.2880181021e-03
4.1440000000e-03,4.0965798689e-04,4.9516944273e-04,5.7650406234e-04,6.8542867666e-04,7.7959957707e-04,8.7922402599e-04,9.8657590570e-04,1.0979859508e-03,1.1828483548e-03,1.2708274880e-03
5.1440000000e-03,4.2166982894e-04,4.8184414482e-04,5.8951536630e-04,6.8705769081e-04,7.7760414570e-04,8.8022214186e-04,9.8600743513e-04,1.0932790610e-03,1.1842319509e-03,1.2843504373e-03
6.1440000000e-03,4.1670646169e-04,4.8931527999e-04,5.8460798755e-04,6.8967005063e-04,7.8444129031e-04,8.7780594185e-04,9.8941520264e-04,1.0961478984e-03,1.1937802628e-03,1.2835099187e-03
7.1440000000e-03,4.1965457058e-04,4.8870384489e-04,5.8545592765e-04,6.8840083259e-04,7.7712451457e-04,8.7631604401e-04,9.8490578239e-04,1.0949719581e-03,1.1842151434e-03,1.2767207227e-03
8.1440000000e-03,4.1700219299e-04,4.9369493354e-04,5.8245263062e-04,6.8191970058e-04,7.8049473814e-04,8.7678585260e-04,9.8815529782e-04,1.0986242705e-03,1.1887885921e-03,1.2817664538e-03
9.1440000000e-03,4.1677754780e-04,4.9130903790e-04,5.8291578171e-04,6.8775822001e-04,7.8113844211e-04,8.7520151283e-04,9.8185329989e-04,1.0850375838e-03,1.1786366667e-03,1.2808240717e-03
1.0144000000e-02,4.1889699787e-04,4.9017424317e-04,5.8463159803e-04,6.8677014497e-04,7.9051620560e-04,8.8076609245e-04,9.8345350125e-04,1.0920748900e-03,1.1832672317e-03,1.2852573127e-03
1.1144000000e-02,4.2075036617e-04,4.8844514822e-04,5.8386747696e-04,6.8467728852e-04,7.8543482232e-04,8.7593107310e-04,9.8071628599e-04,1.0938327614e-03,1.1849722068e-03,1.2790734763e-03
1.2144000000e-02,4.2676241719e-04,4.8233498092e-04,5.8443594753e-04,6.7622982897e-04,7.9068697232e-04,8.7736290880e-04,9.9591736216e-04,1.0989655129e-03,1.1784127128e-03,1.2917030836e-03
1.3144000000e-02,4.1974264605e-04,4.8150115617e-04,5.7749875850e-04,6.7931046942e-04,7.7989156125e-04,8.7858490588e-04,9.8660930234e-04,1.0913808364e-03,1.1827939306e-03,1.2863901793e-03
1.4144000000e-02,4.2112624214e-04,4.8755930038e-04,5.7828136050e-04,6.7487650085e-04,7.8429766290e-04,8.8762499217e-04,9.8634831375e-04,1.0945079703e-03,1.1813284800e-03,1.2835777306e-03
1.5144000000e-02,4.2081439460e-04,4.8815985792e-04,5.8027046180e-04,6.8773879320e-04,7.8566838056e-04,8.8224245701e-04,9.8270706076e-04,1.0963015666e-03,1.1818257190e-03,1.2749852613e-03
1.6144000000e-02,4.2911284254e-04,4.8021327530e-04,5.8721427195e-04,6.8010820542e-04,7.8252458479e-04,8.8607092039e-04,9.8574084404e-04,1.0899156769e-03,1.1787513358e-03,1.2884981697e-03
1.7144000000e-02,4.2259536713e-04,4.8508845794e-04,5.7873956393e-04,6.8270390329e-04,7.8552300693e-04,8.7472326413e-04,9.8529286333e-04,1.0925389506e-03,1.1934402573e-03,1.2838853581e-03
1.8144000000e-02,4.2176114221e-04,4.8652531405e-04,5.8035937400e-04,6.8153574830e-04,7.8196899267e-04,8.8261425844e-04,9.8416174296e-04,1.0888979887e-03,1.1848605209e-03,1.2867768237e-03
1.9144000000e-02,4.1740073357e-04,4.9650156143e-04,5.7473564084e-04,6.8148714490e-04,7.8161654528e-04,8.8288994448e-04,9.9096658232e-04,1.0954913887e-03,1.1833877215e-03,1.2878203415e-03
2.0144000000e-02,4.1544190026e-04,4.9338999816e-04,5.7282941270e-04,6.8362154707e-04,7.7716744272e-04,8.7807427917e-04,9.8800643173e-04,1.0881993512e-03,1.1794702004e-03,1.2857923866e-03
2.1144000000e-02,4.1189250624e-04,4.9856938858e-04,5.6961056544e-04,6.8443499913e-04,7.8800039773e-04,8.8118453277e-04,9.8937365692e-04,1.0929437121e-03,1.1893498595e-03,1.2932351092e-03
2.2144000000e-02,4.1603620048e-04,4.9257232604e-04,5.7070603361e-04,6.8857982114e-04,7.8368873801e-04,8.7878397608e-04,9.8534088465e-04,1.0934771126e-03,1.1855900811e-03,1.2816904928e-03
2.3144000000e-02,4.1969149606e-04,4.8916699598e-04,5.7729430409e-04,6.8198460212e-04,7.8233679233e-04,8.7955566414e-04,9.9293094536e-04,1.1031638132e-03,1.1838826322e-03,1.2864699238e-03
2.4144000000e-02,4.1514711484e-04,4.9032012612e-04,5.7222874602e-04,6.8189598096e-04,7.7572185546e-04,8.7449094281e-04,9.8657736089e-04,1.0935423052e-03,1.1888720474e-03,1.2846195023e-03
2.5144000000e-02,4.1522856918e-04,4.9275935453e-04,5.7315555750e-04,6.8632201874e-04,7.8285025666e-04,8.8383654656e-04,9.8548669484e-04,1.0983227548e-03,1.1853929027e-03,1.2841897842e-03
2.6144000000e-02,4.1654755478e-04,4.9250600568e-04,5.7462977566e-04,6.9208537752e-04,7.8236625995e-04,8.8140113803e-04,9.7762196674e-04,1.0880002810e-03,1.1883310071e-03,1.2749663438e-03
2.7144000000e-02,4.2545812903e-04,4.8765614338e-04,5.8330286265e-04,6.8376204581e-04,7.8397315519e-04,8.7947257271e-04,9.8433898529e-04,1.0957392078e-03,1.1835178884e-03,1.2807246821e-03
2.8144000000e-02,4.2301424401e-04,4.8634818086e-04,5.8054556575e-04,6.8465284130e-04,7.8788252722e-04,8.7192311184e-04,9.7999385616e-04,1.0941325309e-03,1.1890285532e-03,1.2793682981e-03
2.9144000000e-02,4.2941777792e-04,4.8346566473e-04,5.8544883359e-04,6.7773289629e-04,7.8743760241e-04,8.8107626652e-04,9.8441960290e-04,1.0895627202e-03,1.1848161375e-03,1.2971265824e-03
3.0144000000e-02,4.1792518459e-04,4.9477501307e-04,5.7281147747e-04,6.7811051849e-04,7.8806755482e-04,8.7992993940e-04,9.8533979326e-04,1.0939662752e-03,1.1852539319e-03,1.2829843035e-03
3.1144000000e-02,4.2288575060e-04,4.8944744776e-04,5.7957477111e-04,6.7548317020e-04,7.8293160186e-04,8.8186359790e-04,9.8403128504e-04,1.0921831563e-03,1.1738211469e-03,1.2850936037e-03
3.2144000000e-02,4.2195071728e-04,4.8838392104e-04,5.7652821852e-04,6.7636385211e-04,7.8869015852e-04,8.8484579464e-04,9.8686745332e-04,1.0924965318e-03,1.1826356058e-03,1.2893776875e-03
