# Saved on 2025-06-19T15:19:05.348416
# Name: Evan
# Sample_ID: Batch3_F5_TPTE41
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.4
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,8.9630000000e-09,3.1600000000e-10,4.7610000000e-09,6.9120000000e-09,4.2620000000e-09
-1.4000000000e-02,5.9998000000e-07,6.3338000000e-07,7.4112000000e-07,7.3564000000e-07,6.4114000000e-07
-2.8000000000e-02,1.2554000000e-06,1.2779000000e-06,1.4817000000e-06,1.4972000000e-06,1.3468000000e-06
-4.2000000000e-02,1.9132000000e-06,1.9814000000e-06,2.1916000000e-06,2.2688000000e-06,2.0690000000e-06
-5.6000000000e-02,2.5744000000e-06,2.6620000000e-06,2.7728000000e-06,3.0243000000e-06,2.7453000000e-06
-7.0000000000e-02,3.3057000000e-06,3.4042000000e-06,3.5479000000e-06,3.9002000000e-06,3.5763000000e-06
-8.4000000000e-02,4.0349000000e-06,4.1521000000e-06,4.3004000000e-06,4.7392000000e-06,4.3519000000e-06
-9.8000000000e-02,4.7460000000e-06,4.9310000000e-06,5.1846000000e-06,5.6083000000e-06,5.1918000000e-06
-1.1200000000e-01,5.5514000000e-06,5.7218000000e-06,6.0019000000e-06,6.3841000000e-06,6.0541000000e-06
-1.2600000000e-01,6.3271000000e-06,6.5844000000e-06,6.9209000000e-06,7.3240000000e-06,6.9373000000e-06
-1.4000000000e-01,7.2550000000e-06,7.4775000000e-06,7.8787000000e-06,8.3397000000e-06,7.9737000000e-06
-1.5400000000e-01,8.1010000000e-06,8.5197000000e-06,8.8310000000e-06,9.4050000000e-06,8.9589000000e-06
-1.6800000000e-01,9.0514000000e-06,9.4474000000e-06,9.8956000000e-06,1.0440000000e-05,9.9880000000e-06
