# Saved on 2025-06-26T19:38:50.941094
# Name: Evan
# Sample_ID: Batch3_F5_TPTE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.3
#   v_rst: -1.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1.5e-05
#   ProgramTargetOffset: 1.5e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS,Conductance_Target_1300.00 uS
1.4400000000e-04,3.7157911720e-04,4.7837827879e-04,5.8217745391e-04,6.5251500928e-04,7.7944030636e-04,9.4881615951e-04,9.7140669823e-04,1.0863292846e-03,1.1222379544e-03,1.2359787070e-03
1.1440000000e-03,3.7428100768e-04,4.7192261263e-04,5.7878121879e-04,6.5791864472e-04,7.8747332736e-04,9.5071802207e-04,9.6693678643e-04,1.0932194709e-03,1.1574077507e-03,1.2392103963e-03
2.1440000000e-03,3.9149006625e-04,4.6737321099e-04,5.8874560636e-04,6.6408538260e-04,7.8670418588e-04,9.6539086371e-04,9.5619674539e-04,1.0769278015e-03,1.1469834135e-03,1.2380396947e-03
3.1440000000e-03,3.9935755922e-04,4.7227356845e-04,5.8418696426e-04,6.7756940552e-04,7.6589814853e-04,9.4582865131e-04,9.7274249129e-04,1.0766012565e-03,1.1475408974e-03,1.2145001529e-03
4.1440000000e-03,4.0812712541e-04,4.9243673857e-04,5.7829056459e-04,6.9357258326e-04,7.7959331975e-04,9.4571114460e-04,9.7556046967e-04,1.0947127157e-03,1.1385107064e-03,1.2309715385e-03
5.1440000000e-03,3.9463800931e-04,4.9540496548e-04,5.6470005802e-04,6.9174246164e-04,7.8211975051e-04,9.4981216535e-04,9.6804986242e-04,1.0857442248e-03,1.1436486238e-03,1.2361785048e-03
6.1440000000e-03,3.9163005567e-04,5.1127586630e-04,5.5097250879e-04,6.8242094130e-04,8.0847639765e-04,9.5594550658e-04,9.6479598142e-04,1.0791809473e-03,1.1519410327e-03,1.2624378724e-03
7.1440000000e-03,4.0486149373e-04,4.8362984671e-04,5.5626071116e-04,6.8298410042e-04,8.1224752648e-04,9.4761315268e-04,9.7290307167e-04,1.0510824359e-03,1.1728420941e-03,1.2662995141e-03
8.1440000000e-03,4.0119550249e-04,4.9465565098e-04,5.6421456975e-04,6.9980378612e-04,8.2860038674e-04,9.2974973086e-04,9.9649383628e-04,1.0505398677e-03,1.1906961299e-03,1.2840153067e-03
9.1440000000e-03,3.9618476876e-04,4.9623497034e-04,5.6418233726e-04,6.8855202699e-04,8.0674843048e-04,9.2483664048e-04,9.9844823126e-04,1.0273948283e-03,1.1794717284e-03,1.2656424951e-03
