# Saved on 2025-06-19T15:34:50.555669
# Name: Evan
# Sample_ID: Batch3_F5_TPTE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.7
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,1.2720000000e-09,1.3878000000e-08,1.4888000000e-08,4.5900000000e-10,1.8323000000e-08
-2.0000000000e-02,1.7570000000e-06,1.4229000000e-06,1.8327000000e-06,1.4915000000e-06,1.5517000000e-06
-4.0000000000e-02,3.4894000000e-06,2.8940000000e-06,3.8715000000e-06,2.9255000000e-06,3.1345000000e-06
-6.0000000000e-02,5.3076000000e-06,4.4123000000e-06,5.8309000000e-06,4.5571000000e-06,4.6259000000e-06
-8.0000000000e-02,7.1622000000e-06,5.8678000000e-06,7.7723000000e-06,6.1595000000e-06,6.2012000000e-06
-1.0000000000e-01,8.9693000000e-06,7.4097000000e-06,9.8938000000e-06,7.7870000000e-06,7.8071000000e-06
-1.2000000000e-01,1.0878000000e-05,8.9761000000e-06,1.1784000000e-05,9.5975000000e-06,9.4847000000e-06
-1.4000000000e-01,1.2790000000e-05,1.0614000000e-05,1.4044000000e-05,1.1266000000e-05,1.1202000000e-05
-1.6000000000e-01,1.4814000000e-05,1.2272000000e-05,1.6328000000e-05,1.3200000000e-05,1.3018000000e-05
-1.8000000000e-01,1.6900000000e-05,1.4044000000e-05,1.8716000000e-05,1.5088000000e-05,1.4814000000e-05
-2.0000000000e-01,1.9004000000e-05,1.5784000000e-05,2.1094000000e-05,1.7286000000e-05,1.6660000000e-05
-2.2000000000e-01,2.1112000000e-05,1.7662000000e-05,2.3560000000e-05,1.9298000000e-05,1.8642000000e-05
-2.4000000000e-01,2.3360000000e-05,1.9710000000e-05,2.6196000000e-05,2.1468000000e-05,2.0606000000e-05
-2.6000000000e-01,2.5706000000e-05,2.1720000000e-05,2.8782000000e-05,2.3846000000e-05,2.2772000000e-05
-2.8000000000e-01,2.8224000000e-05,2.3724000000e-05,3.1574000000e-05,2.6158000000e-05,2.5044000000e-05
-3.0000000000e-01,3.0074000000e-05,2.5766000000e-05,3.4390000000e-05,2.8660000000e-05,2.7276000000e-05
-3.2000000000e-01,3.3378000000e-05,2.7950000000e-05,3.7264000000e-05,3.1284000000e-05,2.9684000000e-05
-3.4000000000e-01,3.5338000000e-05,3.0376000000e-05,4.0384000000e-05,3.3968000000e-05,3.2200000000e-05
-3.6000000000e-01,3.8008000000e-05,3.2858000000e-05,4.3646000000e-05,3.6896000000e-05,3.4622000000e-05
-3.8000000000e-01,4.0800000000e-05,3.5354000000e-05,4.6804000000e-05,3.9900000000e-05,3.7280000000e-05
-4.0000000000e-01,4.4092000000e-05,3.8048000000e-05,4.9986000000e-05,4.3088000000e-05,4.0112000000e-05
-4.2000000000e-01,4.6816000000e-05,4.0890000000e-05,5.3492000000e-05,4.6224000000e-05,4.3156000000e-05
-4.4000000000e-01,5.0754000000e-05,4.3782000000e-05,5.7014000000e-05,4.9738000000e-05,4.6202000000e-05
-4.6000000000e-01,5.3592000000e-05,4.6684000000e-05,6.0866000000e-05,5.3062000000e-05,4.9376000000e-05
-4.8000000000e-01,5.7090000000e-05,4.9866000000e-05,6.4852000000e-05,5.6838000000e-05,5.2670000000e-05
-5.0000000000e-01,6.0610000000e-05,5.3204000000e-05,6.8800000000e-05,6.0732000000e-05,5.6274000000e-05
-5.2000000000e-01,6.4486000000e-05,5.6908000000e-05,7.3122000000e-05,6.4790000000e-05,5.9642000000e-05
-5.4000000000e-01,6.8186000000e-05,6.0580000000e-05,7.7862000000e-05,6.9280000000e-05,6.3274000000e-05
-5.6000000000e-01,7.2422000000e-05,6.4318000000e-05,8.2512000000e-05,7.3542000000e-05,6.7256000000e-05
-5.8000000000e-01,7.6862000000e-05,6.8444000000e-05,8.7226000000e-05,7.8210000000e-05,7.1258000000e-05
-6.0000000000e-01,8.1384000000e-05,7.2568000000e-05,9.2204000000e-05,8.2950000000e-05,7.5540000000e-05
-6.2000000000e-01,8.6218000000e-05,7.6894000000e-05,9.7838000000e-05,8.8076000000e-05,8.0302000000e-05
-6.4000000000e-01,9.1356000000e-05,8.1852000000e-05,1.0374000000e-04,9.2868000000e-05,8.4982000000e-05
-6.6000000000e-01,9.6006000000e-05,8.6658000000e-05,1.0944000000e-04,9.8658000000e-05,8.9658000000e-05
-6.8000000000e-01,1.0206000000e-04,9.1600000000e-05,1.1558000000e-04,1.0462000000e-04,9.1768000000e-05
-7.0000000000e-01,1.0800000000e-04,9.7460000000e-05,1.2278000000e-04,1.1110000000e-04,9.6176000000e-05
-7.2000000000e-01,1.1420000000e-04,1.0298000000e-04,1.2932000000e-04,1.1638000000e-04,1.0184000000e-04
