# Saved on 2025-06-19T16:13:20.653820
# Name: Evan
# Sample_ID: Batch3_F5_TPTE47
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -2
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,5.6671000000e-10
1.0000000000e+00,3.5900000000e-11
1.0000000000e+00,1.2615000000e-10
1.0000000000e+00,6.0601000000e-10
1.0000000000e+00,1.3350000000e-10
1.0000000000e+00,7.6200000000e-11
1.0000000000e+00,1.3110000000e-10
1.0000000000e+00,1.1105000000e-10
1.0000000000e+00,1.2418000000e-10
1.0000000000e+00,6.3834000000e-10
1.0000000000e+00,4.0420000000e-11
1.0000000000e+00,1.7543000000e-10
1.0000000000e+00,6.3710000000e-11
1.0000000000e+00,1.9690000000e-10
1.0000000000e+00,4.4904000000e-10
1.0000000000e+00,1.9120000000e-11
1.0000000000e+00,2.0740000000e-10
1.0000000000e+00,5.5440000000e-10
1.1000000000e+00,1.9070000000e-10
1.1000000000e+00,5.7370000000e-10
1.1000000000e+00,1.0967000000e-10
1.1000000000e+00,7.6500000000e-11
1.1000000000e+00,7.1100000000e-11
1.1000000000e+00,1.3726000000e-10
1.1000000000e+00,1.7050000000e-10
1.1000000000e+00,6.1480000000e-10
1.1000000000e+00,8.3300000000e-11
1.1000000000e+00,6.1102000000e-10
1.1000000000e+00,4.4368000000e-10
1.1000000000e+00,1.3000000000e-12
1.1000000000e+00,4.9960000000e-11
1.1000000000e+00,7.1200000000e-12
1.1000000000e+00,6.2434000000e-10
1.1000000000e+00,1.8467000000e-10
1.1000000000e+00,2.0230000000e-10
1.1000000000e+00,6.0280000000e-11
1.2000000000e+00,1.5949000000e-10
1.2000000000e+00,3.2022000000e-10
1.2000000000e+00,2.1189000000e-10
1.2000000000e+00,2.6500000000e-11
1.2000000000e+00,1.3642000000e-10
1.2000000000e+00,2.3420000000e-10
