# Saved on 2025-06-24T14:32:38.526275
# Name: Evan
# Sample_ID: Batch3_F5_TPTETEST
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,1.3010000000e-11
1.0000000000e+00,5.6000000000e-11
1.0000000000e+00,2.3600000000e-11
1.0000000000e+00,4.4100000000e-11
1.0000000000e+00,3.1300000000e-11
1.0000000000e+00,3.7430000000e-11
1.0000000000e+00,5.8360000000e-11
1.0000000000e+00,1.7880000000e-11
1.0000000000e+00,5.6980000000e-11
1.0000000000e+00,4.3550000000e-11
1.0000000000e+00,1.7090000000e-11
1.0000000000e+00,5.3960000000e-11
1.0000000000e+00,1.5550000000e-11
1.0000000000e+00,4.8170000000e-11
1.0000000000e+00,4.3530000000e-11
1.0000000000e+00,2.6240000000e-11
1.0000000000e+00,5.3190000000e-11
1.1000000000e+00,2.1440000000e-11
