# Saved on 2025-07-02T09:29:37.662744
# Name: Evan
# Sample_ID: Batch5_Sample5_F5_TPTE09
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,7.2970000000e-10
1.0000000000e+00,8.4510000000e-10
1.0000000000e+00,9.3880000000e-10
1.0000000000e+00,8.5240000000e-10
1.0000000000e+00,9.2100000000e-10
1.0000000000e+00,8.4200000000e-10
1.0000000000e+00,9.2140000000e-10
1.0000000000e+00,8.4470000000e-10
1.0000000000e+00,9.2350000000e-10
1.0000000000e+00,8.3870000000e-10
1.0000000000e+00,9.3360000000e-10
1.0000000000e+00,8.3920000000e-10
1.0000000000e+00,9.2850000000e-10
1.0000000000e+00,8.4720000000e-10
1.0000000000e+00,9.2970000000e-10
1.0000000000e+00,8.3230000000e-10
1.0000000000e+00,9.3070000000e-10
1.0000000000e+00,8.2950000000e-10
1.0000000000e+00,9.1390000000e-10
1.0000000000e+00,8.3140000000e-10
1.0000000000e+00,9.3310000000e-10
1.1000000000e+00,1.5319000000e-09
1.1000000000e+00,1.2176000000e-09
1.1000000000e+00,7.1030000000e-10
1.1000000000e+00,8.8730000000e-10
1.1000000000e+00,1.4546000000e-09
1.1000000000e+00,1.0860000000e-09
1.1000000000e+00,1.0201000000e-09
1.1000000000e+00,1.0771000000e-09
1.1000000000e+00,1.3476000000e-09
1.1000000000e+00,1.5147000000e-09
1.1000000000e+00,9.1300000000e-10
1.1000000000e+00,9.7600000000e-10
1.1000000000e+00,1.2598000000e-09
1.1000000000e+00,1.5128000000e-09
1.1000000000e+00,1.0333000000e-09
1.1000000000e+00,7.0890000000e-10
1.1000000000e+00,1.2018000000e-09
1.1000000000e+00,1.5126000000e-09
1.1000000000e+00,1.0527000000e-09
1.1000000000e+00,7.8770000000e-10
1.1000000000e+00,1.1619000000e-09
1.2000000000e+00,2.0779000000e-09
1.2000000000e+00,1.7598000000e-09
1.2000000000e+00,1.5729000000e-09
1.2000000000e+00,1.7170000000e-09
1.2000000000e+00,2.2426000000e-09
1.2000000000e+00,1.9798000000e-09
1.2000000000e+00,1.4656000000e-09
1.2000000000e+00,1.8361000000e-09
1.2000000000e+00,1.9219000000e-09
1.2000000000e+00,2.0264000000e-09
1.2000000000e+00,1.5437000000e-09
1.2000000000e+00,1.4229000000e-09
1.2000000000e+00,1.9828000000e-09
1.2000000000e+00,1.9439000000e-09
1.2000000000e+00,1.7895000000e-09
1.2000000000e+00,1.6396000000e-09
1.2000000000e+00,1.9540000000e-09
1.2000000000e+00,2.2203000000e-09
1.2000000000e+00,1.7311000000e-09
1.2000000000e+00,1.4308000000e-09
1.2000000000e+00,1.8935000000e-09
1.3000000000e+00,3.3763000000e-09
1.3000000000e+00,2.8814000000e-09
1.3000000000e+00,2.7567000000e-09
1.3000000000e+00,3.0032000000e-09
1.3000000000e+00,3.3824000000e-09
1.3000000000e+00,3.1991000000e-09
1.3000000000e+00,2.4842000000e-09
1.3000000000e+00,3.0201000000e-09
1.3000000000e+00,3.3345000000e-09
1.3000000000e+00,2.9017000000e-09
1.3000000000e+00,2.5974000000e-09
1.3000000000e+00,2.9908000000e-09
1.3000000000e+00,3.2561000000e-09
1.3000000000e+00,3.0012000000e-09
1.3000000000e+00,2.7190000000e-09
1.3000000000e+00,2.8660000000e-09
1.3000000000e+00,3.0878000000e-09
1.3000000000e+00,3.2534000000e-09
1.3000000000e+00,2.8874000000e-09
1.3000000000e+00,2.7118000000e-09
1.3000000000e+00,3.0603000000e-09
1.4000000000e+00,4.8497000000e-09
1.4000000000e+00,4.6380000000e-09
1.4000000000e+00,5.0036000000e-09
1.4000000000e+00,4.5668000000e-09
1.4000000000e+00,4.1612000000e-09
1.4000000000e+00,4.5999000000e-09
1.4000000000e+00,5.0516000000e-09
1.4000000000e+00,4.5412000000e-09
1.4000000000e+00,4.2038000000e-09
1.4000000000e+00,4.6320000000e-09
1.4000000000e+00,4.9844000000e-09
1.4000000000e+00,4.5405000000e-09
1.4000000000e+00,4.5076000000e-09
1.4000000000e+00,4.5932000000e-09
1.4000000000e+00,4.8735000000e-09
1.4000000000e+00,4.6644000000e-09
1.4000000000e+00,4.4904000000e-09
1.4000000000e+00,4.5400000000e-09
1.4000000000e+00,4.8011000000e-09
1.4000000000e+00,4.9372000000e-09
1.4000000000e+00,4.4648000000e-09
1.5000000000e+00,7.2230000000e-09
1.5000000000e+00,7.4750000000e-09
1.5000000000e+00,7.3470000000e-09
1.5000000000e+00,7.4990000000e-09
1.5000000000e+00,7.3830000000e-09
1.5000000000e+00,7.8000000000e-09
1.5000000000e+00,7.4170000000e-09
1.5000000000e+00,7.6040000000e-09
1.5000000000e+00,7.6010000000e-09
1.5000000000e+00,7.4950000000e-09
1.5000000000e+00,7.7810000000e-09
1.5000000000e+00,7.4510000000e-09
1.5000000000e+00,7.4530000000e-09
