# Saved on 2025-07-02T09:55:59.439127
# Name: Evan
# Sample_ID: Batch5_Sample5_F5_TPTE09
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0008
#   num_level: 5
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.3
#   v_rst: -0.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,3.9386221033e-04,4.9522011977e-04,6.1385442677e-04,6.9541689300e-04,7.8319950262e-04
1.1440000000e-03,3.9699621993e-04,4.9557977036e-04,6.1944898334e-04,6.9788693509e-04,7.9233665019e-04
2.1440000000e-03,3.8951973693e-04,4.9955444410e-04,6.1016486143e-04,6.9778609031e-04,7.9310964793e-04
3.1440000000e-03,3.9414797357e-04,5.0338549045e-04,6.1296086642e-04,6.9416884799e-04,7.9263321823e-04
4.1440000000e-03,3.9363210817e-04,5.0232894864e-04,6.1347258452e-04,6.9670000812e-04,7.8907549323e-04
5.1440000000e-03,3.9525206375e-04,5.0023365475e-04,6.1656792241e-04,7.0041875006e-04,7.8954326455e-04
6.1440000000e-03,3.9440583350e-04,5.0062641094e-04,6.1595113948e-04,7.0418042014e-04,7.9196375737e-04
7.1440000000e-03,3.9374575863e-04,5.0521914090e-04,6.1470789660e-04,7.0828893513e-04,7.9783327237e-04
8.1440000000e-03,3.9041369746e-04,5.0120674132e-04,6.0886988649e-04,6.9891117164e-04,8.0173304013e-04
9.1440000000e-03,3.8728783693e-04,5.0177681260e-04,6.0561091232e-04,7.0559886808e-04,7.9421362898e-04
1.0144000000e-02,3.8698352000e-04,4.9551774282e-04,6.0739675973e-04,7.0477522968e-04,7.9869889305e-04
1.1144000000e-02,3.8992300688e-04,4.9441328883e-04,6.0808506532e-04,7.0838053944e-04,7.9684941738e-04
1.2144000000e-02,3.8906851842e-04,4.8983616580e-04,6.0832964664e-04,7.0484456955e-04,8.0345431343e-04
1.3144000000e-02,3.8565034629e-04,4.9447276979e-04,6.0196583945e-04,7.0593210694e-04,8.0051104305e-04
1.4144000000e-02,3.8767095248e-04,4.9578895414e-04,6.0668244259e-04,6.9980887929e-04,8.0035031715e-04
1.5144000000e-02,3.8876078179e-04,4.9573362048e-04,6.0632541135e-04,6.9504283601e-04,7.9438505054e-04
1.6144000000e-02,3.9424194256e-04,4.9485395721e-04,6.1006561737e-04,6.8980189099e-04,7.8927347204e-04
1.7144000000e-02,3.9446884330e-04,4.9607486289e-04,6.1458260461e-04,6.9924317359e-04,7.8192206274e-04
1.8144000000e-02,3.9834681957e-04,5.0169426686e-04,6.2049679400e-04,6.9728943345e-04,7.9267578258e-04
1.9144000000e-02,3.9434067730e-04,5.0186437875e-04,6.1268372519e-04,6.9188798079e-04,7.9196652223e-04
2.0144000000e-02,3.9314825699e-04,5.0624497817e-04,6.1337086663e-04,6.9575820817e-04,7.8677046986e-04
2.1144000000e-02,3.9362028474e-04,4.9825302995e-04,6.1490398366e-04,6.9661982707e-04,7.8946861322e-04
2.2144000000e-02,3.9503825974e-04,5.0261052820e-04,6.1593222199e-04,7.0586123911e-04,7.9071112850e-04
2.3144000000e-02,3.9395119529e-04,5.0153656048e-04,6.1438884586e-04,7.0436319220e-04,8.0100580817e-04
2.4144000000e-02,3.9041609853e-04,5.0357037253e-04,6.0698588641e-04,7.1175221819e-04,7.9780416854e-04
