# Saved on 2025-07-02T09:55:59.459125
# Name: Evan
# Sample_ID: Batch5_Sample5_F5_TPTE09
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0008
#   num_level: 5
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.3
#   v_rst: -0.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,3.8775044231e-04,4.8997655540e-04,6.0677844886e-04,6.8941109930e-04,8.0379279098e-04
1.0001440000e+00,3.8625854359e-04,4.9805305025e-04,6.1007853219e-04,6.9472720497e-04,7.9647921666e-04
2.0001440000e+00,3.8583460992e-04,4.9864192988e-04,6.1024758907e-04,6.9173918746e-04,7.8758734162e-04
3.0001440000e+00,3.8612452045e-04,4.9938167649e-04,6.0515230871e-04,6.8038156314e-04,7.9484852904e-04
4.0001440000e+00,3.8588059397e-04,5.0041584473e-04,6.0412145103e-04,6.7884378950e-04,7.9778103100e-04
5.0001440000e+00,3.8605870941e-04,5.0043232477e-04,6.0604070313e-04,6.7867011239e-04,7.9679972259e-04
6.0001440000e+00,3.8769576349e-04,5.0055226893e-04,6.0446538555e-04,6.8182205723e-04,7.9408047895e-04
7.0001440000e+00,3.8502395910e-04,5.0016995374e-04,6.0669917730e-04,6.8347333581e-04,7.9521079897e-04
8.0001440000e+00,3.8464189856e-04,5.0085556722e-04,6.0622980527e-04,6.8748762715e-04,7.9530334915e-04
9.0001440000e+00,3.8487058191e-04,5.0220489356e-04,6.0660557210e-04,6.8575558544e-04,7.9601682955e-04
1.0000144000e+01,3.8299345761e-04,5.0173472118e-04,6.0603208112e-04,6.8534711318e-04,7.9667239334e-04
1.1000144000e+01,3.8519283407e-04,5.0191476475e-04,6.0843191022e-04,6.8407229264e-04,7.9360987002e-04
1.2000144000e+01,3.8452799345e-04,5.0067133998e-04,6.1496873968e-04,6.8378714786e-04,7.9850862676e-04
1.3000144000e+01,3.8417780161e-04,5.0099559303e-04,6.1074679252e-04,6.8355795520e-04,8.0121448264e-04
1.4000144000e+01,3.8521153328e-04,5.0012076827e-04,6.1509941588e-04,6.8424815254e-04,7.9655801528e-04
1.5000144000e+01,3.8406360545e-04,5.0001402997e-04,6.1292179453e-04,6.8470479164e-04,7.9751182056e-04
1.6000144000e+01,3.8514488551e-04,4.9945985666e-04,6.1542923504e-04,6.8220419053e-04,7.9562232713e-04
1.7000144000e+01,3.8432037400e-04,5.0000879128e-04,6.1514190747e-04,6.8040411861e-04,7.9647958046e-04
1.8000144000e+01,3.8475594920e-04,4.9925536587e-04,6.1742161051e-04,6.7904751631e-04,7.9525321780e-04
1.9000144000e+01,3.8669451897e-04,4.9893416872e-04,6.1778744566e-04,6.7804408900e-04,7.9430152255e-04
2.0000144000e+01,3.7921327021e-04,4.9965907237e-04,6.1920494772e-04,6.7707420385e-04,7.9000863479e-04
2.1000144000e+01,3.7923822674e-04,4.9824197049e-04,6.2144157710e-04,6.7576322181e-04,7.8560966358e-04
2.2000144000e+01,3.8181835407e-04,4.9813967053e-04,6.1894243117e-04,6.8666195148e-04,7.9150457168e-04
2.3000144000e+01,3.8307796785e-04,4.9816226237e-04,6.1254941102e-04,6.9007546699e-04,7.8680932347e-04
2.4000144000e+01,3.8426893298e-04,4.9958543968e-04,6.0888953158e-04,6.8469133112e-04,7.8704739281e-04
