# Saved on 2025-06-23T13:16:50.771818
# Name: Evan
# Sample_ID: Batch5_Sample5_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 10
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,3.5320000000e-11
1.0000000000e+00,3.9820000000e-11
1.0000000000e+00,2.1260000000e-11
1.0000000000e+00,5.2350000000e-11
1.0000000000e+00,2.2340000000e-11
1.0000000000e+00,2.2060000000e-11
1.0000000000e+00,7.5930000000e-12
1.0000000000e+00,1.1018000000e-11
1.0000000000e+00,1.3024000000e-11
1.0000000000e+00,6.7310000000e-11
1.0000000000e+00,7.9400000000e-12
1.0000000000e+00,1.8777000000e-11
1.1000000000e+00,2.4599000000e-11
1.1000000000e+00,7.0100000000e-12
1.1000000000e+00,4.6480000000e-11
1.1000000000e+00,4.3590000000e-11
1.1000000000e+00,2.8590000000e-11
