# Saved on 2025-07-01T14:10:48.014054
# Name: Evan
# Sample_ID: Batch5_Sample5_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 15
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.8
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,4.0178256313e-04
1.1440000000e-03,3.9757356717e-04
2.1440000000e-03,4.0255974454e-04
3.1440000000e-03,4.0252620238e-04
4.1440000000e-03,4.0027120122e-04
5.1440000000e-03,4.0020007873e-04
6.1440000000e-03,4.0203456592e-04
7.1440000000e-03,4.0725968574e-04
8.1440000000e-03,4.0601789806e-04
9.1440000000e-03,4.1121551476e-04
1.0144000000e-02,4.0383820306e-04
1.1144000000e-02,4.0678711230e-04
1.2144000000e-02,4.0575465391e-04
1.3144000000e-02,4.0749051550e-04
1.4144000000e-02,4.0594622988e-04
1.5144000000e-02,4.0539704059e-04
1.6144000000e-02,4.0139850171e-04
1.7144000000e-02,3.9954134991e-04
1.8144000000e-02,4.0198159695e-04
1.9144000000e-02,4.0193783207e-04
2.0144000000e-02,4.0198647184e-04
2.1144000000e-02,3.9769322029e-04
2.2144000000e-02,4.0059519961e-04
2.3144000000e-02,3.9987640776e-04
2.4144000000e-02,4.0455339331e-04
2.5144000000e-02,4.0698669181e-04
2.6144000000e-02,4.1102219257e-04
2.7144000000e-02,4.0552771679e-04
2.8144000000e-02,4.0489034291e-04
2.9144000000e-02,4.0782189899e-04
3.0144000000e-02,4.0771552449e-04
3.1144000000e-02,4.0634979086e-04
3.2144000000e-02,4.0054917918e-04
3.3144000000e-02,4.0134069422e-04
3.4144000000e-02,3.9657352318e-04
3.5144000000e-02,4.0320905100e-04
3.6144000000e-02,4.0131635615e-04
3.7144000000e-02,4.0192113374e-04
3.8144000000e-02,3.9947692130e-04
3.9144000000e-02,4.0195340262e-04
4.0144000000e-02,4.0204085963e-04
4.1144000000e-02,4.0505205106e-04
4.2144000000e-02,4.0772862121e-04
4.3144000000e-02,4.0477647417e-04
4.4144000000e-02,4.0556285967e-04
4.5144000000e-02,4.0587132389e-04
4.6144000000e-02,4.0858176362e-04
4.7144000000e-02,4.0634906327e-04
4.8144000000e-02,4.0685321437e-04
4.9144000000e-02,4.0295231884e-04
5.0144000000e-02,4.0003484173e-04
