# Saved on 2025-07-01T14:10:48.024054
# Name: Evan
# Sample_ID: Batch5_Sample5_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 15
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.8
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.9988484787e-04
1.0001440000e+00,3.9737195038e-04
2.0001440000e+00,4.0106289816e-04
3.0001440000e+00,4.0850038204e-04
4.0001440000e+00,4.0491791879e-04
5.0001440000e+00,4.0473136323e-04
6.0001440000e+00,4.0473361878e-04
7.0001440000e+00,4.0129700210e-04
8.0001440000e+00,4.0546074160e-04
9.0001440000e+00,4.0500013711e-04
1.0000144000e+01,4.0443614125e-04
1.1000144000e+01,4.0156905015e-04
1.2000144000e+01,4.0355520468e-04
1.3000144000e+01,4.0205773985e-04
1.4000144000e+01,4.0322640416e-04
1.5000144000e+01,4.0327708120e-04
1.6000144000e+01,4.0278100641e-04
1.7000144000e+01,4.0316630475e-04
1.8000144000e+01,4.0395487304e-04
1.9000144000e+01,4.0232465835e-04
2.0000144000e+01,4.0454415284e-04
2.1000144000e+01,4.0441700548e-04
2.2000144000e+01,4.0522150812e-04
2.3000144000e+01,4.0610018914e-04
2.4000144000e+01,4.1249833885e-04
2.5000144000e+01,4.1355109715e-04
2.6000144000e+01,4.1235052777e-04
2.7000144000e+01,4.0853199607e-04
2.8000144000e+01,4.0436159907e-04
2.9000144000e+01,4.0805236495e-04
3.0000144000e+01,4.0795490349e-04
3.1000144000e+01,4.0860159061e-04
3.2000144000e+01,4.0821290895e-04
3.3000144000e+01,4.0250364691e-04
3.4000144000e+01,4.0803668526e-04
3.5000144000e+01,4.0977036406e-04
3.6000144000e+01,4.0805982280e-04
3.7000144000e+01,4.0727674786e-04
3.8000144000e+01,4.0492053813e-04
3.9000144000e+01,4.0226568672e-04
4.0000144000e+01,3.9408663724e-04
4.1000144000e+01,4.0580394852e-04
4.2000144000e+01,4.0385180910e-04
4.3000144000e+01,4.0427657950e-04
4.4000144000e+01,4.0190341679e-04
4.5000144000e+01,4.0216880734e-04
4.6000144000e+01,4.0342558350e-04
4.7000144000e+01,3.9880414988e-04
4.8000144000e+01,4.0507780795e-04
4.9000144000e+01,4.0647577407e-04
5.0000144000e+01,4.0822120354e-04
