# Saved on 2025-07-01T13:52:10.974854
# Name: Evan
# Sample_ID: Batch5_Sample5_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 50
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.9781629312e-04
1.1440000000e-03,3.9695158193e-04
2.1440000000e-03,4.0144921513e-04
3.1440000000e-03,3.9619684685e-04
4.1440000000e-03,3.9716018364e-04
5.1440000000e-03,3.9645023207e-04
6.1440000000e-03,3.9960632421e-04
7.1440000000e-03,3.9841812395e-04
8.1440000000e-03,3.9749043935e-04
9.1440000000e-03,3.9232196286e-04
1.0144000000e-02,3.8954724005e-04
1.1144000000e-02,3.9171693061e-04
1.2144000000e-02,3.9183880290e-04
1.3144000000e-02,3.9170448872e-04
1.4144000000e-02,3.8872258301e-04
1.5144000000e-02,3.9070488128e-04
1.6144000000e-02,3.8971873437e-04
1.7144000000e-02,3.9511367504e-04
1.8144000000e-02,3.9631242544e-04
1.9144000000e-02,4.0061444452e-04
2.0144000000e-02,3.9622253098e-04
2.1144000000e-02,3.9600949094e-04
2.2144000000e-02,3.9881539124e-04
2.3144000000e-02,3.9717371692e-04
2.4144000000e-02,3.9616857975e-04
2.5144000000e-02,3.8960188249e-04
2.6144000000e-02,3.9088987251e-04
2.7144000000e-02,3.8626916648e-04
2.8144000000e-02,3.9212303818e-04
2.9144000000e-02,3.9131758967e-04
3.0144000000e-02,3.9138009015e-04
3.1144000000e-02,3.8904843677e-04
3.2144000000e-02,3.9085436583e-04
3.3144000000e-02,3.9155860577e-04
3.4144000000e-02,3.9522332372e-04
3.5144000000e-02,3.9795595512e-04
3.6144000000e-02,3.9463287976e-04
3.7144000000e-02,3.9500017010e-04
3.8144000000e-02,3.9450369513e-04
3.9144000000e-02,3.9823607949e-04
4.0144000000e-02,3.9630282117e-04
4.1144000000e-02,3.9732549340e-04
4.2144000000e-02,3.9306039980e-04
4.3144000000e-02,3.9060843847e-04
4.4144000000e-02,3.8684447645e-04
4.5144000000e-02,3.9248807298e-04
4.6144000000e-02,3.9189057134e-04
4.7144000000e-02,3.8918358769e-04
4.8144000000e-02,3.9014383219e-04
4.9144000000e-02,3.9049722545e-04
5.0144000000e-02,3.9663405914e-04
