# Saved on 2025-07-23T13:18:29.988702
# Name: Evan
# Sample_ID: MTW_UnknownTest
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.3
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   SMU_Pair: [2, 1]
#   min_gtarget: 0.00025
#   max_gtarget: 0.0012
#   num_level: 5
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.00025
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,2.3862000000e-12
1.1000000000e+00,1.4524000000e-12
1.2000000000e+00,9.5560000000e-13
1.3000000000e+00,2.0068000000e-12
1.4000000000e+00,2.2230000000e-12
1.5000000000e+00,3.6421000000e-12
1.6000000000e+00,5.4659000000e-12
1.7000000000e+00,9.5300000000e-12
1.7000000000e+00,8.0167000000e-12
1.8000000000e+00,1.2949000000e-11
1.8000000000e+00,1.2817000000e-11
1.8000000000e+00,1.2839000000e-11
1.8000000000e+00,1.3095000000e-11
1.8000000000e+00,1.3074000000e-11
1.8000000000e+00,1.2841000000e-11
1.8000000000e+00,1.3060000000e-11
1.8000000000e+00,1.3058000000e-11
1.8000000000e+00,1.3100000000e-11
1.8000000000e+00,1.3376000000e-11
1.8000000000e+00,1.3164000000e-11
1.8000000000e+00,1.3562000000e-11
1.9000000000e+00,2.0927000000e-11
1.9000000000e+00,2.0458000000e-11
1.9000000000e+00,1.9964000000e-11
1.9000000000e+00,1.9922000000e-11
1.9000000000e+00,1.9025000000e-11
1.9000000000e+00,1.9390000000e-11
1.9000000000e+00,1.8966000000e-11
1.9000000000e+00,1.9758000000e-11
1.9000000000e+00,1.9486000000e-11
1.9000000000e+00,1.8818000000e-11
1.9000000000e+00,1.8151000000e-11
1.9000000000e+00,2.1092000000e-11
2.0000000000e+00,2.9533000000e-11
2.0000000000e+00,2.9755000000e-11
2.0000000000e+00,2.9976000000e-11
2.0000000000e+00,2.8894000000e-11
2.0000000000e+00,3.0026000000e-11
2.0000000000e+00,2.9442000000e-11
2.0000000000e+00,2.9536000000e-11
2.0000000000e+00,2.8180000000e-11
2.0000000000e+00,2.8393000000e-11
2.0000000000e+00,2.8921000000e-11
2.0000000000e+00,2.9265000000e-11
2.1000000000e+00,4.5149000000e-11
2.1000000000e+00,4.3342000000e-11
2.1000000000e+00,4.3849000000e-11
2.1000000000e+00,4.4098000000e-11
2.1000000000e+00,4.3193000000e-11
2.1000000000e+00,4.2772000000e-11
2.1000000000e+00,4.1732000000e-11
2.1000000000e+00,4.3031000000e-11
2.1000000000e+00,4.0671000000e-11
2.1000000000e+00,4.1014000000e-11
2.2000000000e+00,6.1354000000e-11
2.2000000000e+00,6.1302000000e-11
2.2000000000e+00,6.0556000000e-11
2.2000000000e+00,6.0501000000e-11
2.2000000000e+00,6.0436000000e-11
2.2000000000e+00,6.1282000000e-11
2.2000000000e+00,6.2152000000e-11
2.2000000000e+00,6.1357000000e-11
2.2000000000e+00,5.8835000000e-11
2.2000000000e+00,5.8922000000e-11
2.3000000000e+00,8.9375000000e-11
2.3000000000e+00,8.6997000000e-11
2.3000000000e+00,8.8959000000e-11
2.3000000000e+00,8.6359000000e-11
2.3000000000e+00,8.6558000000e-11
2.3000000000e+00,8.6746000000e-11
2.3000000000e+00,8.5509000000e-11
2.3000000000e+00,8.5130000000e-11
2.3000000000e+00,8.4330000000e-11
