# Saved on 2025-07-24T11:31:45.549437
# Name: Evan
# Sample_ID: MTW_UnknownTest
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.3
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   SMU_Pair: [2, 1]
#   min_gtarget: 0.0009
#   max_gtarget: 0.0012
#   num_level: 5
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 0.005555
#   ProgramTargetOffset: 0.005555
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.00025
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,-1.5771058770e-06
1.1440000000e-03,-1.5545589349e-06
2.1440000000e-03,-1.5608056003e-06
3.1440000000e-03,-1.5796854314e-06
4.1440000000e-03,-1.5575427881e-06
5.1440000000e-03,-1.5841612822e-06
6.1440000000e-03,-1.5680564047e-06
7.1440000000e-03,-1.5837569833e-06
8.1440000000e-03,-1.5124489039e-06
9.1440000000e-03,-1.5546146415e-06
1.0144000000e-02,-1.5613912296e-06
1.1144000000e-02,-1.5730761049e-06
1.2144000000e-02,-1.5848864621e-06
1.3144000000e-02,-1.5534712361e-06
1.4144000000e-02,-1.5404896203e-06
1.5144000000e-02,-1.5885396465e-06
1.6144000000e-02,-1.5473918324e-06
1.7144000000e-02,-1.5706498857e-06
1.8144000000e-02,-1.5871174242e-06
1.9144000000e-02,-1.5588675240e-06
2.0144000000e-02,-1.5782771356e-06
2.1144000000e-02,-1.5960831945e-06
2.2144000000e-02,-1.6016049642e-06
2.3144000000e-02,-1.6208471720e-06
2.4144000000e-02,-1.5939498610e-06
2.5144000000e-02,-1.6090787369e-06
2.6144000000e-02,-1.5645565554e-06
2.7144000000e-02,-1.5590069324e-06
2.8144000000e-02,-1.5864480929e-06
2.9144000000e-02,-1.5722952185e-06
3.0144000000e-02,-1.5815120946e-06
3.1144000000e-02,-1.5551584909e-06
3.2144000000e-02,-1.5952466015e-06
3.3144000000e-02,-1.6291159000e-06
3.4144000000e-02,-1.5919418672e-06
3.5144000000e-02,-1.6081584420e-06
3.6144000000e-02,-1.6029434846e-06
3.7144000000e-02,-1.5981329682e-06
3.8144000000e-02,-1.5922486796e-06
3.9144000000e-02,-1.6415397397e-06
4.0144000000e-02,-1.6055928143e-06
4.1144000000e-02,-1.6100408118e-06
4.2144000000e-02,-1.5764365457e-06
4.3144000000e-02,-1.5467364278e-06
4.4144000000e-02,-1.5431528766e-06
4.5144000000e-02,-1.5599550807e-06
4.6144000000e-02,-1.5381331764e-06
4.7144000000e-02,-1.5499992401e-06
4.8144000000e-02,-1.5436408773e-06
4.9144000000e-02,-1.5382168783e-06
5.0144000000e-02,-1.5414796906e-06
5.1144000000e-02,-1.5527879782e-06
5.2144000000e-02,-1.5337130321e-06
5.3144000000e-02,-1.5545170129e-06
5.4144000000e-02,-1.5825717981e-06
5.5144000000e-02,-1.5363762884e-06
5.6144000000e-02,-1.5860995006e-06
5.7144000000e-02,-1.5689069244e-06
5.8144000000e-02,-1.5270758524e-06
5.9144000000e-02,-1.5910356410e-06
6.0144000000e-02,-1.5546564214e-06
6.1144000000e-02,-1.5617398219e-06
6.2144000000e-02,-1.5507103512e-06
6.3144000000e-02,-1.5460392433e-06
6.4144000000e-02,-1.5319282909e-06
6.5144000000e-02,-1.5572081224e-06
6.6144000000e-02,-1.5373802853e-06
6.7144000000e-02,-1.5783747642e-06
6.8144000000e-02,-1.5912587514e-06
6.9144000000e-02,-1.6344563392e-06
