# Saved on 2025-07-24T11:33:24.183510
# Name: Evan
# Sample_ID: MTW_UnknownTest
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.3
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   SMU_Pair: [2, 1]
#   min_gtarget: 0.0009
#   max_gtarget: 0.0012
#   num_level: 5
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 0.005555
#   ProgramTargetOffset: 0.005555
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.00025
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_900.00 uS,Conductance_Target_975.00 uS,Conductance_Target_1050.00 uS,Conductance_Target_1125.00 uS,Conductance_Target_1200.00 uS
1.4400000000e-04,-1.5034133583e-06,-1.4965948480e-06,-1.3633140270e-05,-1.3312580904e-05,-1.3262731500e-05
1.1440000000e-03,-1.4857745612e-06,-1.4940013671e-06,-1.3658417402e-05,-1.3495455278e-05,-1.3127165630e-05
2.1440000000e-03,-1.5280937760e-06,-1.4930112968e-06,-1.3600377997e-05,-1.3707701783e-05,-1.4079380435e-05
3.1440000000e-03,-1.5035946888e-06,-1.5341034043e-06,-1.3650933397e-05,-1.3493619235e-05,-1.4174136140e-05
4.1440000000e-03,-1.5040407675e-06,-1.5113333518e-06,-1.3627915223e-05,-1.3568039776e-05,-1.3684965552e-05
5.1440000000e-03,-1.4923141123e-06,-1.4915890745e-06,-1.3776332253e-05,-1.3496161273e-05,-1.3590492927e-05
6.1440000000e-03,-1.4819678995e-06,-1.5107477225e-06,-1.3476956156e-05,-1.3496867268e-05,-1.3681152495e-05
7.1440000000e-03,-1.4736575338e-06,-1.4935551462e-06,-1.3443910802e-05,-1.3565356767e-05,-1.3531605418e-05
8.1440000000e-03,-1.4736436071e-06,-1.4782031599e-06,-1.3887045043e-05,-1.3267533632e-05,-1.3635681171e-05
9.1440000000e-03,-1.4516542990e-06,-1.5157674227e-06,-1.3762775097e-05,-1.3633140270e-05,-1.3634411289e-05
1.0144000000e-02,-1.4714962049e-06,-1.4799321946e-06,-1.3598260011e-05,-1.3442216868e-05,-1.3701346688e-05
1.1144000000e-02,-1.4806850857e-06,-1.4882147070e-06,-1.3838890709e-05,-1.3460432911e-05,-1.3757409079e-05
1.2144000000e-02,-1.4906967749e-06,-1.5383980667e-06,-1.3615770058e-05,-1.3107253380e-05,-1.3622125152e-05
1.3144000000e-02,-1.4747311639e-06,-1.5141220899e-06,-1.4006371885e-05,-1.3490088122e-05,-1.3671126453e-05
1.4144000000e-02,-1.4568971096e-06,-1.4854957442e-06,-1.3580042832e-05,-1.3363701328e-05,-1.3715891782e-05
1.5144000000e-02,-1.5016006216e-06,-1.4859558917e-06,-1.3876594949e-05,-1.3358476281e-05,-1.3967961650e-05
1.6144000000e-02,-1.4950610705e-06,-1.4802110115e-06,-1.3710243820e-05,-1.3465235043e-05,-1.3729589909e-05
1.7144000000e-02,-1.5293485944e-06,-1.5190721570e-06,-1.3926444353e-05,-1.3274876665e-05,-1.3648814274e-05
1.8144000000e-02,-1.4985191399e-06,-1.5191697855e-06,-1.4027694988e-05,-1.3200456124e-05,-1.3622266124e-05
1.9144000000e-02,-1.4802529336e-06,-1.5044034285e-06,-1.3435861774e-05,-1.3189159063e-05,-1.3452807934e-05
2.0144000000e-02,-1.4946567717e-06,-1.5310776291e-06,-1.3820956610e-05,-1.3238160363e-05,-1.3919242292e-05
2.1144000000e-02,-1.4762510148e-06,-1.5415353971e-06,-1.3973327668e-05,-1.3462833977e-05,-1.3552646578e-05
2.2144000000e-02,-1.5391928798e-06,-1.5254722996e-06,-1.4198566305e-05,-1.3681859627e-05,-1.3654039321e-05
