# Name: Evan
# Test Number: Program-Retention
# Die Number: 1
# Device Number: 67
# Interval: 0.01
# data_points: 300
# v_rd: 1
# Waveform Format: Reram
# Waveform: Evan_Reram_4
# VDD WGFMU: 1
# VSS WGFMU: 2
# smu_numD: 4
# smu_numG: 1
# smu_numB: 2
# smu_numS: 3
# VDBias: 1
# VGBias: 0
# VSBias: 0
# VBBias: 0
# Wait: 0.001
# VDBiasRead: 1
# VGBiasRead: 0
# VSBiasRead: 0
# VBBiasRead: 0

Measurement,SMU1_Current,SMU1_Time,SMU4_Current,SMU4_Time
0,+0.27230E-09,+1.19370E-01,+0.54160E-06,+1.19370E-01
1,+0.08630E-09,+1.57890E-01,+0.54165E-06,
2,+0.11055E-09,+1.91070E-01,+0.54165E-06,
3,+0.28880E-09,+2.20550E-01,+0.54170E-06,
4,+0.27315E-09,+2.52550E-01,+0.54160E-06,
5,+0.26255E-09,+2.85940E-01,+0.54160E-06,
6,-0.03555E-09,+3.16570E-01,+0.54160E-06,
7,-0.03300E-09,+3.49950E-01,+0.54160E-06,
8,-0.04325E-09,+3.83120E-01,+0.54160E-06,
9,+0.01890E-09,+4.12570E-01,+0.54160E-06,
10,-0.31875E-09,+4.44580E-01,+0.54160E-06,
11,-0.25500E-09,+4.76840E-01,+0.54160E-06,
12,-0.30765E-09,+5.09980E-01,+0.54160E-06,
13,+0.20415E-09,+5.40540E-01,+0.54160E-06,
14,-0.25720E-09,+5.77330E-01,+0.54160E-06,
15,-0.01500E-09,+6.04400E-01,+0.54160E-06,
16,+0.39185E-09,+6.36590E-01,+0.54160E-06,
17,+0.27525E-09,+6.68570E-01,+0.54160E-06,
18,+0.27800E-09,+7.01980E-01,+0.54160E-06,
19,-0.11800E-09,+7.32580E-01,+0.54160E-06,
20,-0.11990E-09,+7.65790E-01,+0.54160E-06,
21,-0.13065E-09,+7.99120E-01,+0.54160E-06,
22,-0.35955E-09,+8.28590E-01,+0.54160E-06,
23,-0.27365E-09,+8.60570E-01,+0.54160E-06,
24,-0.27045E-09,+8.93980E-01,+0.54160E-06,
25,+0.06240E-09,+9.24570E-01,+0.54165E-06,
26,+0.05605E-09,+9.57910E-01,+0.54160E-06,
27,+0.07760E-09,+9.91120E-01,+0.54165E-06,
28,+0.07300E-09,+1.02058E+00,+0.54165E-06,
29,+0.29285E-09,+1.05259E+00,+0.54160E-06,
30,+0.32290E-09,+1.08483E+00,+0.54160E-06,
31,+0.28445E-09,+1.11912E+00,+0.54160E-06,
32,-0.14755E-09,+1.14879E+00,+0.54160E-06,
33,+0.28730E-09,+1.18540E+00,+0.54160E-06,
34,-0.00205E-09,+1.21258E+00,+0.54165E-06,
35,-0.37225E-09,+1.24458E+00,+0.54165E-06,
36,-0.29260E-09,+1.27658E+00,+0.54160E-06,
37,-0.27635E-09,+1.30996E+00,+0.54160E-06,
38,+0.16060E-09,+1.34052E+00,+0.54160E-06,
39,+0.15815E-09,+1.37385E+00,+0.54160E-06,
40,+0.16465E-09,+1.40712E+00,+0.54165E-06,
41,+0.38475E-09,+1.43658E+00,+0.54160E-06,
42,+0.27105E-09,+1.46857E+00,+0.54160E-06,
43,+0.26735E-09,+1.50196E+00,+0.54160E-06,
44,-0.07665E-09,+1.53255E+00,+0.54160E-06,
45,-0.09125E-09,+1.56576E+00,+0.54160E-06,
46,-0.08810E-09,+1.59915E+00,+0.54160E-06,
47,-0.22640E-09,+1.62857E+00,+0.54155E-06,
48,-0.27770E-09,+1.66057E+00,+0.54160E-06,
49,-0.28150E-09,+1.69395E+00,+0.54160E-06,
