# Name: Evan
# Test Number: Program-Retention
# Die Number: 1
# Device Number: 67
# Interval: 0.01
# data_points: 300
# v_rd: 1
# Waveform Format: Reram
# Waveform: Evan_Reram_4
# VDD WGFMU: 1
# VSS WGFMU: 2
# smu_numD: 4
# smu_numG: 1
# smu_numB: 2
# smu_numS: 3
# VDBias: 1
# VGBias: 0
# VSBias: 0
# VBBias: 0
# Wait: 0
# VDBiasRead: 1
# VGBiasRead: 0
# VSBiasRead: 0
# VBBiasRead: 0

Measurement,SMU1_Current,SMU1_Time,SMU4_Current,SMU4_Time
0,-0.16835E-09,+1.24260E-01,+0.54165E-06,+1.24260E-01
1,-0.12950E-09,+1.40980E-01,+0.54165E-06,
2,+0.00340E-09,+1.54420E-01,+0.54165E-06,
3,-0.39370E-09,+1.70390E-01,+0.54165E-06,
4,-0.29975E-09,+1.86450E-01,+0.54170E-06,
5,-0.27835E-09,+2.02410E-01,+0.54165E-06,
6,-0.29790E-09,+2.18700E-01,+0.54170E-06,
7,-0.27720E-09,+2.35940E-01,+0.54170E-06,
8,-0.03265E-09,+2.58420E-01,+0.54165E-06,
9,-0.12110E-09,+2.74500E-01,+0.54165E-06,
10,-0.01465E-09,+2.91920E-01,+0.54165E-06,
11,-0.12545E-09,+3.07760E-01,+0.54165E-06,
12,-0.04600E-09,+3.25040E-01,+0.54165E-06,
13,+0.00070E-09,+3.50260E-01,+0.54170E-06,
14,-0.39250E-09,+3.70470E-01,+0.54165E-06,
15,-0.29675E-09,+3.86440E-01,+0.54170E-06,
16,-0.27115E-09,+4.02550E-01,+0.54165E-06,
17,-0.33100E-09,+4.18650E-01,+0.54170E-06,
18,-0.27180E-09,+4.35850E-01,+0.54165E-06,
19,-0.27990E-09,+4.52960E-01,+0.54170E-06,
20,-0.13165E-09,+4.74570E-01,+0.54165E-06,
21,-0.00170E-09,+4.91920E-01,+0.54170E-06,
22,-0.15060E-09,+5.07820E-01,+0.54165E-06,
23,-0.02500E-09,+5.25110E-01,+0.54165E-06,
24,+0.00065E-09,+5.46550E-01,+0.54165E-06,
25,+0.35190E-09,+5.62400E-01,+0.54175E-06,
26,-0.30665E-09,+5.86500E-01,+0.54170E-06,
27,+0.26605E-09,+6.10600E-01,+0.54165E-06,
28,+0.27120E-09,+6.27800E-01,+0.54170E-06,
29,+0.29045E-09,+6.43800E-01,+0.54170E-06,
30,+0.08200E-09,+6.66610E-01,+0.54175E-06,
31,+0.01530E-09,+6.92000E-01,+0.54165E-06,
32,-0.14095E-09,+7.07890E-01,+0.54165E-06,
33,-0.06275E-09,+7.24950E-01,+0.54165E-06,
34,-0.02685E-09,+7.42070E-01,+0.54165E-06,
35,+0.30735E-09,+7.62560E-01,+0.54175E-06,
36,-0.28630E-09,+7.86480E-01,+0.54175E-06,
37,-0.27185E-09,+8.02500E-01,+0.54170E-06,
38,-0.28615E-09,+8.19820E-01,+0.54170E-06,
39,-0.27205E-09,+8.35750E-01,+0.54165E-06,
40,+0.03135E-09,+8.50390E-01,+0.54170E-06,
41,-0.13365E-09,+8.74610E-01,+0.54165E-06,
42,-0.05765E-09,+8.91780E-01,+0.54165E-06,
43,+0.02230E-09,+9.17110E-01,+0.54165E-06,
44,-0.00585E-09,+9.38790E-01,+0.54165E-06,
45,-0.25745E-09,+9.54370E-01,+0.54155E-06,
46,-0.38265E-09,+9.70420E-01,+0.54165E-06,
47,-0.27715E-09,+9.86520E-01,+0.54170E-06,
48,+0.28995E-09,+1.01060E+00,+0.54165E-06,
49,+0.27940E-09,+1.02783E+00,+0.54170E-06,
