===================================
Name           : Evan
Test Number    : Program-Retention
Die Number     : 1
Device Number  : 67
Interval       : 0.01
data_points    : 300
v_rd           : 1
Waveform Format: Reram
Waveform       : Evan_Reram_4
VDD WGFMU      : 1
VSS WGFMU      : 2
smu_numD       : 4
smu_numG       : 1
smu_numB       : 2
smu_numS       : 3
VDBias         : 1
VGBias         : 0
VSBias         : 0
VBBias         : 0
Wait           : 0
VDBiasRead     : 1
VGBiasRead     : 0
VSBiasRead     : 0
VBBiasRead     : 0
===================================

Measurement	SMU1_Current	SMU1_Time	SMU4_Current	SMU4_Time
0	+0.02840E-09	+1.19980E-01	+0.54170E-06	+1.19980E-01
1	+0.03705E-09	+1.52660E-01	+0.54170E-06	
2	+0.14930E-09	+1.68490E-01	+0.54170E-06	
3	-0.02405E-09	+1.81940E-01	+0.54170E-06	
4	+0.36895E-09	+1.97970E-01	+0.54175E-06	
5	+0.31795E-09	+2.13970E-01	+0.54170E-06	
6	+0.25315E-09	+2.29940E-01	+0.54170E-06	
7	+0.29870E-09	+2.46160E-01	+0.54170E-06	
8	+0.25305E-09	+2.63360E-01	+0.54170E-06	
9	+0.27825E-09	+2.80460E-01	+0.54165E-06	
10	-0.09770E-09	+2.93970E-01	+0.54170E-06	
11	-0.12260E-09	+3.10220E-01	+0.54175E-06	
12	-0.06625E-09	+3.27420E-01	+0.54170E-06	
13	+0.01855E-09	+3.52670E-01	+0.54175E-06	
14	+0.15135E-09	+3.68560E-01	+0.54175E-06	
15	-0.03090E-09	+3.82000E-01	+0.54170E-06	
16	+0.36830E-09	+3.97990E-01	+0.54175E-06	
17	+0.32855E-09	+4.14040E-01	+0.54165E-06	
18	+0.25090E-09	+4.29930E-01	+0.54170E-06	
19	+0.28370E-09	+4.46220E-01	+0.54170E-06	
20	+0.24925E-09	+4.63300E-01	+0.54170E-06	
21	+0.29135E-09	+4.80560E-01	+0.54165E-06	
22	-0.05620E-09	+4.94090E-01	+0.54170E-06	
23	-0.14440E-09	+5.10210E-01	+0.54170E-06	
24	+0.12320E-09	+5.35500E-01	+0.54175E-06	
25	+0.02690E-09	+5.52570E-01	+0.54175E-06	
26	+0.14390E-09	+5.68610E-01	+0.54170E-06	
27	+0.02010E-09	+5.81920E-01	+0.54170E-06	
28	+0.36850E-09	+5.97970E-01	+0.54170E-06	
29	+0.29080E-09	+6.13920E-01	+0.54170E-06	
30	+0.26545E-09	+6.30010E-01	+0.54170E-06	
31	+0.28065E-09	+6.46180E-01	+0.54170E-06	
32	+0.26265E-09	+6.63380E-01	+0.54170E-06	
33	+0.26820E-09	+6.80450E-01	+0.54170E-06	
34	-0.06675E-09	+6.94010E-01	+0.54170E-06	
35	-0.21590E-09	+7.10000E-01	+0.54170E-06	
36	+0.08830E-09	+7.35640E-01	+0.54175E-06	
37	+0.04705E-09	+7.52520E-01	+0.54175E-06	
38	+0.14740E-09	+7.68500E-01	+0.54175E-06	
39	+0.01155E-09	+7.81960E-01	+0.54170E-06	
40	+0.35955E-09	+7.98080E-01	+0.54180E-06	
41	+0.32385E-09	+8.14080E-01	+0.54165E-06	
42	+0.26550E-09	+8.29910E-01	+0.54170E-06	
43	+0.28060E-09	+8.46180E-01	+0.54175E-06	
44	+0.27420E-09	+8.63420E-01	+0.54170E-06	
45	+0.27705E-09	+8.80560E-01	+0.54170E-06	
46	-0.08350E-09	+8.94000E-01	+0.54175E-06	
47	-0.15420E-09	+9.10170E-01	+0.54170E-06	
48	-0.07810E-09	+9.27380E-01	+0.54170E-06	
49	+0.04455E-09	+9.52660E-01	+0.54175E-06	
50	+0.12295E-09	+9.68620E-01	+0.54175E-06	
51	+0.07075E-09	+9.81890E-01	+0.54175E-06	
52	+0.37825E-09	+9.97900E-01	+0.54175E-06	
53	+0.28010E-09	+1.01395E+00	+0.54165E-06	
54	+0.25865E-09	+1.02997E+00	+0.54170E-06	
55	+0.29345E-09	+1.04618E+00	+0.54175E-06	
56	+0.25940E-09	+1.06330E+00	+0.54170E-06	
57	+0.29190E-09	+1.08063E+00	+0.54165E-06	
58	-0.09855E-09	+1.09403E+00	+0.54170E-06	
59	-0.12450E-09	+1.11030E+00	+0.54170E-06	
60	+0.10695E-09	+1.13554E+00	+0.54175E-06	
61	+0.05410E-09	+1.15257E+00	+0.54175E-06	
62	+0.13885E-09	+1.16862E+00	+0.54175E-06	
63	+0.01500E-09	+1.18198E+00	+0.54170E-06	
64	+0.38330E-09	+1.19794E+00	+0.54170E-06	
65	+0.29565E-09	+1.21397E+00	+0.54165E-06	
66	+0.24970E-09	+1.22994E+00	+0.54170E-06	
67	+0.31095E-09	+1.24617E+00	+0.54175E-06	
68	+0.25145E-09	+1.26346E+00	+0.54170E-06	
69	+0.28890E-09	+1.28061E+00	+0.54165E-06	
70	-0.08925E-09	+1.29406E+00	+0.54170E-06	
71	-0.14490E-09	+1.31017E+00	+0.54170E-06	
72	+0.12465E-09	+1.33555E+00	+0.54170E-06	
73	+0.04295E-09	+1.35252E+00	+0.54175E-06	
74	+0.15695E-09	+1.36861E+00	+0.54170E-06	
75	+0.05760E-09	+1.38193E+00	+0.54175E-06	
76	+0.37795E-09	+1.39796E+00	+0.54170E-06	
77	+0.29515E-09	+1.41397E+00	+0.54165E-06	
78	+0.24840E-09	+1.43000E+00	+0.54165E-06	
79	+0.29175E-09	+1.44729E+00	+0.54165E-06	
80	+0.24830E-09	+1.46340E+00	+0.54170E-06	
81	+0.26680E-09	+1.48050E+00	+0.54165E-06	
82	-0.09115E-09	+1.49406E+00	+0.54170E-06	
83	-0.16410E-09	+1.51017E+00	+0.54170E-06	
84	+0.15030E-09	+1.53533E+00	+0.54170E-06	
85	+0.04140E-09	+1.55251E+00	+0.54170E-06	
86	+0.04420E-09	+1.56958E+00	+0.54170E-06	
87	+0.37070E-09	+1.59808E+00	+0.54175E-06	
88	+0.28565E-09	+1.61396E+00	+0.54165E-06	
89	+0.26045E-09	+1.62994E+00	+0.54170E-06	
90	+0.29385E-09	+1.64733E+00	+0.54165E-06	
91	+0.26400E-09	+1.66336E+00	+0.54170E-06	
92	+0.27155E-09	+1.68059E+00	+0.54165E-06	
93	-0.07720E-09	+1.69405E+00	+0.54170E-06	
94	-0.15880E-09	+1.71026E+00	+0.54170E-06	
95	+0.13330E-09	+1.73551E+00	+0.54170E-06	
96	+0.06435E-09	+1.75252E+00	+0.54170E-06	
97	+0.14790E-09	+1.76860E+00	+0.54170E-06	
