# Name: Evan
# Test Number: Program-Retention
# Die Number: 1
# Device Number: 67
# Interval: 0.01
# data_points: 300
# v_rd: 1
# Waveform Format: Reram
# Waveform: Evan_Reram_4
# VDD WGFMU: 1
# VSS WGFMU: 2
# Drain SMU: 4
# Gate SMU: 1
# Base SMU: 2
# Source SMU: 3
# G_Minimum: 5.5e-07
# G_Maximum: 5.51e-07
# G_MAX: 1.9e-07
# g_offset: 1e-10
# VSTART: 0
# VSTOP: 1
# ICOMP: 0.1
# NSTEPS: 101
# STEP: 100
# SWEEP_TYPE: DOUBLE
# V_COUNTMAX: 10
# prog_count_max: 1000000
# total_retention_time: 60
# retention_time: 0.005
# vprg: 4
# vrst: -10
# t_prg: 0.0019
# v_off: 0

Measurement,SMU1_Current,SMU1_Time,SMU4_Current,SMU4_Time
0,-0.26840E-09,+8.74200E-02,+0.55010E-06,+8.74200E-02
1,-0.27875E-09,+1.04190E-01,+0.55000E-06,+1.04190E-01
2,-0.13175E-09,+1.09640E-01,+0.55000E-06,+1.09640E-01
3,+0.10800E-09,+1.18230E-01,+0.54995E-06,+1.18230E-01
4,+0.25615E-09,+1.29630E-01,+0.55000E-06,+1.29630E-01
5,-0.30500E-09,+1.38230E-01,+0.55010E-06,+1.38230E-01
6,+0.03670E-09,+1.51920E-01,+0.54995E-06,+1.51920E-01
7,-0.13500E-09,+1.59640E-01,+0.55005E-06,+1.59640E-01
8,+0.07625E-09,+1.68230E-01,+0.54995E-06,+1.68230E-01
9,+0.24045E-09,+1.79630E-01,+0.54995E-06,+1.79630E-01
10,-0.30270E-09,+1.88230E-01,+0.55005E-06,+1.88230E-01
11,-0.27625E-09,+2.04190E-01,+0.55000E-06,+2.04190E-01
12,-0.11445E-09,+2.09640E-01,+0.55000E-06,+2.09640E-01
13,+0.10900E-09,+2.18230E-01,+0.55000E-06,+2.18230E-01
14,+0.25505E-09,+2.29630E-01,+0.54990E-06,+2.29630E-01
15,-0.31445E-09,+2.38240E-01,+0.54995E-06,+2.38240E-01
16,-0.26040E-09,+2.54200E-01,+0.54995E-06,+2.54200E-01
17,-0.13855E-09,+2.59640E-01,+0.55000E-06,+2.59640E-01
18,+0.08565E-09,+2.68240E-01,+0.54995E-06,+2.68240E-01
19,+0.25150E-09,+2.79640E-01,+0.54990E-06,+2.79640E-01
20,-0.28355E-09,+2.88240E-01,+0.55000E-06,+2.88240E-01
21,+0.00970E-09,+3.01920E-01,+0.54985E-06,+3.01920E-01
22,-0.11675E-09,+3.09640E-01,+0.54995E-06,+3.09640E-01
23,+0.11085E-09,+3.18240E-01,+0.55000E-06,+3.18240E-01
24,+0.25310E-09,+3.29600E-01,+0.54990E-06,+3.29600E-01
25,-0.29260E-09,+3.38230E-01,+0.54995E-06,+3.38230E-01
26,+0.03555E-09,+3.51920E-01,+0.54985E-06,+3.51920E-01
27,-0.13855E-09,+3.59640E-01,+0.54995E-06,+3.59640E-01
28,+0.10525E-09,+3.68230E-01,+0.54990E-06,+3.68230E-01
