========================================
Name                : Evan
Test Number         : Program-Retention
Die Number          : 1
Device Number       : 67
Interval            : 0.01
data_points         : 300
v_rd                : 1
Waveform Format     : Reram
Waveform            : Evan_Reram_4
VDD WGFMU           : 1
VSS WGFMU           : 2
Drain SMU           : 4
Gate SMU            : 1
Base SMU            : 2
Source SMU          : 3
G_Minimum           : 5.8e-07
G_Maximum           : 5.81e-07
G_MAX               : 1.9e-07
g_offset            : 1e-10
VSTART              : 0
VSTOP               : 1
ICOMP               : 0.1
NSTEPS              : 101
STEP                : 100
SWEEP_TYPE          : DOUBLE
V_COUNTMAX          : 10
prog_count_max      : 1000000
total_retention_time: 60
retention_time      : 0.005
vprg                : 4
vrst                : -10
t_prg               : 0.0019
v_off               : 0
========================================

Measurement	SMU1_Current	SMU1_Time	SMU4_Current	SMU4_Time
0	-0.26380E-09	+8.76200E-02	+0.57880E-06	+8.76200E-02
1	+0.12800E-09	+9.92800E-02	+0.57900E-06	+9.92800E-02
2	-0.18115E-09	+1.07890E-01	+0.57900E-06	+1.07890E-01
3	-0.33970E-09	+1.19280E-01	+0.57895E-06	+1.19280E-01
4	+0.19095E-09	+1.27890E-01	+0.57890E-06	+1.27890E-01
5	+0.01055E-09	+1.37900E-01	+0.57880E-06	+1.37900E-01
6	+0.13980E-09	+1.49290E-01	+0.57915E-06	+1.49290E-01
7	-0.15045E-09	+1.57890E-01	+0.57900E-06	+1.57890E-01
8	-0.31585E-09	+1.69290E-01	+0.57890E-06	+1.69290E-01
9	+0.22090E-09	+1.77890E-01	+0.57890E-06	+1.77890E-01
10	+0.01070E-09	+1.87890E-01	+0.57880E-06	+1.87890E-01
11	+0.14715E-09	+1.99290E-01	+0.57895E-06	+1.99290E-01
12	-0.14710E-09	+2.07890E-01	+0.57895E-06	+2.07890E-01
13	-0.28425E-09	+2.19290E-01	+0.57890E-06	+2.19290E-01
14	+0.25055E-09	+2.27900E-01	+0.57895E-06	+2.27900E-01
15	+0.02490E-09	+2.37900E-01	+0.57880E-06	+2.37900E-01
16	+0.14460E-09	+2.49330E-01	+0.57890E-06	+2.49330E-01
17	-0.14835E-09	+2.57890E-01	+0.57885E-06	+2.57890E-01
18	-0.30585E-09	+2.69290E-01	+0.57880E-06	+2.69290E-01
19	+0.24070E-09	+2.77900E-01	+0.57880E-06	+2.77900E-01
20	+0.01285E-09	+2.87900E-01	+0.57875E-06	+2.87900E-01
21	+0.14630E-09	+2.99290E-01	+0.57890E-06	+2.99290E-01
22	-0.12760E-09	+3.07890E-01	+0.57880E-06	+3.07890E-01
23	-0.27495E-09	+3.19240E-01	+0.57880E-06	+3.19240E-01
24	+0.23790E-09	+3.27880E-01	+0.57875E-06	+3.27880E-01
25	+0.02560E-09	+3.37890E-01	+0.57860E-06	+3.37890E-01
26	+0.17830E-09	+3.49290E-01	+0.57890E-06	+3.49290E-01
27	-0.15195E-09	+3.57890E-01	+0.57875E-06	+3.57890E-01
28	-0.31245E-09	+3.69290E-01	+0.57875E-06	+3.69290E-01
29	+0.23060E-09	+3.77890E-01	+0.57875E-06	+3.77890E-01
30	+0.02755E-09	+3.87890E-01	+0.57865E-06	+3.87890E-01
31	+0.17265E-09	+3.99290E-01	+0.57885E-06	+3.99290E-01
32	-0.12005E-09	+4.07890E-01	+0.57880E-06	+4.07890E-01
33	-0.27415E-09	+4.19290E-01	+0.57865E-06	+4.19290E-01
34	+0.23505E-09	+4.27890E-01	+0.57870E-06	+4.27890E-01
35	-0.01810E-09	+4.37890E-01	+0.57860E-06	+4.37890E-01
36	+0.15870E-09	+4.49290E-01	+0.57880E-06	+4.49290E-01
37	-0.15495E-09	+4.57900E-01	+0.57875E-06	+4.57900E-01
38	-0.29275E-09	+4.69290E-01	+0.57860E-06	+4.69290E-01
39	+0.21705E-09	+4.77890E-01	+0.57875E-06	+4.77890E-01
40	+0.00885E-09	+4.87900E-01	+0.57860E-06	+4.87900E-01
41	+0.17745E-09	+4.99290E-01	+0.57865E-06	+4.99290E-01
42	-0.10945E-09	+5.07930E-01	+0.57875E-06	+5.07930E-01
43	-0.26375E-09	+5.19290E-01	+0.57860E-06	+5.19290E-01
44	+0.24840E-09	+5.27900E-01	+0.57865E-06	+5.27900E-01
45	+0.00770E-09	+5.37890E-01	+0.57845E-06	+5.37890E-01
46	+0.16475E-09	+5.49290E-01	+0.57875E-06	+5.49290E-01
47	-0.13165E-09	+5.57900E-01	+0.57865E-06	+5.57900E-01
48	-0.29295E-09	+5.69290E-01	+0.57860E-06	+5.69290E-01
49	+0.25690E-09	+5.77890E-01	+0.57860E-06	+5.77890E-01
50	+0.02375E-09	+5.87890E-01	+0.57855E-06	+5.87890E-01
51	+0.18455E-09	+5.99290E-01	+0.57870E-06	+5.99290E-01
52	-0.12970E-09	+6.07890E-01	+0.57860E-06	+6.07890E-01
53	-0.29060E-09	+6.19290E-01	+0.57860E-06	+6.19290E-01
54	+0.23265E-09	+6.27900E-01	+0.57860E-06	+6.27900E-01
55	+0.00195E-09	+6.37890E-01	+0.57850E-06	+6.37890E-01
56	+0.15515E-09	+6.49290E-01	+0.57870E-06	+6.49290E-01
57	-0.15130E-09	+6.57900E-01	+0.57865E-06	+6.57900E-01
58	-0.29075E-09	+6.69290E-01	+0.57860E-06	+6.69290E-01
59	+0.25520E-09	+6.77890E-01	+0.57860E-06	+6.77890E-01
60	+0.02275E-09	+6.87890E-01	+0.57845E-06	+6.87890E-01
61	+0.18935E-09	+6.99290E-01	+0.57860E-06	+6.99290E-01
62	-0.12135E-09	+7.07890E-01	+0.57860E-06	+7.07890E-01
63	-0.29415E-09	+7.19290E-01	+0.57845E-06	+7.19290E-01
64	+0.25210E-09	+7.27890E-01	+0.57850E-06	+7.27890E-01
65	+0.00790E-09	+7.37890E-01	+0.57850E-06	+7.37890E-01
66	+0.16225E-09	+7.49290E-01	+0.57860E-06	+7.49290E-01
67	-0.12765E-09	+7.57900E-01	+0.57860E-06	+7.57900E-01
68	-0.28115E-09	+7.69280E-01	+0.57845E-06	+7.69280E-01
69	+0.25965E-09	+7.77900E-01	+0.57845E-06	+7.77900E-01
70	+0.01695E-09	+7.87900E-01	+0.57845E-06	+7.87900E-01
71	+0.18845E-09	+7.99290E-01	+0.57855E-06	+7.99290E-01
72	-0.12885E-09	+8.07890E-01	+0.57850E-06	+8.07890E-01
73	-0.29715E-09	+8.19290E-01	+0.57845E-06	+8.19290E-01
74	+0.23550E-09	+8.27890E-01	+0.57845E-06	+8.27890E-01
75	+0.00785E-09	+8.37890E-01	+0.57840E-06	+8.37890E-01
76	+0.15400E-09	+8.49290E-01	+0.57860E-06	+8.49290E-01
77	-0.12245E-09	+8.57890E-01	+0.57850E-06	+8.57890E-01
78	-0.30350E-09	+8.69290E-01	+0.57835E-06	+8.69290E-01
79	+0.24950E-09	+8.77890E-01	+0.57840E-06	+8.77890E-01
