# Saved on 2025-06-18T14:45:00.983440
# Name: Quinn
# Sample_ID: Batch3_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 60
#   SampleRate: 60
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,3.9829000000e-10
1.0000000000e+00,3.6620000000e-11
1.0000000000e+00,2.1943000000e-10
1.0000000000e+00,6.9350000000e-11
1.0000000000e+00,3.9277000000e-10
1.0000000000e+00,3.9405000000e-10
1.0000000000e+00,3.7469000000e-10
1.0000000000e+00,3.9058000000e-10
1.0000000000e+00,4.1600000000e-12
1.0000000000e+00,1.7964000000e-10
1.0000000000e+00,1.4018000000e-10
1.0000000000e+00,1.0325000000e-10
1.0000000000e+00,7.4470000000e-11
1.0000000000e+00,3.3310000000e-10
1.0000000000e+00,3.9774000000e-10
1.0000000000e+00,1.0466000000e-10
1.0000000000e+00,3.6263000000e-10
1.0000000000e+00,3.7932000000e-10
1.1000000000e+00,3.3476000000e-10
1.1000000000e+00,3.6608000000e-10
1.1000000000e+00,5.4270000000e-11
1.1000000000e+00,2.5545000000e-10
1.1000000000e+00,3.6830000000e-11
1.1000000000e+00,6.5240000000e-11
1.1000000000e+00,8.6960000000e-11
1.1000000000e+00,3.9582000000e-10
1.1000000000e+00,7.8710000000e-11
1.1000000000e+00,8.7340000000e-11
1.1000000000e+00,3.8452000000e-10
1.1000000000e+00,3.5439000000e-10
1.1000000000e+00,6.7300000000e-11
1.1000000000e+00,4.1585000000e-10
1.1000000000e+00,4.2662000000e-10
1.1000000000e+00,4.2293000000e-10
1.1000000000e+00,6.0440000000e-11
1.1000000000e+00,3.0127000000e-10
1.2000000000e+00,1.0127000000e-10
1.2000000000e+00,4.4974000000e-10
1.2000000000e+00,7.6020000000e-11
1.2000000000e+00,4.4470000000e-10
1.2000000000e+00,1.0539000000e-10
1.2000000000e+00,1.0016000000e-10
1.2000000000e+00,3.0422000000e-10
1.2000000000e+00,3.3437000000e-10
1.2000000000e+00,4.2815000000e-10
