# Saved on 2025-06-18T14:47:31.047748
# Name: Quinn
# Sample_ID: Batch3_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 60
#   SampleRate: 60
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,1.7182000000e-10
1.0000000000e+00,1.1693000000e-10
1.0000000000e+00,1.0482000000e-10
1.0000000000e+00,7.6130000000e-11
1.0000000000e+00,4.1866000000e-10
1.0000000000e+00,4.2537000000e-10
1.0000000000e+00,4.6840000000e-11
1.0000000000e+00,2.2934000000e-10
1.0000000000e+00,2.4152000000e-10
1.0000000000e+00,4.0797000000e-10
1.0000000000e+00,4.1004000000e-10
1.0000000000e+00,4.0716000000e-10
1.0000000000e+00,1.2627000000e-10
1.0000000000e+00,1.0182000000e-10
1.0000000000e+00,3.1335000000e-10
1.0000000000e+00,2.2890000000e-11
1.0000000000e+00,4.3440000000e-10
1.0000000000e+00,3.3700000000e-11
1.1000000000e+00,4.0110000000e-10
1.1000000000e+00,2.9226000000e-10
1.1000000000e+00,6.9560000000e-11
1.1000000000e+00,2.7014000000e-10
1.1000000000e+00,3.0593000000e-10
1.1000000000e+00,4.3480000000e-10
1.1000000000e+00,3.0890000000e-11
1.1000000000e+00,2.5540000000e-11
1.1000000000e+00,4.0362000000e-10
1.1000000000e+00,5.4580000000e-11
1.1000000000e+00,2.7189000000e-10
1.1000000000e+00,6.5680000000e-11
1.1000000000e+00,4.0286000000e-10
1.1000000000e+00,4.0442000000e-10
1.1000000000e+00,1.3158000000e-10
1.1000000000e+00,4.1327000000e-10
1.1000000000e+00,8.9320000000e-11
1.1000000000e+00,2.2769000000e-10
1.2000000000e+00,7.4030000000e-11
1.2000000000e+00,6.5920000000e-11
1.2000000000e+00,4.4216000000e-10
1.2000000000e+00,4.4902000000e-10
1.2000000000e+00,4.4500000000e-10
1.2000000000e+00,5.3340000000e-11
1.2000000000e+00,2.6216000000e-10
1.2000000000e+00,1.0946000000e-10
1.2000000000e+00,4.4892000000e-10
1.2000000000e+00,6.5710000000e-11
1.2000000000e+00,4.4735000000e-10
1.2000000000e+00,4.5350000000e-10
1.2000000000e+00,3.0060000000e-11
1.2000000000e+00,2.2378000000e-10
1.2000000000e+00,2.3274000000e-10
1.2000000000e+00,3.8667000000e-10
1.2000000000e+00,3.9874000000e-10
1.2000000000e+00,3.9259000000e-10
1.3000000000e+00,3.7416000000e-10
1.3000000000e+00,1.0876000000e-10
1.3000000000e+00,3.1699000000e-10
1.3000000000e+00,3.3093000000e-10
1.3000000000e+00,4.5938000000e-10
1.3000000000e+00,8.0860000000e-11
1.3000000000e+00,2.5714000000e-10
1.3000000000e+00,2.6829000000e-10
1.3000000000e+00,8.6190000000e-11
1.3000000000e+00,2.7556000000e-10
1.3000000000e+00,7.8820000000e-11
1.3000000000e+00,3.5961000000e-10
1.3000000000e+00,3.7503000000e-10
1.3000000000e+00,2.8072000000e-10
1.3000000000e+00,2.0820000000e-11
1.3000000000e+00,4.3032000000e-10
1.3000000000e+00,2.2984000000e-10
1.3000000000e+00,8.6220000000e-11
1.4000000000e+00,3.4854000000e-10
1.4000000000e+00,3.3525000000e-10
1.4000000000e+00,2.5655000000e-10
1.4000000000e+00,2.6543000000e-10
1.4000000000e+00,3.9860000000e-11
1.4000000000e+00,2.1329000000e-10
1.4000000000e+00,4.5627000000e-10
1.4000000000e+00,4.7368000000e-10
1.4000000000e+00,4.6645000000e-10
1.4000000000e+00,4.7176000000e-10
1.4000000000e+00,1.5288000000e-10
1.4000000000e+00,4.8400000000e-12
1.4000000000e+00,1.5043000000e-10
1.4000000000e+00,4.5584000000e-10
1.4000000000e+00,4.7700000000e-10
1.4000000000e+00,4.2884000000e-10
1.4000000000e+00,4.4501000000e-10
1.4000000000e+00,1.1395000000e-10
1.5000000000e+00,1.8270000000e-11
1.5000000000e+00,2.9716000000e-10
1.5000000000e+00,5.4730000000e-11
1.5000000000e+00,3.5450000000e-11
1.5000000000e+00,5.1894000000e-10
1.5000000000e+00,5.1361000000e-10
1.5000000000e+00,3.2037000000e-10
1.5000000000e+00,1.1688000000e-10
1.5000000000e+00,4.3310000000e-10
1.5000000000e+00,2.2610000000e-11
1.5000000000e+00,2.5973000000e-10
1.5000000000e+00,1.5405000000e-10
1.5000000000e+00,1.1961000000e-10
1.5000000000e+00,9.4710000000e-11
1.5000000000e+00,1.9413000000e-10
1.5000000000e+00,3.7915000000e-10
1.5000000000e+00,3.9568000000e-10
1.5000000000e+00,1.6176000000e-10
1.6000000000e+00,2.9320000000e-11
1.6000000000e+00,3.5060000000e-11
1.6000000000e+00,1.4880000000e-11
1.6000000000e+00,2.6890000000e-11
1.6000000000e+00,1.3120000000e-11
1.6000000000e+00,5.7630000000e-10
1.6000000000e+00,1.7748000000e-10
1.6000000000e+00,4.6900000000e-12
1.6000000000e+00,3.3960000000e-11
1.6000000000e+00,2.9010000000e-11
1.6000000000e+00,5.6363000000e-10
1.6000000000e+00,4.3122000000e-10
1.6000000000e+00,3.6092000000e-10
1.6000000000e+00,1.6862000000e-10
1.6000000000e+00,2.4919000000e-10
1.6000000000e+00,2.4539000000e-10
1.6000000000e+00,2.1255000000e-10
1.7000000000e+00,9.2190000000e-11
1.7000000000e+00,2.7535000000e-10
1.7000000000e+00,6.8520000000e-11
1.7000000000e+00,6.3510000000e-10
1.7000000000e+00,2.5953000000e-10
1.7000000000e+00,6.3277000000e-10
1.7000000000e+00,2.8476000000e-10
1.7000000000e+00,4.0920000000e-11
1.7000000000e+00,1.1187000000e-10
1.7000000000e+00,4.4180000000e-11
1.7000000000e+00,6.4770000000e-10
1.7000000000e+00,1.0391000000e-10
1.7000000000e+00,6.3791000000e-10
1.7000000000e+00,4.9891000000e-10
1.7000000000e+00,4.6978000000e-10
1.7000000000e+00,2.4042000000e-10
1.7000000000e+00,3.3967000000e-10
1.7000000000e+00,6.4350000000e-10
1.8000000000e+00,2.0030000000e-11
1.8000000000e+00,6.3120000000e-10
1.8000000000e+00,2.6162000000e-10
1.8000000000e+00,6.2858000000e-10
1.8000000000e+00,2.9052000000e-10
1.8000000000e+00,4.1525000000e-10
1.8000000000e+00,4.6000000000e-12
1.8000000000e+00,4.8782000000e-10
1.8000000000e+00,6.7130000000e-10
1.8000000000e+00,2.7616000000e-10
1.8000000000e+00,4.9699000000e-10
1.8000000000e+00,2.8488000000e-10
1.8000000000e+00,3.9027000000e-10
1.8000000000e+00,3.5200000000e-11
1.8000000000e+00,4.9955000000e-10
1.8000000000e+00,3.8523000000e-10
1.8000000000e+00,2.6696000000e-10
1.8000000000e+00,5.9283000000e-10
1.9000000000e+00,1.1780000000e-10
1.9000000000e+00,6.1240000000e-10
1.9000000000e+00,1.1220000000e-10
1.9000000000e+00,3.6380000000e-10
1.9000000000e+00,8.3500000000e-11
1.9000000000e+00,3.6090000000e-10
1.9000000000e+00,5.1715000000e-10
1.9000000000e+00,3.3690000000e-10
1.9000000000e+00,1.9640000000e-10
1.9000000000e+00,4.7390000000e-10
1.9000000000e+00,1.7910000000e-10
1.9000000000e+00,3.8810000000e-10
1.9000000000e+00,1.8410000000e-10
1.9000000000e+00,3.7210000000e-10
1.9000000000e+00,1.7930000000e-10
1.9000000000e+00,3.5890000000e-10
1.9000000000e+00,1.7070000000e-10
1.9000000000e+00,3.6320000000e-10
1.9000000000e+00,5.2414000000e-10
1.9000000000e+00,4.9970000000e-10
2.0000000000e+00,1.0419000000e-09
2.0000000000e+00,1.0980000000e-09
2.0000000000e+00,1.0109000000e-09
2.0000000000e+00,1.0324000000e-09
2.0000000000e+00,1.0176000000e-09
2.0000000000e+00,1.0335000000e-09
2.0000000000e+00,1.0025000000e-09
2.0000000000e+00,1.0130000000e-09
2.0000000000e+00,9.9400000000e-10
2.0000000000e+00,1.0959000000e-09
2.0000000000e+00,9.7100000000e-10
2.0000000000e+00,7.5700000000e-10
2.0000000000e+00,3.9290000000e-10
2.0000000000e+00,6.8860000000e-10
2.0000000000e+00,1.0553000000e-09
2.0000000000e+00,6.4900000000e-10
2.0000000000e+00,2.8710000000e-10
2.0000000000e+00,8.1630000000e-10
2.0000000000e+00,1.1029000000e-09
2.0000000000e+00,1.0990000000e-09
2.0000000000e+00,1.1086000000e-09
2.1000000000e+00,1.1195000000e-09
2.1000000000e+00,1.3911000000e-09
2.1000000000e+00,9.5860000000e-10
2.1000000000e+00,5.7680000000e-10
2.1000000000e+00,1.1548000000e-09
2.1000000000e+00,1.2469000000e-09
2.1000000000e+00,8.9840000000e-10
2.1000000000e+00,7.9560000000e-10
2.1000000000e+00,1.0579000000e-09
