# Saved on 2025-06-18T14:59:43.947351
# Name: Quinn
# Sample_ID: Batch3_F5_TPTE36
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 60
#   SampleRate: 60
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,5.0540000000e-08,4.8483000000e-08,1.8220000000e-08,1.2936000000e-07,1.3919000000e-08
-1.6000000000e-02,8.0031000000e-06,7.9027000000e-06,9.9120000000e-06,1.2036000000e-05,1.1716000000e-05
-3.2000000000e-02,1.6120000000e-05,1.5442000000e-05,1.9390000000e-05,2.3950000000e-05,2.2612000000e-05
-4.8000000000e-02,2.4378000000e-05,2.3500000000e-05,2.8894000000e-05,3.5784000000e-05,3.3390000000e-05
-6.4000000000e-02,3.2378000000e-05,3.1132000000e-05,3.8900000000e-05,4.8148000000e-05,4.4462000000e-05
-8.0000000000e-02,4.0354000000e-05,3.9204000000e-05,4.8658000000e-05,6.0668000000e-05,5.5760000000e-05
-9.6000000000e-02,4.8856000000e-05,4.7868000000e-05,5.8494000000e-05,7.2220000000e-05,6.6990000000e-05
-1.1200000000e-01,5.7630000000e-05,5.6300000000e-05,6.8338000000e-05,8.4978000000e-05,7.8924000000e-05
-1.2800000000e-01,6.6268000000e-05,6.4454000000e-05,7.8290000000e-05,9.7010000000e-05,8.9774000000e-05
-1.4400000000e-01,7.5382000000e-05,7.2968000000e-05,8.7906000000e-05,1.0926000000e-04,1.0270000000e-04
-1.6000000000e-01,8.4096000000e-05,8.1354000000e-05,9.8428000000e-05,1.2268000000e-04,1.1316000000e-04
-1.7600000000e-01,9.2362000000e-05,9.0222000000e-05,1.0942000000e-04,1.3480000000e-04,1.2644000000e-04
-1.9200000000e-01,1.0260000000e-04,9.9500000000e-05,1.1998000000e-04,1.4766000000e-04,1.3790000000e-04
-2.0800000000e-01,1.1086000000e-04,1.0916000000e-04,1.2472000000e-04,1.5994000000e-04,1.5038000000e-04
-2.2400000000e-01,1.2012000000e-04,1.1828000000e-04,1.3538000000e-04,1.7348000000e-04,1.6284000000e-04
-2.4000000000e-01,1.3024000000e-04,1.2726000000e-04,1.4616000000e-04,1.8708000000e-04,1.7500000000e-04
-2.5600000000e-01,1.3994000000e-04,1.3724000000e-04,1.5686000000e-04,2.0006000000e-04,1.8852000000e-04
-2.7200000000e-01,1.4904000000e-04,1.4698000000e-04,1.6786000000e-04,2.1332000000e-04,2.0152000000e-04
-2.8800000000e-01,1.5974000000e-04,1.5722000000e-04,1.7904000000e-04,2.2780000000e-04,2.1414000000e-04
-3.0400000000e-01,1.6912000000e-04,1.6756000000e-04,1.9020000000e-04,2.4236000000e-04,2.2732000000e-04
-3.2000000000e-01,1.8042000000e-04,1.7796000000e-04,2.0156000000e-04,2.5680000000e-04,2.4094000000e-04
-3.3600000000e-01,1.9100000000e-04,1.8888000000e-04,2.1308000000e-04,2.7052000000e-04,2.5398000000e-04
-3.5200000000e-01,2.0244000000e-04,1.9954000000e-04,2.2454000000e-04,2.8454000000e-04,2.6724000000e-04
