# Saved on 2025-06-18T18:03:02.182643
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.4
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,3.6345000000e-10
1.0000000000e+00,8.9140000000e-11
1.0000000000e+00,3.5043000000e-10
1.0000000000e+00,3.6082000000e-10
1.0000000000e+00,3.5706000000e-10
1.0000000000e+00,3.5210000000e-11
1.0000000000e+00,1.2817000000e-10
1.0000000000e+00,3.5648000000e-10
1.0000000000e+00,1.3575000000e-10
1.0000000000e+00,3.5545000000e-10
1.0000000000e+00,3.6637000000e-10
1.0000000000e+00,3.6259000000e-10
1.0000000000e+00,1.2550000000e-11
1.0000000000e+00,1.3236000000e-10
1.0000000000e+00,3.5699000000e-10
1.0000000000e+00,1.2987000000e-10
1.0000000000e+00,3.5404000000e-10
1.0000000000e+00,3.6688000000e-10
1.1000000000e+00,3.5077000000e-10
1.1000000000e+00,7.2300000000e-12
1.1000000000e+00,3.6814000000e-10
1.1000000000e+00,1.7449000000e-10
1.1000000000e+00,1.4342000000e-10
1.1000000000e+00,3.5147000000e-10
1.1000000000e+00,1.0699000000e-10
1.1000000000e+00,3.5976000000e-10
1.1000000000e+00,2.7860000000e-11
1.1000000000e+00,3.6128000000e-10
1.1000000000e+00,1.7426000000e-10
1.1000000000e+00,1.4464000000e-10
1.1000000000e+00,3.7505000000e-10
1.1000000000e+00,3.5633000000e-10
1.1000000000e+00,3.5902000000e-10
1.1000000000e+00,3.0120000000e-11
1.1000000000e+00,3.6693000000e-10
1.1000000000e+00,1.7336000000e-10
1.2000000000e+00,4.0421000000e-10
1.2000000000e+00,4.0887000000e-10
1.2000000000e+00,1.0598000000e-10
1.2000000000e+00,4.1062000000e-10
1.2000000000e+00,9.1310000000e-11
1.2000000000e+00,1.9300000000e-12
1.2000000000e+00,1.8689000000e-10
1.2000000000e+00,4.1005000000e-10
1.2000000000e+00,4.0708000000e-10
1.2000000000e+00,1.0085000000e-10
1.2000000000e+00,4.2039000000e-10
1.2000000000e+00,8.2810000000e-11
1.2000000000e+00,1.1100000000e-10
1.2000000000e+00,2.3207000000e-10
1.2000000000e+00,4.1075000000e-10
1.2000000000e+00,3.9884000000e-10
1.2000000000e+00,9.8510000000e-11
1.2000000000e+00,4.1032000000e-10
1.3000000000e+00,9.6690000000e-11
1.3000000000e+00,3.8890000000e-11
1.3000000000e+00,2.2667000000e-10
1.3000000000e+00,4.3030000000e-10
1.3000000000e+00,4.2091000000e-10
1.3000000000e+00,8.0140000000e-11
1.3000000000e+00,4.2479000000e-10
1.3000000000e+00,8.7060000000e-11
1.3000000000e+00,1.0946000000e-10
1.3000000000e+00,2.4903000000e-10
1.3000000000e+00,6.9760000000e-11
1.3000000000e+00,3.2628000000e-10
1.3000000000e+00,3.2683000000e-10
1.3000000000e+00,3.4011000000e-10
1.3000000000e+00,3.2809000000e-10
1.3000000000e+00,1.1911000000e-10
1.3000000000e+00,2.7571000000e-10
1.3000000000e+00,6.4510000000e-11
1.4000000000e+00,2.9536000000e-10
1.4000000000e+00,3.0677000000e-10
1.4000000000e+00,8.6030000000e-11
1.4000000000e+00,3.0433000000e-10
1.4000000000e+00,1.2682000000e-10
1.4000000000e+00,3.2333000000e-10
1.4000000000e+00,2.6320000000e-11
1.4000000000e+00,2.9638000000e-10
1.4000000000e+00,3.0397000000e-10
1.4000000000e+00,5.5170000000e-11
1.4000000000e+00,2.9813000000e-10
1.4000000000e+00,1.2613000000e-10
1.4000000000e+00,3.5017000000e-10
1.4000000000e+00,3.9510000000e-11
1.4000000000e+00,2.3034000000e-10
1.4000000000e+00,3.1519000000e-10
1.4000000000e+00,3.0775000000e-10
1.4000000000e+00,1.8631000000e-10
1.5000000000e+00,1.9540000000e-11
1.5000000000e+00,2.4999000000e-10
1.5000000000e+00,2.5687000000e-10
1.5000000000e+00,2.7808000000e-10
1.5000000000e+00,1.5617000000e-10
1.5000000000e+00,8.0170000000e-11
1.5000000000e+00,2.7410000000e-10
1.5000000000e+00,7.1900000000e-12
1.5000000000e+00,2.5837000000e-10
1.5000000000e+00,2.5897000000e-10
1.5000000000e+00,1.7427000000e-10
1.5000000000e+00,1.4205000000e-10
1.5000000000e+00,2.0000000000e-10
1.5000000000e+00,2.9679000000e-10
1.5000000000e+00,8.2000000000e-13
1.5000000000e+00,2.5863000000e-10
1.5000000000e+00,2.6597000000e-10
1.5000000000e+00,1.6423000000e-10
1.6000000000e+00,6.7630000000e-11
1.6000000000e+00,2.3440000000e-11
1.6000000000e+00,1.0696000000e-10
1.6000000000e+00,1.5805000000e-10
1.6000000000e+00,1.0166000000e-10
1.6000000000e+00,1.9537000000e-10
1.6000000000e+00,6.4720000000e-11
1.6000000000e+00,2.5557000000e-10
1.6000000000e+00,3.6709000000e-10
1.6000000000e+00,2.3852000000e-10
1.6000000000e+00,1.9669000000e-10
1.6000000000e+00,1.7641000000e-10
1.6000000000e+00,1.4639000000e-10
