# Saved on 2025-06-18T18:08:05.728564
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.01
#   Neg_Voltage: -1.2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,3.3710000000e-09,0.0000000000e+00
-1.3000000000e-02,8.4370000000e-06,0.0000000000e+00
-2.6000000000e-02,1.7824000000e-05,0.0000000000e+00
-3.9000000000e-02,2.6074000000e-05,0.0000000000e+00
-5.2000000000e-02,3.4670000000e-05,0.0000000000e+00
-6.5000000000e-02,4.2988000000e-05,0.0000000000e+00
-7.8000000000e-02,5.1232000000e-05,0.0000000000e+00
-9.1000000000e-02,6.0272000000e-05,0.0000000000e+00
-1.0400000000e-01,6.8126000000e-05,0.0000000000e+00
-1.1700000000e-01,7.7050000000e-05,0.0000000000e+00
-1.3000000000e-01,8.6698000000e-05,0.0000000000e+00
-1.4300000000e-01,9.5242000000e-05,0.0000000000e+00
-1.5600000000e-01,1.0474000000e-04,0.0000000000e+00
-1.6900000000e-01,1.1410000000e-04,0.0000000000e+00
-1.8200000000e-01,1.2280000000e-04,0.0000000000e+00
-1.9500000000e-01,1.3276000000e-04,0.0000000000e+00
-2.0800000000e-01,1.4192000000e-04,0.0000000000e+00
-2.2100000000e-01,1.5246000000e-04,0.0000000000e+00
-2.3400000000e-01,1.5970000000e-04,0.0000000000e+00
-2.4700000000e-01,1.6700000000e-04,0.0000000000e+00
-2.6000000000e-01,1.7312000000e-04,0.0000000000e+00
-2.7300000000e-01,1.8960000000e-04,0.0000000000e+00
-2.8600000000e-01,1.9740000000e-04,0.0000000000e+00
-2.9900000000e-01,2.0554000000e-04,0.0000000000e+00
-3.1200000000e-01,2.1428000000e-04,0.0000000000e+00
-3.2500000000e-01,2.2444000000e-04,0.0000000000e+00
-3.3800000000e-01,2.3550000000e-04,0.0000000000e+00
-3.5100000000e-01,2.4548000000e-04,0.0000000000e+00
-3.6400000000e-01,2.5660000000e-04,0.0000000000e+00
-3.7700000000e-01,2.6614000000e-04,0.0000000000e+00
-3.9000000000e-01,2.7672000000e-04,0.0000000000e+00
-4.0300000000e-01,2.8954000000e-04,0.0000000000e+00
-4.1600000000e-01,3.0028000000e-04,0.0000000000e+00
-4.2900000000e-01,3.1222000000e-04,0.0000000000e+00
-4.4200000000e-01,3.2508000000e-04,0.0000000000e+00
-4.5500000000e-01,3.3700000000e-04,0.0000000000e+00
-4.6800000000e-01,3.5014000000e-04,0.0000000000e+00
-4.8100000000e-01,3.6162000000e-04,0.0000000000e+00
-4.9400000000e-01,3.7464000000e-04,0.0000000000e+00
-5.0700000000e-01,3.8838000000e-04,0.0000000000e+00
-5.2000000000e-01,4.0166000000e-04,0.0000000000e+00
-5.3300000000e-01,4.1588000000e-04,0.0000000000e+00
-5.4600000000e-01,4.2702000000e-04,0.0000000000e+00
-5.5900000000e-01,4.4034000000e-04,0.0000000000e+00
-5.7200000000e-01,4.5544000000e-04,0.0000000000e+00
-5.8500000000e-01,4.6968000000e-04,0.0000000000e+00
-5.9800000000e-01,4.8316000000e-04,0.0000000000e+00
-6.1100000000e-01,4.9866000000e-04,0.0000000000e+00
-6.2400000000e-01,5.1244000000e-04,0.0000000000e+00
-6.3700000000e-01,5.2650000000e-04,0.0000000000e+00
-6.5000000000e-01,5.4062000000e-04,0.0000000000e+00
-6.6300000000e-01,5.5826000000e-04,0.0000000000e+00
-6.7600000000e-01,5.7188000000e-04,0.0000000000e+00
-6.8900000000e-01,5.8962000000e-04,0.0000000000e+00
-7.0200000000e-01,6.0384000000e-04,0.0000000000e+00
-7.1500000000e-01,6.1870000000e-04,0.0000000000e+00
-7.2800000000e-01,6.3552000000e-04,0.0000000000e+00
-7.4100000000e-01,6.5262000000e-04,0.0000000000e+00
-7.5400000000e-01,6.6938000000e-04,0.0000000000e+00
-7.6700000000e-01,6.8524000000e-04,0.0000000000e+00
-7.8000000000e-01,7.0368000000e-04,0.0000000000e+00
-7.9300000000e-01,7.1940000000e-04,0.0000000000e+00
-8.0600000000e-01,7.3770000000e-04,0.0000000000e+00
-8.1900000000e-01,7.5252000000e-04,0.0000000000e+00
-8.3200000000e-01,7.7110000000e-04,0.0000000000e+00
-8.4500000000e-01,7.8900000000e-04,0.0000000000e+00
-8.5800000000e-01,8.0930000000e-04,0.0000000000e+00
-8.7100000000e-01,8.2904000000e-04,0.0000000000e+00
-8.8400000000e-01,8.4428000000e-04,0.0000000000e+00
-8.9700000000e-01,8.6904000000e-04,0.0000000000e+00
-9.1000000000e-01,8.8398000000e-04,0.0000000000e+00
-9.2300000000e-01,9.0826000000e-04,0.0000000000e+00
-9.3600000000e-01,9.2764000000e-04,0.0000000000e+00
-9.4900000000e-01,9.4956000000e-04,0.0000000000e+00
-9.6200000000e-01,9.6870000000e-04,0.0000000000e+00
-9.7500000000e-01,9.8740000000e-04,0.0000000000e+00
-9.8800000000e-01,1.0098000000e-03,0.0000000000e+00
-1.0010000000e+00,1.0302000000e-03,0.0000000000e+00
-1.0140000000e+00,1.0490000000e-03,0.0000000000e+00
-1.0270000000e+00,1.0810000000e-03,0.0000000000e+00
-1.0400000000e+00,1.1002000000e-03,0.0000000000e+00
-1.0530000000e+00,1.1258000000e-03,0.0000000000e+00
-1.0660000000e+00,1.1540000000e-03,0.0000000000e+00
-1.0790000000e+00,1.1720000000e-03,0.0000000000e+00
-1.0920000000e+00,1.1940000000e-03,0.0000000000e+00
-1.1050000000e+00,1.2108000000e-03,0.0000000000e+00
-1.1180000000e+00,1.2388000000e-03,0.0000000000e+00
-1.1310000000e+00,1.2680000000e-03,0.0000000000e+00
-1.1440000000e+00,1.3040000000e-03,0.0000000000e+00
-1.1570000000e+00,1.3144000000e-03,0.0000000000e+00
-1.1700000000e+00,1.3410000000e-03,0.0000000000e+00
-1.1830000000e+00,1.3810000000e-03,0.0000000000e+00
-1.1960000000e+00,1.4194000000e-03,0.0000000000e+00
-1.2090000000e+00,1.4500000000e-03,0.0000000000e+00
-1.2220000000e+00,1.4838000000e-03,0.0000000000e+00
-1.2350000000e+00,1.5050000000e-03,0.0000000000e+00
-1.2480000000e+00,1.5338000000e-03,0.0000000000e+00
-1.2610000000e+00,1.5608000000e-03,0.0000000000e+00
-1.2740000000e+00,1.5692000000e-03,0.0000000000e+00
-1.2870000000e+00,1.6290000000e-03,0.0000000000e+00
-1.3000000000e+00,1.6410000000e-03,0.0000000000e+00
