# Saved on 2025-06-18T18:12:31.550767
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,7.1716000000e-07,0.0000000000e+00
-1.2000000000e-02,3.5674000000e-05,0.0000000000e+00
-2.4000000000e-02,7.0746000000e-05,0.0000000000e+00
-3.6000000000e-02,1.0626000000e-04,0.0000000000e+00
-4.8000000000e-02,1.4356000000e-04,0.0000000000e+00
-6.0000000000e-02,1.8056000000e-04,0.0000000000e+00
-7.2000000000e-02,2.1416000000e-04,0.0000000000e+00
-8.4000000000e-02,2.4982000000e-04,0.0000000000e+00
-9.6000000000e-02,2.8556000000e-04,0.0000000000e+00
-1.0800000000e-01,3.2010000000e-04,0.0000000000e+00
-1.2000000000e-01,3.5698000000e-04,0.0000000000e+00
-1.3200000000e-01,3.9324000000e-04,0.0000000000e+00
-1.4400000000e-01,4.2830000000e-04,0.0000000000e+00
-1.5600000000e-01,4.6122000000e-04,0.0000000000e+00
-1.6800000000e-01,4.9868000000e-04,0.0000000000e+00
-1.8000000000e-01,5.3498000000e-04,0.0000000000e+00
-1.9200000000e-01,5.7256000000e-04,0.0000000000e+00
-2.0400000000e-01,6.0742000000e-04,0.0000000000e+00
-2.1600000000e-01,6.4222000000e-04,0.0000000000e+00
-2.2800000000e-01,6.7916000000e-04,0.0000000000e+00
-2.4000000000e-01,7.1312000000e-04,0.0000000000e+00
-2.5200000000e-01,7.5004000000e-04,0.0000000000e+00
-2.6400000000e-01,7.8816000000e-04,0.0000000000e+00
-2.7600000000e-01,8.2190000000e-04,0.0000000000e+00
-2.8800000000e-01,8.5690000000e-04,0.0000000000e+00
-3.0000000000e-01,8.9242000000e-04,0.0000000000e+00
-3.1200000000e-01,9.2636000000e-04,0.0000000000e+00
-3.2400000000e-01,9.6386000000e-04,0.0000000000e+00
-3.3600000000e-01,9.9982000000e-04,0.0000000000e+00
-3.4800000000e-01,1.0344000000e-03,0.0000000000e+00
-3.6000000000e-01,1.0708000000e-03,0.0000000000e+00
-3.7200000000e-01,1.1064000000e-03,0.0000000000e+00
-3.8400000000e-01,1.1428000000e-03,0.0000000000e+00
-3.9600000000e-01,1.1770000000e-03,0.0000000000e+00
-4.0800000000e-01,1.2124000000e-03,0.0000000000e+00
-4.2000000000e-01,1.2480000000e-03,0.0000000000e+00
-4.3200000000e-01,1.2856000000e-03,0.0000000000e+00
-4.4400000000e-01,1.3202000000e-03,0.0000000000e+00
-4.5600000000e-01,1.3546000000e-03,0.0000000000e+00
-4.6800000000e-01,1.3874000000e-03,0.0000000000e+00
-4.8000000000e-01,1.4244000000e-03,0.0000000000e+00
-4.9200000000e-01,1.4596000000e-03,0.0000000000e+00
-5.0400000000e-01,1.4944000000e-03,0.0000000000e+00
-5.1600000000e-01,1.5296000000e-03,0.0000000000e+00
-5.2800000000e-01,1.5666000000e-03,0.0000000000e+00
-5.4000000000e-01,1.5978000000e-03,0.0000000000e+00
-5.5200000000e-01,1.6332000000e-03,0.0000000000e+00
-5.6400000000e-01,1.6700000000e-03,0.0000000000e+00
-5.7600000000e-01,1.7050000000e-03,0.0000000000e+00
-5.8800000000e-01,1.7420000000e-03,0.0000000000e+00
-6.0000000000e-01,1.7754000000e-03,0.0000000000e+00
-6.1200000000e-01,1.8090000000e-03,0.0000000000e+00
-6.2400000000e-01,1.8450000000e-03,0.0000000000e+00
-6.3600000000e-01,1.8800000000e-03,0.0000000000e+00
-6.4800000000e-01,1.9162000000e-03,0.0000000000e+00
-6.6000000000e-01,1.9522000000e-03,0.0000000000e+00
-6.7200000000e-01,1.9846000000e-03,0.0000000000e+00
-6.8400000000e-01,2.0188000000e-03,0.0000000000e+00
-6.9600000000e-01,2.0534000000e-03,0.0000000000e+00
-7.0800000000e-01,2.0872000000e-03,0.0000000000e+00
-7.2000000000e-01,2.1224000000e-03,0.0000000000e+00
-7.3200000000e-01,2.1582000000e-03,0.0000000000e+00
-7.4400000000e-01,2.1928000000e-03,0.0000000000e+00
-7.5600000000e-01,2.2236000000e-03,0.0000000000e+00
-7.6800000000e-01,2.2598000000e-03,0.0000000000e+00
-7.8000000000e-01,2.2950000000e-03,0.0000000000e+00
-7.9200000000e-01,2.3316000000e-03,0.0000000000e+00
-8.0400000000e-01,2.3650000000e-03,0.0000000000e+00
-8.1600000000e-01,2.3984000000e-03,0.0000000000e+00
-8.2800000000e-01,2.4336000000e-03,0.0000000000e+00
-8.4000000000e-01,2.4660000000e-03,0.0000000000e+00
-8.5200000000e-01,2.5008000000e-03,0.0000000000e+00
-8.6400000000e-01,2.5378000000e-03,0.0000000000e+00
-8.7600000000e-01,2.5712000000e-03,0.0000000000e+00
-8.8800000000e-01,2.6050000000e-03,0.0000000000e+00
-9.0000000000e-01,2.6396000000e-03,0.0000000000e+00
-9.1200000000e-01,2.6722000000e-03,0.0000000000e+00
-9.2400000000e-01,2.7100000000e-03,0.0000000000e+00
-9.3600000000e-01,2.7428000000e-03,0.0000000000e+00
