# Saved on 2025-06-18T18:07:07.717729
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.01
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,5.8000000000e-09,1.7598000000e-07
-1.1000000000e-02,7.3513000000e-06,7.4160000000e-06
-2.2000000000e-02,1.4688000000e-05,1.5326000000e-05
-3.3000000000e-02,2.2112000000e-05,2.2794000000e-05
-4.4000000000e-02,2.9970000000e-05,3.0626000000e-05
-5.5000000000e-02,3.7604000000e-05,3.8030000000e-05
-6.6000000000e-02,4.5198000000e-05,4.5118000000e-05
-7.7000000000e-02,5.3170000000e-05,5.3390000000e-05
-8.8000000000e-02,6.0692000000e-05,6.1108000000e-05
-9.9000000000e-02,6.8392000000e-05,6.8786000000e-05
-1.1000000000e-01,7.6656000000e-05,7.5920000000e-05
-1.2100000000e-01,8.4272000000e-05,8.3304000000e-05
-1.3200000000e-01,9.2158000000e-05,9.1168000000e-05
-1.4300000000e-01,9.9980000000e-05,9.8926000000e-05
-1.5400000000e-01,1.0830000000e-04,1.0742000000e-04
-1.6500000000e-01,1.1694000000e-04,1.1530000000e-04
-1.7600000000e-01,1.2490000000e-04,1.2318000000e-04
-1.8700000000e-01,1.3314000000e-04,1.3170000000e-04
-1.9800000000e-01,1.4150000000e-04,1.4018000000e-04
-2.0900000000e-01,1.4966000000e-04,1.4846000000e-04
-2.2000000000e-01,1.5822000000e-04,1.5614000000e-04
-2.3100000000e-01,1.6738000000e-04,1.6490000000e-04
-2.4200000000e-01,1.7550000000e-04,1.7298000000e-04
-2.5300000000e-01,1.8360000000e-04,1.8268000000e-04
-2.6400000000e-01,1.9252000000e-04,1.9088000000e-04
-2.7500000000e-01,2.0166000000e-04,1.9958000000e-04
-2.8600000000e-01,2.1138000000e-04,2.0888000000e-04
-2.9700000000e-01,2.1954000000e-04,2.1718000000e-04
-3.0800000000e-01,2.3012000000e-04,2.2646000000e-04
-3.1900000000e-01,2.3944000000e-04,2.3342000000e-04
-3.3000000000e-01,2.4930000000e-04,2.4210000000e-04
-3.4100000000e-01,2.5864000000e-04,2.5406000000e-04
-3.5200000000e-01,2.7024000000e-04,2.6268000000e-04
-3.6300000000e-01,2.8032000000e-04,2.6876000000e-04
-3.7400000000e-01,2.8870000000e-04,2.8220000000e-04
-3.8500000000e-01,3.0012000000e-04,2.8840000000e-04
-3.9600000000e-01,3.0990000000e-04,2.9964000000e-04
-4.0700000000e-01,3.1990000000e-04,3.1028000000e-04
-4.1800000000e-01,3.3034000000e-04,3.1754000000e-04
-4.2900000000e-01,3.4192000000e-04,3.3076000000e-04
-4.4000000000e-01,3.5170000000e-04,3.4274000000e-04
-4.5100000000e-01,3.6216000000e-04,3.4862000000e-04
-4.6200000000e-01,3.7310000000e-04,3.5880000000e-04
-4.7300000000e-01,3.8596000000e-04,3.7006000000e-04
