# Saved on 2025-06-18T18:08:37.548640
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.01
#   Neg_Voltage: -1.2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,8.2600000000e-10,8.1037000000e-08
-1.6000000000e-02,1.0280900000e-05,7.6137000000e-06
-3.2000000000e-02,2.0358000000e-05,1.5850000000e-05
-4.8000000000e-02,3.0654000000e-05,2.3588000000e-05
-6.4000000000e-02,4.0652000000e-05,3.1686000000e-05
-8.0000000000e-02,5.1698000000e-05,3.9832000000e-05
-9.6000000000e-02,6.1678000000e-05,4.7574000000e-05
-1.1200000000e-01,7.1256000000e-05,5.5598000000e-05
-1.2800000000e-01,8.2310000000e-05,6.3842000000e-05
-1.4400000000e-01,9.3438000000e-05,7.1630000000e-05
-1.6000000000e-01,1.0510000000e-04,8.0070000000e-05
-1.7600000000e-01,1.1572000000e-04,8.8768000000e-05
-1.9200000000e-01,1.2794000000e-04,9.6834000000e-05
-2.0800000000e-01,1.4024000000e-04,1.0698000000e-04
-2.2400000000e-01,1.5208000000e-04,1.1546000000e-04
-2.4000000000e-01,1.6364000000e-04,1.2324000000e-04
-2.5600000000e-01,1.7696000000e-04,1.3354000000e-04
-2.7200000000e-01,1.8964000000e-04,1.4116000000e-04
-2.8800000000e-01,2.0236000000e-04,1.5278000000e-04
-3.0400000000e-01,2.1594000000e-04,1.6250000000e-04
-3.2000000000e-01,2.2910000000e-04,1.6918000000e-04
-3.3600000000e-01,2.4312000000e-04,1.7890000000e-04
-3.5200000000e-01,2.5724000000e-04,1.8922000000e-04
-3.6800000000e-01,2.7190000000e-04,1.9890000000e-04
-3.8400000000e-01,2.8622000000e-04,2.1006000000e-04
-4.0000000000e-01,3.0114000000e-04,2.2228000000e-04
-4.1600000000e-01,3.1666000000e-04,2.3006000000e-04
-4.3200000000e-01,3.3190000000e-04,2.4050000000e-04
-4.4800000000e-01,3.4672000000e-04,2.5082000000e-04
-4.6400000000e-01,3.6268000000e-04,2.6250000000e-04
-4.8000000000e-01,3.7934000000e-04,2.7364000000e-04
-4.9600000000e-01,3.9590000000e-04,2.8520000000e-04
-5.1200000000e-01,4.1136000000e-04,2.9632000000e-04
-5.2800000000e-01,4.2980000000e-04,3.0882000000e-04
-5.4400000000e-01,4.4672000000e-04,3.2018000000e-04
-5.6000000000e-01,4.6510000000e-04,3.3302000000e-04
-5.7600000000e-01,4.8190000000e-04,3.4536000000e-04
-5.9200000000e-01,4.9986000000e-04,3.5746000000e-04
-6.0800000000e-01,5.1856000000e-04,3.7002000000e-04
-6.2400000000e-01,5.3800000000e-04,3.8204000000e-04
-6.4000000000e-01,5.5566000000e-04,3.9544000000e-04
-6.5600000000e-01,5.7472000000e-04,4.0872000000e-04
-6.7200000000e-01,5.9412000000e-04,4.2194000000e-04
-6.8800000000e-01,6.1426000000e-04,4.3624000000e-04
-7.0400000000e-01,6.3486000000e-04,4.4976000000e-04
-7.2000000000e-01,6.5424000000e-04,4.6370000000e-04
-7.3600000000e-01,6.7578000000e-04,4.7876000000e-04
-7.5200000000e-01,6.9724000000e-04,4.9326000000e-04
-7.6800000000e-01,7.2168000000e-04,5.0804000000e-04
-7.8400000000e-01,7.4130000000e-04,5.2354000000e-04
-8.0000000000e-01,7.6244000000e-04,5.3780000000e-04
-8.1600000000e-01,7.8578000000e-04,5.5356000000e-04
-8.3200000000e-01,8.0980000000e-04,5.6992000000e-04
-8.4800000000e-01,8.3182000000e-04,5.8634000000e-04
-8.6400000000e-01,8.5576000000e-04,6.0148000000e-04
-8.8000000000e-01,8.8022000000e-04,6.1806000000e-04
-8.9600000000e-01,9.0610000000e-04,6.3506000000e-04
-9.1200000000e-01,9.3002000000e-04,6.4518000000e-04
-9.2800000000e-01,9.5182000000e-04,6.6990000000e-04
-9.4400000000e-01,9.8120000000e-04,6.8326000000e-04
-9.6000000000e-01,1.0078000000e-03,7.0682000000e-04
-9.7600000000e-01,1.0348000000e-03,7.2188000000e-04
-9.9200000000e-01,1.0630000000e-03,7.3818000000e-04
-1.0080000000e+00,1.0910000000e-03,7.5498000000e-04
-1.0240000000e+00,1.1186000000e-03,7.7588000000e-04
-1.0400000000e+00,1.1480000000e-03,7.9008000000e-04
-1.0560000000e+00,1.1770000000e-03,8.1134000000e-04
-1.0720000000e+00,1.2072000000e-03,8.3002000000e-04
-1.0880000000e+00,1.2374000000e-03,8.5114000000e-04
-1.1040000000e+00,1.2656000000e-03,8.7448000000e-04
-1.1200000000e+00,1.3008000000e-03,8.9536000000e-04
-1.1360000000e+00,1.3310000000e-03,9.2268000000e-04
-1.1520000000e+00,1.3648000000e-03,9.4450000000e-04
-1.1680000000e+00,1.3968000000e-03,9.6608000000e-04
-1.1840000000e+00,1.4282000000e-03,9.9022000000e-04
-1.2000000000e+00,1.4630000000e-03,1.0158000000e-03
-1.2160000000e+00,1.4980000000e-03,1.0396000000e-03
-1.2320000000e+00,1.5318000000e-03,1.0610000000e-03
-1.2480000000e+00,1.5710000000e-03,1.0982000000e-03
-1.2640000000e+00,1.6048000000e-03,1.1182000000e-03
-1.2800000000e+00,1.6404000000e-03,1.1440000000e-03
-1.2960000000e+00,1.6860000000e-03,1.1630000000e-03
-1.3120000000e+00,1.7266000000e-03,1.1908000000e-03
-1.3280000000e+00,1.7652000000e-03,1.2240000000e-03
-1.3440000000e+00,1.8062000000e-03,1.2518000000e-03
-1.3600000000e+00,1.8428000000e-03,1.2868000000e-03
-1.3760000000e+00,1.8906000000e-03,1.3164000000e-03
-1.3920000000e+00,1.9344000000e-03,1.3368000000e-03
-1.4080000000e+00,1.9684000000e-03,1.3714000000e-03
-1.4240000000e+00,2.0012000000e-03,1.4060000000e-03
-1.4400000000e+00,2.0530000000e-03,1.4432000000e-03
-1.4560000000e+00,2.1078000000e-03,1.4796000000e-03
-1.4720000000e+00,2.1430000000e-03,1.5138000000e-03
-1.4880000000e+00,2.1934000000e-03,1.5402000000e-03
-1.5040000000e+00,2.2412000000e-03,1.5938000000e-03
-1.5200000000e+00,2.2696000000e-03,1.6158000000e-03
-1.5360000000e+00,2.2940000000e-03,1.6326000000e-03
-1.5520000000e+00,2.3568000000e-03,1.6894000000e-03
-1.5680000000e+00,2.4010000000e-03,1.6976000000e-03
-1.5840000000e+00,2.4744000000e-03,1.7664000000e-03
-1.6000000000e+00,2.5304000000e-03,1.7936000000e-03
-1.6000000000e+00,2.5406000000e-03,1.8052000000e-03
-1.5840000000e+00,2.4790000000e-03,1.7678000000e-03
-1.5680000000e+00,2.4742000000e-03,1.7394000000e-03
-1.5520000000e+00,2.4858000000e-03,1.7230000000e-03
-1.5360000000e+00,2.3012000000e-03,1.6460000000e-03
-1.5200000000e+00,2.2430000000e-03,1.6234000000e-03
-1.5040000000e+00,2.2050000000e-03,1.6000000000e-03
-1.4880000000e+00,2.1846000000e-03,1.5584000000e-03
-1.4720000000e+00,2.2246000000e-03,1.5242000000e-03
-1.4560000000e+00,2.0690000000e-03,1.4832000000e-03
-1.4400000000e+00,2.0192000000e-03,1.4490000000e-03
-1.4240000000e+00,1.9584000000e-03,1.4280000000e-03
-1.4080000000e+00,1.9020000000e-03,1.3884000000e-03
-1.3920000000e+00,1.8764000000e-03,1.3554000000e-03
-1.3760000000e+00,1.8306000000e-03,1.3206000000e-03
-1.3600000000e+00,1.8106000000e-03,1.2892000000e-03
-1.3440000000e+00,1.7690000000e-03,1.2648000000e-03
-1.3280000000e+00,1.7304000000e-03,1.2304000000e-03
-1.3120000000e+00,1.6796000000e-03,1.2094000000e-03
-1.2960000000e+00,1.6514000000e-03,1.1796000000e-03
-1.2800000000e+00,1.6186000000e-03,1.1556000000e-03
-1.2640000000e+00,1.5812000000e-03,1.1246400000e-03
-1.2480000000e+00,1.5430000000e-03,1.1019000000e-03
