# Saved on 2025-06-18T18:11:48.046935
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.4
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,4.9010000000e-07,0.0000000000e+00
-1.5000000000e-02,4.4596000000e-05,0.0000000000e+00
-3.0000000000e-02,9.1090000000e-05,0.0000000000e+00
-4.5000000000e-02,1.3418000000e-04,0.0000000000e+00
-6.0000000000e-02,1.7846000000e-04,0.0000000000e+00
-7.5000000000e-02,2.2170000000e-04,0.0000000000e+00
-9.0000000000e-02,2.6768000000e-04,0.0000000000e+00
-1.0500000000e-01,3.1316000000e-04,0.0000000000e+00
-1.2000000000e-01,3.5734000000e-04,0.0000000000e+00
-1.3500000000e-01,4.0124000000e-04,0.0000000000e+00
-1.5000000000e-01,4.4508000000e-04,0.0000000000e+00
-1.6500000000e-01,4.8948000000e-04,0.0000000000e+00
-1.8000000000e-01,5.3654000000e-04,0.0000000000e+00
-1.9500000000e-01,5.8068000000e-04,0.0000000000e+00
-2.1000000000e-01,6.2522000000e-04,0.0000000000e+00
-2.2500000000e-01,6.7064000000e-04,0.0000000000e+00
-2.4000000000e-01,7.1456000000e-04,0.0000000000e+00
-2.5500000000e-01,7.5840000000e-04,0.0000000000e+00
-2.7000000000e-01,8.0512000000e-04,0.0000000000e+00
-2.8500000000e-01,8.5108000000e-04,0.0000000000e+00
-3.0000000000e-01,8.9354000000e-04,0.0000000000e+00
-3.1500000000e-01,9.3770000000e-04,0.0000000000e+00
-3.3000000000e-01,9.8026000000e-04,0.0000000000e+00
-3.4500000000e-01,1.0270000000e-03,0.0000000000e+00
-3.6000000000e-01,1.0708000000e-03,0.0000000000e+00
-3.7500000000e-01,1.1124000000e-03,0.0000000000e+00
-3.9000000000e-01,1.1588000000e-03,0.0000000000e+00
-4.0500000000e-01,1.2034000000e-03,0.0000000000e+00
-4.2000000000e-01,1.2496000000e-03,0.0000000000e+00
-4.3500000000e-01,1.2930000000e-03,0.0000000000e+00
-4.5000000000e-01,1.3364000000e-03,0.0000000000e+00
-4.6500000000e-01,1.3818000000e-03,0.0000000000e+00
-4.8000000000e-01,1.4240000000e-03,0.0000000000e+00
-4.9500000000e-01,1.4682000000e-03,0.0000000000e+00
-5.1000000000e-01,1.5162000000e-03,0.0000000000e+00
-5.2500000000e-01,1.5570000000e-03,0.0000000000e+00
-5.4000000000e-01,1.5998000000e-03,0.0000000000e+00
-5.5500000000e-01,1.6438000000e-03,0.0000000000e+00
-5.7000000000e-01,1.6862000000e-03,0.0000000000e+00
-5.8500000000e-01,1.7318000000e-03,0.0000000000e+00
-6.0000000000e-01,1.7752000000e-03,0.0000000000e+00
-6.1500000000e-01,1.8192000000e-03,0.0000000000e+00
-6.3000000000e-01,1.8606000000e-03,0.0000000000e+00
-6.4500000000e-01,1.9036000000e-03,0.0000000000e+00
-6.6000000000e-01,1.9476000000e-03,0.0000000000e+00
-6.7500000000e-01,1.9930000000e-03,0.0000000000e+00
-6.9000000000e-01,2.0360000000e-03,0.0000000000e+00
-7.0500000000e-01,2.0790000000e-03,0.0000000000e+00
-7.2000000000e-01,2.1226000000e-03,0.0000000000e+00
-7.3500000000e-01,2.1656000000e-03,0.0000000000e+00
-7.5000000000e-01,2.2082000000e-03,0.0000000000e+00
-7.6500000000e-01,2.2534000000e-03,0.0000000000e+00
-7.8000000000e-01,2.2972000000e-03,0.0000000000e+00
-7.9500000000e-01,2.3384000000e-03,0.0000000000e+00
-8.1000000000e-01,2.3820000000e-03,0.0000000000e+00
-8.2500000000e-01,2.4230000000e-03,0.0000000000e+00
-8.4000000000e-01,2.4668000000e-03,0.0000000000e+00
-8.5500000000e-01,2.5116000000e-03,0.0000000000e+00
-8.7000000000e-01,2.5532000000e-03,0.0000000000e+00
-8.8500000000e-01,2.5962000000e-03,0.0000000000e+00
-9.0000000000e-01,2.6374000000e-03,0.0000000000e+00
-9.1500000000e-01,2.6812000000e-03,0.0000000000e+00
-9.3000000000e-01,2.7244000000e-03,0.0000000000e+00
-9.4500000000e-01,2.7682000000e-03,0.0000000000e+00
-9.6000000000e-01,2.8100000000e-03,0.0000000000e+00
-9.7500000000e-01,2.8550000000e-03,0.0000000000e+00
-9.9000000000e-01,2.8976000000e-03,0.0000000000e+00
-1.0050000000e+00,2.9392000000e-03,0.0000000000e+00
-1.0200000000e+00,2.9830000000e-03,0.0000000000e+00
-1.0350000000e+00,3.0306000000e-03,0.0000000000e+00
-1.0500000000e+00,3.0692000000e-03,0.0000000000e+00
-1.0650000000e+00,3.1112000000e-03,0.0000000000e+00
-1.0800000000e+00,3.1530000000e-03,0.0000000000e+00
-1.0950000000e+00,3.1962000000e-03,0.0000000000e+00
-1.1100000000e+00,3.2408000000e-03,0.0000000000e+00
-1.1250000000e+00,3.2832000000e-03,0.0000000000e+00
-1.1400000000e+00,3.3268000000e-03,0.0000000000e+00
-1.1550000000e+00,3.3670000000e-03,0.0000000000e+00
-1.1700000000e+00,3.4094000000e-03,0.0000000000e+00
-1.1850000000e+00,3.4534000000e-03,0.0000000000e+00
-1.2000000000e+00,3.4956000000e-03,0.0000000000e+00
-1.2150000000e+00,3.5428000000e-03,0.0000000000e+00
-1.2300000000e+00,3.5872000000e-03,0.0000000000e+00
-1.2450000000e+00,3.6288000000e-03,0.0000000000e+00
-1.2600000000e+00,3.6738000000e-03,0.0000000000e+00
-1.2750000000e+00,3.7154000000e-03,0.0000000000e+00
-1.2900000000e+00,3.7578000000e-03,0.0000000000e+00
-1.3050000000e+00,3.7992000000e-03,0.0000000000e+00
-1.3200000000e+00,3.8436000000e-03,0.0000000000e+00
-1.3350000000e+00,3.8866000000e-03,0.0000000000e+00
-1.3500000000e+00,3.9340000000e-03,0.0000000000e+00
-1.3650000000e+00,3.9714000000e-03,0.0000000000e+00
-1.3800000000e+00,4.0062000000e-03,0.0000000000e+00
-1.3950000000e+00,4.0620000000e-03,0.0000000000e+00
-1.4100000000e+00,4.1006000000e-03,0.0000000000e+00
-1.4250000000e+00,4.1504000000e-03,0.0000000000e+00
-1.4400000000e+00,4.1982000000e-03,0.0000000000e+00
-1.4550000000e+00,4.2086000000e-03,0.0000000000e+00
-1.4700000000e+00,4.2314000000e-03,0.0000000000e+00
-1.4850000000e+00,4.2388000000e-03,0.0000000000e+00
-1.5000000000e+00,4.2388000000e-03,0.0000000000e+00
-1.5000000000e+00,4.2314000000e-03,0.0000000000e+00
-1.4850000000e+00,4.2060000000e-03,0.0000000000e+00
-1.4700000000e+00,4.1996000000e-03,0.0000000000e+00
-1.4550000000e+00,4.1014000000e-03,0.0000000000e+00
-1.4400000000e+00,4.0350000000e-03,0.0000000000e+00
-1.4250000000e+00,3.9666000000e-03,0.0000000000e+00
-1.4100000000e+00,3.8480000000e-03,0.0000000000e+00
-1.3950000000e+00,3.8292000000e-03,0.0000000000e+00
-1.3800000000e+00,3.7950000000e-03,0.0000000000e+00
-1.3650000000e+00,3.7436000000e-03,0.0000000000e+00
-1.3500000000e+00,3.6808000000e-03,0.0000000000e+00
-1.3350000000e+00,3.6620000000e-03,0.0000000000e+00
-1.3200000000e+00,3.5720000000e-03,0.0000000000e+00
-1.3050000000e+00,3.5196000000e-03,0.0000000000e+00
-1.2900000000e+00,3.4628000000e-03,0.0000000000e+00
-1.2750000000e+00,3.4196000000e-03,0.0000000000e+00
-1.2600000000e+00,3.3758000000e-03,0.0000000000e+00
-1.2450000000e+00,3.3394000000e-03,0.0000000000e+00
-1.2300000000e+00,3.2888000000e-03,0.0000000000e+00
-1.2150000000e+00,3.2532000000e-03,0.0000000000e+00
-1.2000000000e+00,3.2082000000e-03,0.0000000000e+00
-1.1850000000e+00,3.1780000000e-03,0.0000000000e+00
-1.1700000000e+00,3.1346000000e-03,0.0000000000e+00
-1.1550000000e+00,3.0986000000e-03,0.0000000000e+00
-1.1400000000e+00,3.0558000000e-03,0.0000000000e+00
-1.1250000000e+00,3.0188000000e-03,0.0000000000e+00
-1.1100000000e+00,2.9728000000e-03,0.0000000000e+00
-1.0950000000e+00,2.9344000000e-03,0.0000000000e+00
-1.0800000000e+00,2.8974000000e-03,0.0000000000e+00
-1.0650000000e+00,2.8572000000e-03,0.0000000000e+00
-1.0500000000e+00,2.8178000000e-03,0.0000000000e+00
-1.0350000000e+00,2.7724000000e-03,0.0000000000e+00
-1.0200000000e+00,2.7346000000e-03,0.0000000000e+00
-1.0050000000e+00,2.6962000000e-03,0.0000000000e+00
-9.9000000000e-01,2.6534000000e-03,0.0000000000e+00
-9.7500000000e-01,2.6156000000e-03,0.0000000000e+00
-9.6000000000e-01,2.5766000000e-03,0.0000000000e+00
-9.4500000000e-01,2.5326000000e-03,0.0000000000e+00
-9.3000000000e-01,2.4958000000e-03,0.0000000000e+00
-9.1500000000e-01,2.4604000000e-03,0.0000000000e+00
-9.0000000000e-01,2.4216000000e-03,0.0000000000e+00
-8.8500000000e-01,2.3840000000e-03,0.0000000000e+00
-8.7000000000e-01,2.3420000000e-03,0.0000000000e+00
-8.5500000000e-01,2.3018000000e-03,0.0000000000e+00
-8.4000000000e-01,2.2616000000e-03,0.0000000000e+00
-8.2500000000e-01,2.2252000000e-03,0.0000000000e+00
-8.1000000000e-01,2.1868000000e-03,0.0000000000e+00
-7.9500000000e-01,2.1470000000e-03,0.0000000000e+00
-7.8000000000e-01,2.1056000000e-03,0.0000000000e+00
-7.6500000000e-01,2.0674000000e-03,0.0000000000e+00
-7.5000000000e-01,2.0324000000e-03,0.0000000000e+00
-7.3500000000e-01,1.9924000000e-03,0.0000000000e+00
-7.2000000000e-01,1.9522000000e-03,0.0000000000e+00
-7.0500000000e-01,1.9134000000e-03,0.0000000000e+00
-6.9000000000e-01,1.8720000000e-03,0.0000000000e+00
-6.7500000000e-01,1.8322000000e-03,0.0000000000e+00
-6.6000000000e-01,1.7986000000e-03,0.0000000000e+00
-6.4500000000e-01,1.7594000000e-03,0.0000000000e+00
-6.3000000000e-01,1.7212000000e-03,0.0000000000e+00
-6.1500000000e-01,1.6804000000e-03,0.0000000000e+00
-6.0000000000e-01,1.6388000000e-03,0.0000000000e+00
-5.8500000000e-01,1.6000000000e-03,0.0000000000e+00
-5.7000000000e-01,1.5586000000e-03,0.0000000000e+00
-5.5500000000e-01,1.5190000000e-03,0.0000000000e+00
-5.4000000000e-01,1.4804000000e-03,0.0000000000e+00
-5.2500000000e-01,1.4394000000e-03,0.0000000000e+00
-5.1000000000e-01,1.3980000000e-03,0.0000000000e+00
-4.9500000000e-01,1.3574000000e-03,0.0000000000e+00
-4.8000000000e-01,1.3162000000e-03,0.0000000000e+00
-4.6500000000e-01,1.2770000000e-03,0.0000000000e+00
-4.5000000000e-01,1.2362000000e-03,0.0000000000e+00
-4.3500000000e-01,1.1958000000e-03,0.0000000000e+00
-4.2000000000e-01,1.1530000000e-03,0.0000000000e+00
-4.0500000000e-01,1.1114200000e-03,0.0000000000e+00
-3.9000000000e-01,1.0727400000e-03,0.0000000000e+00
-3.7500000000e-01,1.0314000000e-03,0.0000000000e+00
-3.6000000000e-01,9.9282000000e-04,0.0000000000e+00
-3.4500000000e-01,9.5072000000e-04,0.0000000000e+00
-3.3000000000e-01,9.0910000000e-04,0.0000000000e+00
-3.1500000000e-01,8.6890000000e-04,0.0000000000e+00
-3.0000000000e-01,8.2598000000e-04,0.0000000000e+00
-2.8500000000e-01,7.8592000000e-04,0.0000000000e+00
-2.7000000000e-01,7.4682000000e-04,0.0000000000e+00
-2.5500000000e-01,7.0340000000e-04,0.0000000000e+00
-2.4000000000e-01,6.6186000000e-04,0.0000000000e+00
-2.2500000000e-01,6.2080000000e-04,0.0000000000e+00
-2.1000000000e-01,5.7854000000e-04,0.0000000000e+00
-1.9500000000e-01,5.3802000000e-04,0.0000000000e+00
-1.8000000000e-01,4.9742000000e-04,0.0000000000e+00
-1.6500000000e-01,4.5486000000e-04,0.0000000000e+00
-1.5000000000e-01,4.1136000000e-04,0.0000000000e+00
-1.3500000000e-01,3.7172000000e-04,0.0000000000e+00
-1.2000000000e-01,3.3082000000e-04,0.0000000000e+00
-1.0500000000e-01,2.9126000000e-04,0.0000000000e+00
-9.0000000000e-02,2.4900000000e-04,0.0000000000e+00
-7.5000000000e-02,2.0654000000e-04,0.0000000000e+00
-6.0000000000e-02,1.6618000000e-04,0.0000000000e+00
-4.5000000000e-02,1.2346000000e-04,0.0000000000e+00
-3.0000000000e-02,8.0228000000e-05,0.0000000000e+00
-1.5000000000e-02,4.0120000000e-05,0.0000000000e+00
0.0000000000e+00,8.2080000000e-08,0.0000000000e+00
0.0000000000e+00,-7.0340000000e-07,0.0000000000e+00
1.0000000000e-02,2.7482000000e-05,0.0000000000e+00
2.0000000000e-02,5.5000000000e-05,0.0000000000e+00
3.0000000000e-02,8.3508000000e-05,0.0000000000e+00
4.0000000000e-02,1.0954800000e-04,0.0000000000e+00
5.0000000000e-02,1.3708000000e-04,0.0000000000e+00
6.0000000000e-02,1.6388000000e-04,0.0000000000e+00
7.0000000000e-02,1.9154000000e-04,0.0000000000e+00
8.0000000000e-02,2.1992000000e-04,0.0000000000e+00
9.0000000000e-02,2.4652000000e-04,0.0000000000e+00
1.0000000000e-01,2.7368000000e-04,0.0000000000e+00
1.1000000000e-01,3.0090000000e-04,0.0000000000e+00
1.2000000000e-01,3.2632000000e-04,0.0000000000e+00
1.3000000000e-01,3.5510000000e-04,0.0000000000e+00
1.4000000000e-01,3.8384000000e-04,0.0000000000e+00
1.5000000000e-01,4.0996000000e-04,0.0000000000e+00
1.6000000000e-01,4.3794000000e-04,0.0000000000e+00
1.7000000000e-01,4.6448000000e-04,0.0000000000e+00
1.8000000000e-01,4.9044000000e-04,0.0000000000e+00
1.9000000000e-01,5.1952000000e-04,0.0000000000e+00
2.0000000000e-01,5.4678000000e-04,0.0000000000e+00
2.1000000000e-01,5.7608000000e-04,0.0000000000e+00
2.2000000000e-01,6.0160000000e-04,0.0000000000e+00
2.3000000000e-01,6.2746000000e-04,0.0000000000e+00
2.4000000000e-01,6.5502000000e-04,0.0000000000e+00
2.5000000000e-01,6.8290000000e-04,0.0000000000e+00
2.6000000000e-01,7.0926000000e-04,0.0000000000e+00
2.7000000000e-01,7.3682000000e-04,0.0000000000e+00
2.8000000000e-01,7.6414000000e-04,0.0000000000e+00
2.9000000000e-01,7.8920000000e-04,0.0000000000e+00
3.0000000000e-01,8.1644000000e-04,0.0000000000e+00
3.1000000000e-01,8.4392000000e-04,0.0000000000e+00
3.2000000000e-01,8.7196000000e-04,0.0000000000e+00
3.3000000000e-01,8.9942000000e-04,0.0000000000e+00
3.4000000000e-01,9.2580000000e-04,0.0000000000e+00
3.5000000000e-01,9.5152000000e-04,0.0000000000e+00
3.6000000000e-01,9.7972000000e-04,0.0000000000e+00
3.7000000000e-01,1.0068600000e-03,0.0000000000e+00
3.8000000000e-01,1.0365000000e-03,0.0000000000e+00
3.9000000000e-01,1.0644000000e-03,0.0000000000e+00
4.0000000000e-01,1.0884800000e-03,0.0000000000e+00
4.1000000000e-01,1.1149200000e-03,0.0000000000e+00
4.2000000000e-01,1.1434000000e-03,0.0000000000e+00
4.3000000000e-01,1.1708000000e-03,0.0000000000e+00
4.4000000000e-01,1.1962000000e-03,0.0000000000e+00
4.5000000000e-01,1.2242000000e-03,0.0000000000e+00
4.6000000000e-01,1.2520000000e-03,0.0000000000e+00
4.7000000000e-01,1.2772000000e-03,0.0000000000e+00
4.8000000000e-01,1.3042000000e-03,0.0000000000e+00
4.9000000000e-01,1.3306000000e-03,0.0000000000e+00
5.0000000000e-01,1.3546000000e-03,0.0000000000e+00
5.1000000000e-01,1.3846000000e-03,0.0000000000e+00
5.2000000000e-01,1.4108000000e-03,0.0000000000e+00
5.3000000000e-01,1.4382000000e-03,0.0000000000e+00
5.4000000000e-01,1.4644000000e-03,0.0000000000e+00
5.5000000000e-01,1.4906000000e-03,0.0000000000e+00
5.6000000000e-01,1.5170000000e-03,0.0000000000e+00
5.7000000000e-01,1.5450000000e-03,0.0000000000e+00
5.8000000000e-01,1.5710000000e-03,0.0000000000e+00
5.9000000000e-01,1.5974000000e-03,0.0000000000e+00
6.0000000000e-01,1.6270000000e-03,0.0000000000e+00
6.1000000000e-01,1.6532000000e-03,0.0000000000e+00
6.2000000000e-01,1.6802000000e-03,0.0000000000e+00
6.3000000000e-01,1.7050000000e-03,0.0000000000e+00
6.4000000000e-01,1.7312000000e-03,0.0000000000e+00
6.5000000000e-01,1.7580000000e-03,0.0000000000e+00
6.6000000000e-01,1.7862000000e-03,0.0000000000e+00
6.7000000000e-01,1.8118000000e-03,0.0000000000e+00
6.8000000000e-01,1.8412000000e-03,0.0000000000e+00
6.9000000000e-01,1.8676000000e-03,0.0000000000e+00
7.0000000000e-01,1.8926000000e-03,0.0000000000e+00
7.1000000000e-01,1.9202000000e-03,0.0000000000e+00
7.2000000000e-01,1.9442000000e-03,0.0000000000e+00
7.3000000000e-01,1.9714000000e-03,0.0000000000e+00
7.4000000000e-01,2.0012000000e-03,0.0000000000e+00
7.5000000000e-01,2.0004000000e-03,0.0000000000e+00
7.6000000000e-01,2.0002000000e-03,0.0000000000e+00
7.7000000000e-01,2.0004000000e-03,0.0000000000e+00
7.8000000000e-01,2.0004000000e-03,0.0000000000e+00
7.9000000000e-01,2.0002000000e-03,0.0000000000e+00
8.0000000000e-01,2.0004000000e-03,0.0000000000e+00
8.1000000000e-01,2.0002000000e-03,0.0000000000e+00
8.2000000000e-01,2.0004000000e-03,0.0000000000e+00
8.3000000000e-01,2.0004000000e-03,0.0000000000e+00
8.4000000000e-01,2.0004000000e-03,0.0000000000e+00
8.5000000000e-01,2.0004000000e-03,0.0000000000e+00
8.6000000000e-01,2.0004000000e-03,0.0000000000e+00
8.7000000000e-01,2.0004000000e-03,0.0000000000e+00
8.8000000000e-01,2.0006000000e-03,0.0000000000e+00
8.9000000000e-01,2.0004000000e-03,0.0000000000e+00
9.0000000000e-01,2.0004000000e-03,0.0000000000e+00
9.1000000000e-01,2.0004000000e-03,0.0000000000e+00
9.2000000000e-01,2.0004000000e-03,0.0000000000e+00
9.3000000000e-01,2.0004000000e-03,0.0000000000e+00
9.4000000000e-01,2.0002000000e-03,0.0000000000e+00
9.5000000000e-01,2.0004000000e-03,0.0000000000e+00
9.6000000000e-01,2.0004000000e-03,0.0000000000e+00
9.7000000000e-01,2.0004000000e-03,0.0000000000e+00
9.8000000000e-01,2.0004000000e-03,0.0000000000e+00
9.9000000000e-01,2.0006000000e-03,0.0000000000e+00
1.0000000000e+00,2.0004000000e-03,0.0000000000e+00
1.0000000000e+00,2.0004000000e-03,0.0000000000e+00
9.9000000000e-01,2.0004000000e-03,0.0000000000e+00
9.8000000000e-01,2.0004000000e-03,0.0000000000e+00
9.7000000000e-01,2.0006000000e-03,0.0000000000e+00
9.6000000000e-01,2.0004000000e-03,0.0000000000e+00
