# Saved on 2025-06-18T18:10:01.809511
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.3
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.2530000000e-07,1.0440000000e-07
-1.3000000000e-02,9.2964000000e-06,9.3324000000e-06
-2.6000000000e-02,1.9206000000e-05,1.8592000000e-05
-3.9000000000e-02,2.8738000000e-05,2.8204000000e-05
-5.2000000000e-02,3.8432000000e-05,3.6414000000e-05
-6.5000000000e-02,4.8022000000e-05,4.6916000000e-05
-7.8000000000e-02,5.7644000000e-05,5.6392000000e-05
-9.1000000000e-02,6.7244000000e-05,6.5994000000e-05
-1.0400000000e-01,7.8722000000e-05,7.5128000000e-05
-1.1700000000e-01,8.7056000000e-05,8.4656000000e-05
-1.3000000000e-01,9.7852000000e-05,9.4784000000e-05
-1.4300000000e-01,1.0708000000e-04,1.0186000000e-04
-1.5600000000e-01,1.1634000000e-04,1.1118000000e-04
-1.6900000000e-01,1.2732000000e-04,1.2090000000e-04
-1.8200000000e-01,1.3554000000e-04,1.3086000000e-04
-1.9500000000e-01,1.4714000000e-04,1.3998000000e-04
-2.0800000000e-01,1.5624000000e-04,1.5102000000e-04
-2.2100000000e-01,1.6650000000e-04,1.6124000000e-04
-2.3400000000e-01,1.8172000000e-04,1.7122000000e-04
-2.4700000000e-01,1.9230000000e-04,1.8152000000e-04
-2.6000000000e-01,2.0330000000e-04,1.9234000000e-04
-2.7300000000e-01,2.1378000000e-04,2.0264000000e-04
-2.8600000000e-01,2.2462000000e-04,2.1494000000e-04
-2.9900000000e-01,2.3716000000e-04,2.2582000000e-04
-3.1200000000e-01,2.4832000000e-04,2.3666000000e-04
-3.2500000000e-01,2.6020000000e-04,2.4802000000e-04
-3.3800000000e-01,2.7418000000e-04,2.5936000000e-04
-3.5100000000e-01,2.8270000000e-04,2.7096000000e-04
-3.6400000000e-01,2.9506000000e-04,2.8498000000e-04
-3.7700000000e-01,3.0898000000e-04,2.9686000000e-04
-3.9000000000e-01,3.2234000000e-04,3.0916000000e-04
-4.0300000000e-01,3.3436000000e-04,3.2192000000e-04
-4.1600000000e-01,3.4734000000e-04,3.3414000000e-04
-4.2900000000e-01,3.5978000000e-04,3.4494000000e-04
-4.4200000000e-01,3.6722000000e-04,3.5932000000e-04
-4.5500000000e-01,3.8092000000e-04,3.7376000000e-04
-4.6800000000e-01,3.9412000000e-04,3.8422000000e-04
-4.8100000000e-01,4.0858000000e-04,3.9918000000e-04
-4.9400000000e-01,4.3002000000e-04,4.1044000000e-04
-5.0700000000e-01,4.3618000000e-04,4.2430000000e-04
-5.2000000000e-01,4.5128000000e-04,4.4118000000e-04
-5.3300000000e-01,4.6624000000e-04,4.5498000000e-04
-5.4600000000e-01,4.8014000000e-04,4.6964000000e-04
-5.5900000000e-01,4.9670000000e-04,4.8398000000e-04
-5.7200000000e-01,5.0894000000e-04,4.9878000000e-04
-5.8500000000e-01,5.2560000000e-04,5.1392000000e-04
-5.9800000000e-01,5.4016000000e-04,5.2864000000e-04
-6.1100000000e-01,5.5646000000e-04,5.4398000000e-04
-6.2400000000e-01,5.7266000000e-04,5.5964000000e-04
-6.3700000000e-01,5.9028000000e-04,5.7594000000e-04
-6.5000000000e-01,6.0400000000e-04,5.8994000000e-04
-6.6300000000e-01,6.1688000000e-04,6.0758000000e-04
-6.7600000000e-01,6.3764000000e-04,6.2540000000e-04
-6.8900000000e-01,6.5390000000e-04,6.4064000000e-04
-7.0200000000e-01,6.6964000000e-04,6.5740000000e-04
-7.1500000000e-01,6.8846000000e-04,6.7308000000e-04
-7.2800000000e-01,7.0386000000e-04,6.9046000000e-04
-7.4100000000e-01,7.2102000000e-04,7.0770000000e-04
-7.5400000000e-01,7.3780000000e-04,7.2550000000e-04
-7.6700000000e-01,7.5888000000e-04,7.4314000000e-04
-7.8000000000e-01,7.7640000000e-04,7.6142000000e-04
-7.9300000000e-01,7.9260000000e-04,7.7794000000e-04
-8.0600000000e-01,8.1302000000e-04,7.9588000000e-04
-8.1900000000e-01,8.3080000000e-04,8.1488000000e-04
-8.3200000000e-01,8.4918000000e-04,8.3480000000e-04
-8.4500000000e-01,8.7020000000e-04,8.5428000000e-04
-8.5800000000e-01,8.9010000000e-04,8.7356000000e-04
-8.7100000000e-01,9.0800000000e-04,8.9308000000e-04
-8.8400000000e-01,9.2814000000e-04,9.1342000000e-04
-8.9700000000e-01,9.4996000000e-04,9.3504000000e-04
-9.1000000000e-01,9.6864000000e-04,9.5372000000e-04
-9.2300000000e-01,9.9124000000e-04,9.7504000000e-04
-9.3600000000e-01,1.0118000000e-03,9.9584000000e-04
-9.4900000000e-01,1.0368000000e-03,1.0180000000e-03
-9.6200000000e-01,1.0584000000e-03,1.0358000000e-03
-9.7500000000e-01,1.0814000000e-03,1.0580000000e-03
-9.8800000000e-01,1.1032000000e-03,1.0838000000e-03
-1.0010000000e+00,1.1274000000e-03,1.1058000000e-03
-1.0140000000e+00,1.1482000000e-03,1.1304000000e-03
-1.0270000000e+00,1.1716000000e-03,1.1524000000e-03
-1.0400000000e+00,1.1968000000e-03,1.1776000000e-03
-1.0530000000e+00,1.2212000000e-03,1.2040000000e-03
-1.0660000000e+00,1.2464000000e-03,1.2266000000e-03
-1.0790000000e+00,1.2666000000e-03,1.2502000000e-03
-1.0920000000e+00,1.2930000000e-03,1.2768000000e-03
-1.1050000000e+00,1.3186000000e-03,1.3050000000e-03
-1.1180000000e+00,1.3446000000e-03,1.3276000000e-03
-1.1310000000e+00,1.3726000000e-03,1.3536000000e-03
-1.1440000000e+00,1.3960000000e-03,1.3824000000e-03
-1.1570000000e+00,1.4232000000e-03,1.4076000000e-03
-1.1700000000e+00,1.4504000000e-03,1.4392000000e-03
-1.1830000000e+00,1.4804000000e-03,1.4676000000e-03
-1.1960000000e+00,1.5148000000e-03,1.4986000000e-03
-1.2090000000e+00,1.5384000000e-03,1.5264000000e-03
-1.2220000000e+00,1.5622000000e-03,1.5722000000e-03
-1.2350000000e+00,1.5952000000e-03,1.5948000000e-03
-1.2480000000e+00,1.6284000000e-03,1.6310000000e-03
-1.2610000000e+00,1.6600000000e-03,1.6478000000e-03
-1.2740000000e+00,1.6946000000e-03,1.6886000000e-03
-1.2870000000e+00,1.7378000000e-03,1.7168000000e-03
-1.3000000000e+00,1.7772000000e-03,1.7620000000e-03
-1.3000000000e+00,1.7798000000e-03,1.7564000000e-03
-1.2870000000e+00,1.7372000000e-03,1.7234000000e-03
-1.2740000000e+00,1.7070000000e-03,1.7066000000e-03
-1.2610000000e+00,1.6886000000e-03,1.6996000000e-03
-1.2480000000e+00,1.6510000000e-03,1.6556000000e-03
-1.2350000000e+00,1.5900000000e-03,1.6472000000e-03
-1.2220000000e+00,1.5640000000e-03,1.6042000000e-03
-1.2090000000e+00,1.5310000000e-03,1.5802000000e-03
-1.1960000000e+00,1.4972000000e-03,1.5698000000e-03
-1.1830000000e+00,1.4838000000e-03,1.5410000000e-03
-1.1700000000e+00,1.4716000000e-03,1.5236000000e-03
-1.1570000000e+00,1.4670000000e-03,1.4778000000e-03
-1.1440000000e+00,1.4382000000e-03,1.4616000000e-03
-1.1310000000e+00,1.4022000000e-03,1.4270000000e-03
-1.1180000000e+00,1.3698000000e-03,1.4058000000e-03
-1.1050000000e+00,1.3322000000e-03,1.3828000000e-03
-1.0920000000e+00,1.3392000000e-03,1.3768000000e-03
-1.0790000000e+00,1.3216000000e-03,1.3672000000e-03
-1.0660000000e+00,1.3066000000e-03,1.3308000000e-03
-1.0530000000e+00,1.2842000000e-03,1.3100000000e-03
-1.0400000000e+00,1.2724000000e-03,1.3052000000e-03
-1.0270000000e+00,1.2544000000e-03,1.2758000000e-03
-1.0140000000e+00,1.2284000000e-03,1.2500000000e-03
-1.0010000000e+00,1.1920000000e-03,1.2308000000e-03
-9.8800000000e-01,1.1820000000e-03,1.2146000000e-03
-9.7500000000e-01,1.1758000000e-03,1.1954000000e-03
-9.6200000000e-01,1.1436000000e-03,1.1734000000e-03
-9.4900000000e-01,1.1396000000e-03,1.1438400000e-03
-9.3600000000e-01,1.1124000000e-03,1.1155200000e-03
-9.2300000000e-01,1.1265000000e-03,1.1112200000e-03
-9.1000000000e-01,1.1235400000e-03,1.0891600000e-03
-8.9700000000e-01,1.0961400000e-03,1.0799000000e-03
-8.8400000000e-01,1.0568400000e-03,1.0605400000e-03
-8.7100000000e-01,1.0510600000e-03,1.0456200000e-03
-8.5800000000e-01,1.0295600000e-03,1.0408600000e-03
-8.4500000000e-01,9.9558000000e-04,1.0083800000e-03
-8.3200000000e-01,9.7294000000e-04,1.0166600000e-03
-8.1900000000e-01,9.6604000000e-04,9.9260000000e-04
-8.0600000000e-01,9.5596000000e-04,9.9164000000e-04
-7.9300000000e-01,9.0692000000e-04,9.2710000000e-04
-7.8000000000e-01,8.7192000000e-04,9.0990000000e-04
-7.6700000000e-01,8.7598000000e-04,8.8724000000e-04
-7.5400000000e-01,8.8244000000e-04,8.8552000000e-04
-7.4100000000e-01,8.6274000000e-04,8.5684000000e-04
-7.2800000000e-01,8.4548000000e-04,8.3778000000e-04
-7.1500000000e-01,8.3604000000e-04,8.2274000000e-04
-7.0200000000e-01,8.4462000000e-04,8.1080000000e-04
-6.8900000000e-01,8.3600000000e-04,7.9036000000e-04
-6.7600000000e-01,8.1356000000e-04,7.6710000000e-04
-6.6300000000e-01,7.9898000000e-04,7.4570000000e-04
-6.5000000000e-01,7.7444000000e-04,7.3802000000e-04
-6.3700000000e-01,7.5400000000e-04,7.1426000000e-04
-6.2400000000e-01,7.3714000000e-04,7.0018000000e-04
-6.1100000000e-01,7.0668000000e-04,6.9982000000e-04
-5.9800000000e-01,6.8876000000e-04,6.9014000000e-04
-5.8500000000e-01,6.7158000000e-04,6.7232000000e-04
-5.7200000000e-01,6.5650000000e-04,6.4980000000e-04
-5.5900000000e-01,6.3822000000e-04,6.4434000000e-04
-5.4600000000e-01,6.1500000000e-04,6.3248000000e-04
-5.3300000000e-01,5.9954000000e-04,6.1138000000e-04
-5.2000000000e-01,5.8390000000e-04,5.9040000000e-04
-5.0700000000e-01,5.7086000000e-04,5.8292000000e-04
-4.9400000000e-01,5.4616000000e-04,5.6158000000e-04
-4.8100000000e-01,5.3504000000e-04,5.4416000000e-04
-4.6800000000e-01,5.1794000000e-04,5.3160000000e-04
-4.5500000000e-01,4.9404000000e-04,5.0960000000e-04
-4.4200000000e-01,4.7708000000e-04,4.9070000000e-04
-4.2900000000e-01,4.5728000000e-04,4.7774000000e-04
-4.1600000000e-01,4.4576000000e-04,4.6192000000e-04
-4.0300000000e-01,4.2468000000e-04,4.4402000000e-04
-3.9000000000e-01,4.0888000000e-04,4.3074000000e-04
-3.7700000000e-01,3.9608000000e-04,4.1232000000e-04
-3.6400000000e-01,3.8230000000e-04,3.9710000000e-04
-3.5100000000e-01,3.6572000000e-04,3.8228000000e-04
-3.3800000000e-01,3.5038000000e-04,3.6618000000e-04
-3.2500000000e-01,3.3428000000e-04,3.5132000000e-04
-3.1200000000e-01,3.1970000000e-04,3.3612000000e-04
-2.9900000000e-01,3.0310000000e-04,3.2238000000e-04
-2.8600000000e-01,2.9054000000e-04,3.0794000000e-04
-2.7300000000e-01,2.7496000000e-04,2.9266000000e-04
-2.6000000000e-01,2.6302000000e-04,2.7748000000e-04
-2.4700000000e-01,2.4714000000e-04,2.6378000000e-04
-2.3400000000e-01,2.3480000000e-04,2.4794000000e-04
-2.2100000000e-01,2.1728000000e-04,2.3218000000e-04
-2.0800000000e-01,2.0448000000e-04,2.1762000000e-04
-1.9500000000e-01,1.9122000000e-04,2.0290000000e-04
-1.8200000000e-01,1.7770000000e-04,1.8934000000e-04
-1.6900000000e-01,1.6348000000e-04,1.7462000000e-04
-1.5600000000e-01,1.5118000000e-04,1.6146000000e-04
-1.4300000000e-01,1.4012000000e-04,1.4814000000e-04
-1.3000000000e-01,1.2606000000e-04,1.3248000000e-04
-1.1700000000e-01,1.1240800000e-04,1.1810000000e-04
-1.0400000000e-01,9.9978000000e-05,1.0572200000e-04
-9.1000000000e-02,8.7554000000e-05,9.3140000000e-05
-7.8000000000e-02,7.4526000000e-05,7.9298000000e-05
-6.5000000000e-02,6.2362000000e-05,6.6452000000e-05
-5.2000000000e-02,5.0222000000e-05,5.2840000000e-05
-3.9000000000e-02,3.7328000000e-05,3.9532000000e-05
-2.6000000000e-02,2.4996000000e-05,2.6242000000e-05
-1.3000000000e-02,1.2676000000e-05,1.2816000000e-05
0.0000000000e+00,1.9040000000e-08,2.3053000000e-08
0.0000000000e+00,-7.7142000000e-08,2.6400000000e-09
1.0000000000e-02,5.8040000000e-06,7.4955000000e-06
2.0000000000e-02,1.2052000000e-05,1.4970000000e-05
3.0000000000e-02,1.7740000000e-05,2.2432000000e-05
4.0000000000e-02,2.3644000000e-05,2.9668000000e-05
5.0000000000e-02,2.9650000000e-05,3.7586000000e-05
6.0000000000e-02,3.5972000000e-05,4.5234000000e-05
7.0000000000e-02,4.2016000000e-05,5.2444000000e-05
8.0000000000e-02,4.8366000000e-05,6.0424000000e-05
9.0000000000e-02,5.4560000000e-05,6.8298000000e-05
1.0000000000e-01,6.0876000000e-05,7.6146000000e-05
1.1000000000e-01,6.6842000000e-05,8.4068000000e-05
1.2000000000e-01,7.4086000000e-05,9.2134000000e-05
1.3000000000e-01,8.0248000000e-05,1.0052000000e-04
1.4000000000e-01,8.6950000000e-05,1.0846000000e-04
1.5000000000e-01,9.4230000000e-05,1.1552000000e-04
1.6000000000e-01,9.9688000000e-05,1.2328000000e-04
1.7000000000e-01,1.0630000000e-04,1.3150000000e-04
1.8000000000e-01,1.1334200000e-04,1.3952000000e-04
1.9000000000e-01,1.2074000000e-04,1.4856000000e-04
2.0000000000e-01,1.2932000000e-04,1.5742000000e-04
2.1000000000e-01,1.3710000000e-04,1.6414000000e-04
2.2000000000e-01,1.4308000000e-04,1.7220000000e-04
2.3000000000e-01,1.4898000000e-04,1.8154000000e-04
2.4000000000e-01,1.5632000000e-04,1.8958000000e-04
2.5000000000e-01,1.6620000000e-04,1.9816000000e-04
2.6000000000e-01,1.7702000000e-04,2.0994000000e-04
2.7000000000e-01,1.8248000000e-04,2.1866000000e-04
2.8000000000e-01,1.9250000000e-04,2.2612000000e-04
2.9000000000e-01,1.9756000000e-04,2.3348000000e-04
3.0000000000e-01,2.0690000000e-04,2.4448000000e-04
3.1000000000e-01,2.1282000000e-04,2.5188000000e-04
3.2000000000e-01,2.2118000000e-04,2.6224000000e-04
3.3000000000e-01,2.3316000000e-04,2.7116000000e-04
3.4000000000e-01,2.4294000000e-04,2.8074000000e-04
3.5000000000e-01,2.4926000000e-04,2.9022000000e-04
3.6000000000e-01,2.5608000000e-04,3.0308000000e-04
3.7000000000e-01,2.6624000000e-04,3.1010000000e-04
3.8000000000e-01,2.7682000000e-04,3.2098000000e-04
3.9000000000e-01,2.8504000000e-04,3.2978000000e-04
4.0000000000e-01,2.9496000000e-04,3.3950000000e-04
4.1000000000e-01,3.0362000000e-04,3.5460000000e-04
4.2000000000e-01,3.1732000000e-04,3.6444000000e-04
4.3000000000e-01,3.1968000000e-04,3.7496000000e-04
4.4000000000e-01,3.3126000000e-04,3.8658000000e-04
4.5000000000e-01,3.4426000000e-04,3.9654000000e-04
4.6000000000e-01,3.5658000000e-04,4.1346000000e-04
4.7000000000e-01,3.6918000000e-04,4.2630000000e-04
4.8000000000e-01,3.7642000000e-04,4.3604000000e-04
4.9000000000e-01,3.8686000000e-04,4.4534000000e-04
5.0000000000e-01,4.0292000000e-04,4.5658000000e-04
5.1000000000e-01,4.1354000000e-04,4.7072000000e-04
5.2000000000e-01,4.2634000000e-04,4.8226000000e-04
5.3000000000e-01,4.3398000000e-04,4.9318000000e-04
5.4000000000e-01,4.3842000000e-04,5.0736000000e-04
5.5000000000e-01,4.7600000000e-04,5.2268000000e-04
5.6000000000e-01,4.8516000000e-04,5.4124000000e-04
5.7000000000e-01,5.0460000000e-04,5.5116000000e-04
5.8000000000e-01,5.0910000000e-04,5.7004000000e-04
5.9000000000e-01,5.2018000000e-04,5.8352000000e-04
6.0000000000e-01,5.2860000000e-04,5.9570000000e-04
6.1000000000e-01,5.4068000000e-04,6.2334000000e-04
6.2000000000e-01,5.5080000000e-04,6.4020000000e-04
6.3000000000e-01,5.5202000000e-04,6.4744000000e-04
6.4000000000e-01,5.7148000000e-04,6.7830000000e-04
6.5000000000e-01,5.9500000000e-04,6.8706000000e-04
6.6000000000e-01,6.1742000000e-04,7.0210000000e-04
6.7000000000e-01,6.3828000000e-04,7.2092000000e-04
6.8000000000e-01,6.5092000000e-04,7.3072000000e-04
6.9000000000e-01,6.7254000000e-04,7.4472000000e-04
7.0000000000e-01,6.9140000000e-04,7.6602000000e-04
7.1000000000e-01,7.2252000000e-04,7.9262000000e-04
7.2000000000e-01,7.3532000000e-04,8.2286000000e-04
7.3000000000e-01,7.4260000000e-04,8.2680000000e-04
7.4000000000e-01,7.6086000000e-04,8.5460000000e-04
7.5000000000e-01,7.8000000000e-04,8.6702000000e-04
7.6000000000e-01,7.9088000000e-04,8.8970000000e-04
7.7000000000e-01,8.0642000000e-04,9.0316000000e-04
7.8000000000e-01,8.2876000000e-04,9.0244000000e-04
7.9000000000e-01,8.6850000000e-04,9.2358000000e-04
8.0000000000e-01,8.8414000000e-04,9.3622000000e-04
8.1000000000e-01,9.2974000000e-04,9.4734000000e-04
8.2000000000e-01,9.5678000000e-04,9.7100000000e-04
8.3000000000e-01,1.0000200000e-03,1.0000800000e-03
8.4000000000e-01,1.0000400000e-03,1.0000000000e-03
8.5000000000e-01,1.0000600000e-03,1.0000400000e-03
8.6000000000e-01,1.0000400000e-03,1.0000600000e-03
8.7000000000e-01,1.0000000000e-03,1.0000000000e-03
8.8000000000e-01,1.0001000000e-03,1.0000400000e-03
8.9000000000e-01,1.0000400000e-03,1.0000400000e-03
9.0000000000e-01,1.0001000000e-03,1.0000200000e-03
9.1000000000e-01,1.0000400000e-03,1.0000400000e-03
9.2000000000e-01,1.0000400000e-03,1.0000400000e-03
9.3000000000e-01,9.9992000000e-04,1.0000200000e-03
9.4000000000e-01,1.0000400000e-03,1.0000600000e-03
9.5000000000e-01,9.9998000000e-04,1.0000200000e-03
9.6000000000e-01,1.0000800000e-03,1.0000400000e-03
9.7000000000e-01,1.0000400000e-03,1.0000800000e-03
9.8000000000e-01,1.0000400000e-03,1.0000600000e-03
9.9000000000e-01,1.0000400000e-03,1.0000400000e-03
1.0000000000e+00,1.0000400000e-03,1.0000400000e-03
1.0000000000e+00,1.0000400000e-03,1.0000400000e-03
9.9000000000e-01,1.0000000000e-03,1.0000400000e-03
9.8000000000e-01,1.0000400000e-03,1.0001200000e-03
9.7000000000e-01,1.0000400000e-03,1.0000200000e-03
9.6000000000e-01,1.0000400000e-03,1.0000400000e-03
9.5000000000e-01,1.0000800000e-03,1.0000400000e-03
9.4000000000e-01,1.0001200000e-03,1.0000200000e-03
9.3000000000e-01,1.0000400000e-03,9.9998000000e-04
9.2000000000e-01,1.0000200000e-03,1.0000000000e-03
9.1000000000e-01,1.0000400000e-03,1.0001000000e-03
9.0000000000e-01,1.0000400000e-03,1.0000800000e-03
8.9000000000e-01,1.0000400000e-03,9.9996000000e-04
8.8000000000e-01,1.0000400000e-03,1.0001000000e-03
8.7000000000e-01,1.0000400000e-03,1.0000600000e-03
8.6000000000e-01,1.0000000000e-03,1.0000600000e-03
8.5000000000e-01,1.0000200000e-03,1.0000200000e-03
