# Saved on 2025-06-18T18:11:05.427631
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.25
#   Neg_Voltage: -1.4
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,5.1660000000e-08,3.1000000000e-10
-1.4000000000e-02,1.0574000000e-05,1.0234000000e-05
-2.8000000000e-02,2.0338000000e-05,2.0484000000e-05
-4.2000000000e-02,3.0444000000e-05,3.0350000000e-05
-5.6000000000e-02,4.0592000000e-05,4.0688000000e-05
-7.0000000000e-02,5.0448000000e-05,5.1228000000e-05
-8.4000000000e-02,6.0596000000e-05,6.0964000000e-05
-9.8000000000e-02,7.0980000000e-05,7.1100000000e-05
-1.1200000000e-01,8.0570000000e-05,8.0872000000e-05
-1.2600000000e-01,9.1250000000e-05,9.1598000000e-05
-1.4000000000e-01,1.0166000000e-04,1.0179400000e-04
-1.5400000000e-01,1.1198000000e-04,1.1306000000e-04
-1.6800000000e-01,1.2216000000e-04,1.2384000000e-04
-1.8200000000e-01,1.3264000000e-04,1.3098000000e-04
-1.9600000000e-01,1.4390000000e-04,1.4122000000e-04
-2.1000000000e-01,1.5524000000e-04,1.5208000000e-04
-2.2400000000e-01,1.6582000000e-04,1.6404000000e-04
-2.3800000000e-01,1.7718000000e-04,1.7446000000e-04
-2.5200000000e-01,1.8862000000e-04,1.8500000000e-04
-2.6600000000e-01,2.0016000000e-04,1.9652000000e-04
-2.8000000000e-01,2.1242000000e-04,2.0858000000e-04
-2.9400000000e-01,2.2440000000e-04,2.2236000000e-04
-3.0800000000e-01,2.3560000000e-04,2.3274000000e-04
-3.2200000000e-01,2.4706000000e-04,2.4554000000e-04
-3.3600000000e-01,2.5908000000e-04,2.5678000000e-04
-3.5000000000e-01,2.7172000000e-04,2.6772000000e-04
-3.6400000000e-01,2.8438000000e-04,2.8036000000e-04
-3.7800000000e-01,2.9676000000e-04,2.9230000000e-04
-3.9200000000e-01,3.1024000000e-04,3.1064000000e-04
-4.0600000000e-01,3.2320000000e-04,3.1904000000e-04
-4.2000000000e-01,3.3546000000e-04,3.3178000000e-04
-4.3400000000e-01,3.5036000000e-04,3.4598000000e-04
-4.4800000000e-01,3.6378000000e-04,3.5860000000e-04
-4.6200000000e-01,3.7930000000e-04,3.7276000000e-04
-4.7600000000e-01,3.9478000000e-04,3.8852000000e-04
-4.9000000000e-01,4.0814000000e-04,4.0062000000e-04
-5.0400000000e-01,4.2028000000e-04,4.1736000000e-04
-5.1800000000e-01,4.3658000000e-04,4.3090000000e-04
-5.3200000000e-01,4.5074000000e-04,4.4498000000e-04
-5.4600000000e-01,4.6684000000e-04,4.6036000000e-04
-5.6000000000e-01,4.8290000000e-04,4.7550000000e-04
-5.7400000000e-01,4.9726000000e-04,4.9164000000e-04
-5.8800000000e-01,5.1486000000e-04,5.0798000000e-04
-6.0200000000e-01,5.2880000000e-04,5.2276000000e-04
-6.1600000000e-01,5.4508000000e-04,5.3858000000e-04
-6.3000000000e-01,5.6246000000e-04,5.5594000000e-04
-6.4400000000e-01,5.8126000000e-04,5.7204000000e-04
-6.5800000000e-01,5.9702000000e-04,5.8776000000e-04
-6.7200000000e-01,6.1422000000e-04,6.0616000000e-04
-6.8600000000e-01,6.2710000000e-04,6.2388000000e-04
-7.0000000000e-01,6.4548000000e-04,6.4006000000e-04
-7.1400000000e-01,6.6732000000e-04,6.5800000000e-04
-7.2800000000e-01,6.8214000000e-04,6.7808000000e-04
-7.4200000000e-01,7.0282000000e-04,6.9600000000e-04
-7.5600000000e-01,7.1944000000e-04,7.1550000000e-04
-7.7000000000e-01,7.3658000000e-04,7.3396000000e-04
-7.8400000000e-01,7.5858000000e-04,7.5316000000e-04
-7.9800000000e-01,7.7728000000e-04,7.7280000000e-04
-8.1200000000e-01,7.9510000000e-04,7.9334000000e-04
-8.2600000000e-01,8.1542000000e-04,8.1402000000e-04
-8.4000000000e-01,8.3602000000e-04,8.3396000000e-04
-8.5400000000e-01,8.5660000000e-04,8.5246000000e-04
-8.6800000000e-01,8.7722000000e-04,8.7400000000e-04
-8.8200000000e-01,8.9904000000e-04,8.9532000000e-04
-8.9600000000e-01,9.1960000000e-04,9.1536000000e-04
-9.1000000000e-01,9.4134000000e-04,9.4100000000e-04
-9.2400000000e-01,9.6412000000e-04,9.6184000000e-04
-9.3800000000e-01,9.8648000000e-04,9.8088000000e-04
-9.5200000000e-01,1.0108000000e-03,1.0012000000e-03
-9.6600000000e-01,1.0332000000e-03,1.0252000000e-03
-9.8000000000e-01,1.0616000000e-03,1.0478000000e-03
-9.9400000000e-01,1.0900000000e-03,1.0700000000e-03
-1.0080000000e+00,1.1224000000e-03,1.1036000000e-03
-1.0220000000e+00,1.1388000000e-03,1.1186000000e-03
-1.0360000000e+00,1.1612000000e-03,1.1638000000e-03
-1.0500000000e+00,1.1868000000e-03,1.1814000000e-03
-1.0640000000e+00,1.2156000000e-03,1.2038000000e-03
-1.0780000000e+00,1.2408000000e-03,1.2346000000e-03
-1.0920000000e+00,1.2710000000e-03,1.2610000000e-03
-1.1060000000e+00,1.2990000000e-03,1.2928000000e-03
-1.1200000000e+00,1.3232000000e-03,1.3172000000e-03
-1.1340000000e+00,1.3572000000e-03,1.3456000000e-03
-1.1480000000e+00,1.3840000000e-03,1.3768000000e-03
-1.1620000000e+00,1.4124000000e-03,1.4006000000e-03
-1.1760000000e+00,1.4514000000e-03,1.4156000000e-03
-1.1900000000e+00,1.4854000000e-03,1.4428000000e-03
-1.2040000000e+00,1.5006000000e-03,1.4714000000e-03
-1.2180000000e+00,1.5410000000e-03,1.4970000000e-03
-1.2320000000e+00,1.5656000000e-03,1.5278000000e-03
-1.2460000000e+00,1.6042000000e-03,1.5778000000e-03
-1.2600000000e+00,1.6252000000e-03,1.6132000000e-03
-1.2740000000e+00,1.6584000000e-03,1.6396000000e-03
-1.2880000000e+00,1.6826000000e-03,1.6640000000e-03
-1.3020000000e+00,1.7336000000e-03,1.6998000000e-03
-1.3160000000e+00,1.7788000000e-03,1.7334000000e-03
-1.3300000000e+00,1.8030000000e-03,1.7660000000e-03
-1.3440000000e+00,1.8084000000e-03,1.8246000000e-03
-1.3580000000e+00,1.8462000000e-03,1.8540000000e-03
