# Saved on 2025-06-18T18:22:17.794376
# Name: Rajnin
# Sample_ID: Batch3_F5_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,6.6130000000e-09,5.3776000000e-08,1.6596000000e-08,1.2450000000e-09,9.4290000000e-09
-1.2000000000e-02,8.2372000000e-07,3.4815000000e-06,1.5289000000e-06,1.2465000000e-06,1.1390000000e-06
-2.4000000000e-02,1.6542000000e-06,6.8159000000e-06,3.1168000000e-06,2.4920000000e-06,2.3599000000e-06
-3.6000000000e-02,2.4607000000e-06,1.0262000000e-05,4.6789000000e-06,3.7187000000e-06,3.5698000000e-06
-4.8000000000e-02,3.3112000000e-06,1.3912000000e-05,6.2469000000e-06,5.0781000000e-06,4.7268000000e-06
-6.0000000000e-02,4.2226000000e-06,1.7660000000e-05,7.9646000000e-06,6.3787000000e-06,5.9703000000e-06
-7.2000000000e-02,5.0209000000e-06,2.1062000000e-05,9.6608000000e-06,7.8244000000e-06,7.1475000000e-06
-8.4000000000e-02,5.9927000000e-06,2.5196000000e-05,1.1510000000e-05,9.1287000000e-06,8.5234000000e-06
-9.6000000000e-02,6.8144000000e-06,2.9260000000e-05,1.3298000000e-05,1.0632000000e-05,9.8387000000e-06
-1.0800000000e-01,7.8164000000e-06,3.3074000000e-05,1.5234000000e-05,1.2070000000e-05,1.1314000000e-05
-1.2000000000e-01,9.0819000000e-06,3.7538000000e-05,1.7274000000e-05,1.3604000000e-05,1.2738000000e-05
-1.3200000000e-01,1.0168000000e-05,4.1730000000e-05,1.9342000000e-05,1.5140000000e-05,1.4204000000e-05
-1.4400000000e-01,1.1242000000e-05,4.5934000000e-05,2.1334000000e-05,1.6548000000e-05,1.5722000000e-05
-1.5600000000e-01,1.2274000000e-05,5.0328000000e-05,2.3400000000e-05,1.8112000000e-05,1.7124000000e-05
