Time (s),Voltage (V),Current (A)
0.05752,0.0,7.758e-08
0.11098,-0.015,-7.1208e-05
0.15299,-0.03,-0.00014172
0.15887,-0.045,-0.00021224
0.16474,-0.06,-0.00028096
0.1706,-0.075,-0.00034872
0.17645,-0.09,-0.00042468
0.18233,-0.105,-0.0004972
0.18819,-0.12,-0.0005648
0.19404,-0.135,-0.00063896
0.19996,-0.15,-0.00070792
0.20581,-0.165,-0.00077758
0.21172,-0.18,-0.00085218
0.21761,-0.195,-0.00092634
0.22347,-0.21,-0.00100112
0.22933,-0.225,-0.00106662
0.2352,-0.24,-0.00113768
0.26809,-0.255,-0.0012106
0.27403,-0.27,-0.0012822
0.27989,-0.285,-0.0013564
0.28575,-0.3,-0.0014264
0.29162,-0.315,-0.0015008
0.29747,-0.33,-0.0015748
0.30333,-0.345,-0.0016446
0.30923,-0.36,-0.001715
0.31509,-0.375,-0.0017828
0.32103,-0.39,-0.0018626
0.32689,-0.405,-0.0019352
0.33277,-0.42,-0.002007
0.33861,-0.435,-0.0020782
0.34445,-0.45,-0.0021516
0.3503,-0.465,-0.002225
0.35615,-0.48,-0.0022956
0.36202,-0.495,-0.0023728
0.3679,-0.51,-0.0024454
0.37375,-0.525,-0.0025144
0.37961,-0.54,-0.0025878
0.38547,-0.555,-0.0026598
0.39134,-0.57,-0.0027334
0.39721,-0.585,-0.0028078
0.40306,-0.6,-0.0028786
0.40892,-0.615,-0.0029512
0.41478,-0.63,-0.0030206
0.42062,-0.645,-0.0030912
0.42648,-0.66,-0.0031696
0.43235,-0.675,-0.0032428
0.43821,-0.69,-0.0033122
0.44407,-0.705,-0.0033878
0.44992,-0.72,-0.0034578
0.45577,-0.735,-0.0035288
0.46165,-0.75,-0.0036038
0.46751,-0.765,-0.003678
0.47337,-0.78,-0.0037546
0.47924,-0.795,-0.0038218
0.48509,-0.81,-0.0038922
0.49097,-0.825,-0.0039664
0.49684,-0.84,-0.0040392
0.50271,-0.855,-0.0041106
0.50862,-0.87,-0.0041824
0.51448,-0.885,-0.0042566
0.52034,-0.9,-0.0043244
0.52621,-0.915,-0.004396
0.53208,-0.93,-0.004473
0.53794,-0.945,-0.004544
0.5438,-0.96,-0.0046174
0.54966,-0.975,-0.0046878
0.55553,-0.99,-0.004758
0.56141,-1.005,-0.0048324
0.56727,-1.02,-0.004904
0.57313,-1.035,-0.0049806
0.57898,-1.05,-0.005054
0.58484,-1.065,-0.0051196
0.59071,-1.08,-0.005193
0.59655,-1.095,-0.0052682
0.60241,-1.11,-0.0053378
0.60828,-1.125,-0.0054132
0.61415,-1.14,-0.0054866
0.62001,-1.155,-0.0055548
0.62586,-1.17,-0.0056254
0.63173,-1.185,-0.0056934
0.63759,-1.2,-0.0057724
0.64343,-1.215,-0.005845
0.64929,-1.23,-0.0059148
0.65515,-1.245,-0.0059874
0.66102,-1.26,-0.006061
0.66687,-1.275,-0.0061332
0.67275,-1.29,-0.0062044
0.67861,-1.305,-0.0062798
0.68446,-1.32,-0.0063544
0.69031,-1.335,-0.0064266
0.69617,-1.35,-0.0064962
0.70205,-1.365,-0.0065688
0.70793,-1.38,-0.006644
0.71385,-1.395,-0.0067186
0.71974,-1.41,-0.0067892
0.7256,-1.425,-0.0068616
0.73144,-1.44,-0.0069322
0.7373,-1.455,-0.007005
0.74315,-1.47,-0.0070858
0.749,-1.485,-0.0071582
0.75484,-1.5,-0.0072296
0.75828,-1.5,-0.0072318
0.76414,-1.485,-0.0071572
0.77,-1.47,-0.0070806
0.77592,-1.455,-0.0070054
0.78178,-1.44,-0.0069296
0.78766,-1.425,-0.0068624
0.79351,-1.41,-0.0067894
0.79936,-1.395,-0.006716
0.80522,-1.38,-0.0066422
0.8111,-1.365,-0.006571
0.81695,-1.35,-0.0064964
0.82283,-1.335,-0.0064238
0.82869,-1.32,-0.0063546
0.83454,-1.305,-0.0062828
0.8404,-1.29,-0.0062064
0.84627,-1.275,-0.006136
0.85214,-1.26,-0.006061
0.85801,-1.245,-0.005991
0.86388,-1.23,-0.0059196
0.86976,-1.215,-0.0058454
0.87562,-1.2,-0.0057738
0.88148,-1.185,-0.0056978
0.88733,-1.17,-0.0056256
0.89319,-1.155,-0.00556
0.89904,-1.14,-0.0054866
0.90489,-1.125,-0.0054124
0.91075,-1.11,-0.0053428
0.91662,-1.095,-0.0052694
0.92247,-1.08,-0.0051962
0.92833,-1.065,-0.0051266
0.93419,-1.05,-0.005056
0.94005,-1.035,-0.004989
0.94592,-1.02,-0.0049104
0.95178,-1.005,-0.0048374
0.95764,-0.99,-0.0047668
