Time (s),Voltage (V),Current (A)
0.05053,0.0,1.9741e-06
0.10081,-0.01,-4.5866e-05
0.10647,-0.02,-9.3936e-05
0.14828,-0.03,-0.00014164
0.15416,-0.04,-0.00018716
0.16009,-0.05,-0.00023654
0.16593,-0.06,-0.00028482
0.1718,-0.07,-0.00032986
0.17766,-0.08,-0.0003771
0.18353,-0.09,-0.00041916
0.18935,-0.1,-0.00046796
0.19522,-0.11,-0.00052104
0.20108,-0.12,-0.0005666
0.20693,-0.13,-0.00061258
0.2128,-0.14,-0.00066176
0.21866,-0.15,-0.00070836
0.22454,-0.16,-0.00075386
0.23039,-0.17,-0.0008051
0.23625,-0.18,-0.0008544
0.24211,-0.19,-0.00090542
0.24795,-0.2,-0.00094698
0.25383,-0.21,-0.00099398
0.2597,-0.22,-0.0010434
0.26556,-0.23,-0.0010924
0.27143,-0.24,-0.00113878
0.30433,-0.25,-0.0011862
0.31026,-0.26,-0.0012364
0.31618,-0.27,-0.0012862
0.32204,-0.28,-0.001331
0.32788,-0.29,-0.0013774
0.33379,-0.3,-0.0014214
0.33965,-0.31,-0.0014764
0.34551,-0.32,-0.0015252
0.35136,-0.33,-0.0015722
0.35728,-0.34,-0.001619
0.36314,-0.35,-0.0016688
0.369,-0.36,-0.0017174
0.37485,-0.37,-0.001765
0.3807,-0.38,-0.0018176
0.38656,-0.39,-0.0018652
0.39242,-0.4,-0.0019096
0.39829,-0.41,-0.00196
0.40413,-0.42,-0.0020064
0.41,-0.43,-0.0020568
0.41591,-0.44,-0.0021066
0.42176,-0.45,-0.0021532
0.42763,-0.46,-0.002202
0.4335,-0.47,-0.0022452
0.43942,-0.48,-0.002295
0.44528,-0.49,-0.0023482
0.45115,-0.5,-0.0023952
0.45699,-0.51,-0.0024428
0.46287,-0.52,-0.0024924
0.4688,-0.53,-0.0025404
0.47465,-0.54,-0.0025862
0.48051,-0.55,-0.002639
0.48635,-0.56,-0.0026896
0.49228,-0.57,-0.002736
0.49814,-0.58,-0.0027818
0.50411,-0.59,-0.0028306
0.50997,-0.6,-0.0028798
0.51583,-0.61,-0.00293
0.52168,-0.62,-0.0029758
0.52754,-0.63,-0.0030254
0.53341,-0.64,-0.0030706
0.53926,-0.65,-0.0031164
0.54513,-0.66,-0.003171
0.55098,-0.67,-0.0032196
0.55684,-0.68,-0.0032654
0.56272,-0.69,-0.0033154
0.56858,-0.7,-0.0033624
0.57446,-0.71,-0.003409
0.58031,-0.72,-0.0034604
0.58617,-0.73,-0.0035102
