# Saved on 2025-06-26T16:42:13.995043
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE11
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.9072412619e-04
1.1440000000e-03,3.8067028072e-04
2.1440000000e-03,3.8172674977e-04
3.1440000000e-03,3.7636822526e-04
4.1440000000e-03,3.8079298974e-04
5.1440000000e-03,3.8553185732e-04
6.1440000000e-03,3.8097365177e-04
7.1440000000e-03,3.7890258682e-04
8.1440000000e-03,3.8015215978e-04
9.1440000000e-03,3.8990572648e-04
1.0144000000e-02,3.8982627302e-04
1.1144000000e-02,3.9537873818e-04
1.2144000000e-02,3.8168731407e-04
1.3144000000e-02,3.8950875023e-04
1.4144000000e-02,3.8725193008e-04
1.5144000000e-02,3.9097732952e-04
1.6144000000e-02,3.8945530832e-04
1.7144000000e-02,3.8674057578e-04
1.8144000000e-02,3.8319984014e-04
1.9144000000e-02,3.7602570956e-04
2.0144000000e-02,3.8011032302e-04
2.1144000000e-02,3.8257665437e-04
2.2144000000e-02,3.8305886847e-04
2.3144000000e-02,3.7373974919e-04
2.4144000000e-02,3.7957976019e-04
2.5144000000e-02,3.8120408135e-04
2.6144000000e-02,3.8926955312e-04
2.7144000000e-02,3.8910558942e-04
2.8144000000e-02,3.9585091145e-04
2.9144000000e-02,3.8862039219e-04
3.0144000000e-02,3.8522070099e-04
3.1144000000e-02,3.8968475565e-04
3.2144000000e-02,3.9117494453e-04
3.3144000000e-02,3.8950227463e-04
3.4144000000e-02,3.8034075260e-04
3.5144000000e-02,3.7987592805e-04
3.6144000000e-02,3.7475831050e-04
3.7144000000e-02,3.8763166231e-04
3.8144000000e-02,3.8044196117e-04
3.9144000000e-02,3.8311471144e-04
4.0144000000e-02,3.7872192479e-04
4.1144000000e-02,3.8006055547e-04
4.2144000000e-02,3.8265116018e-04
4.3144000000e-02,3.8743288314e-04
4.4144000000e-02,3.9309503336e-04
4.5144000000e-02,3.9060210838e-04
4.6144000000e-02,3.8655442040e-04
4.7144000000e-02,3.8802663767e-04
4.8144000000e-02,3.9739512431e-04
4.9144000000e-02,3.9001628465e-04
5.0144000000e-02,3.8968180888e-04
