# Saved on 2025-06-25T09:55:59.521041
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S)
1.4400000000e-04,2.0232500901e-04,3.1648542063e-04,4.1747876821e-04,4.9110727559e-04
1.1440000000e-03,2.0232911993e-04,3.0685343518e-04,4.1101488023e-04,4.9040692829e-04
2.1440000000e-03,1.9421035176e-04,3.0817809602e-04,4.1207149479e-04,4.9730526371e-04
3.1440000000e-03,1.9813705876e-04,3.0283810702e-04,4.0123966755e-04,4.9726990255e-04
4.1440000000e-03,1.9597777282e-04,3.1101466448e-04,4.0097998863e-04,4.9960592150e-04
5.1440000000e-03,2.0431112716e-04,3.0850253097e-04,3.9713329897e-04,4.9877409765e-04
6.1440000000e-03,2.0844352548e-04,3.1225506973e-04,4.0156639443e-04,4.9440815928e-04
7.1440000000e-03,2.1283914975e-04,3.0744224205e-04,4.0737049858e-04,4.9719470553e-04
8.1440000000e-03,2.0413852326e-04,3.0914306990e-04,4.0550028643e-04,4.9618545745e-04
9.1440000000e-03,2.0340523406e-04,3.1113002478e-04,4.0188035200e-04,4.9743022828e-04
1.0144000000e-02,2.1246283723e-04,3.1608975405e-04,4.0453982365e-04,4.8953384976e-04
1.1144000000e-02,2.0832081645e-04,3.1863059121e-04,4.1205465095e-04,4.9145266530e-04
1.2144000000e-02,2.0553370632e-04,3.1002891774e-04,4.1127965233e-04,4.8583700845e-04
1.3144000000e-02,1.9628369046e-04,3.1716132071e-04,4.1633251385e-04,5.0062644732e-04
1.4144000000e-02,1.9742497898e-04,3.1429262890e-04,4.0291040932e-04,4.9098063755e-04
1.5144000000e-02,1.9066972527e-04,3.2243726309e-04,4.1109360609e-04,4.9343736464e-04
1.6144000000e-02,2.0088191377e-04,3.1538824260e-04,4.0759470721e-04,4.9171292630e-04
1.7144000000e-02,2.0003213649e-04,3.1411083910e-04,4.1234572564e-04,4.8717211030e-04
1.8144000000e-02,1.9921459170e-04,3.0967152270e-04,4.1123272240e-04,4.9132315326e-04
1.9144000000e-02,1.9633967895e-04,3.0605257052e-04,4.1038718336e-04,4.9330799811e-04
2.0144000000e-02,1.9720429918e-04,3.0406350561e-04,4.0750463086e-04,5.0083130191e-04
2.1144000000e-02,2.0102892449e-04,3.0685583624e-04,4.0124064981e-04,5.0006423407e-04
2.2144000000e-02,2.0828108973e-04,3.1084109651e-04,4.0376708057e-04,4.9650974688e-04
2.3144000000e-02,2.0965748263e-04,3.0448321922e-04,4.0554412408e-04,4.9602018407e-04
2.4144000000e-02,2.0178442355e-04,3.0418423194e-04,4.0601433284e-04,5.0171882322e-04
2.5144000000e-02,2.0559533368e-04,3.0723655073e-04,3.9762016968e-04,4.9487622164e-04
2.6144000000e-02,2.0247049179e-04,3.1745341403e-04,4.0492293920e-04,4.9447811762e-04
