# Saved on 2025-06-25T11:12:38.684325
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.00013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,2.2117110348e-04
1.1440000000e-03,2.2045138394e-04
2.1440000000e-03,2.0895882699e-04
3.1440000000e-03,2.1061454390e-04
4.1440000000e-03,2.0467388822e-04
5.1440000000e-03,2.1640946215e-04
6.1440000000e-03,2.1241123250e-04
7.1440000000e-03,2.1363521228e-04
8.1440000000e-03,2.1064466637e-04
9.1440000000e-03,2.1185916921e-04
1.0144000000e-02,2.1439975171e-04
1.1144000000e-02,2.2063701181e-04
1.2144000000e-02,2.2520751372e-04
1.3144000000e-02,2.1736215785e-04
1.4144000000e-02,2.1782741896e-04
1.5144000000e-02,2.1785201170e-04
1.6144000000e-02,2.2658276066e-04
1.7144000000e-02,2.1947578716e-04
1.8144000000e-02,2.2168456780e-04
1.9144000000e-02,2.1321591703e-04
2.0144000000e-02,2.1004581868e-04
2.1144000000e-02,2.0375879103e-04
2.2144000000e-02,2.1125708372e-04
2.3144000000e-02,2.1527383069e-04
2.4144000000e-02,2.1019835913e-04
2.5144000000e-02,2.0961888367e-04
2.6144000000e-02,2.1136225769e-04
2.7144000000e-02,2.2158079446e-04
2.8144000000e-02,2.1937272322e-04
2.9144000000e-02,2.2678972528e-04
3.0144000000e-02,2.1385674700e-04
3.1144000000e-02,2.1972700779e-04
3.2144000000e-02,2.1791393010e-04
3.3144000000e-02,2.2086658646e-04
3.4144000000e-02,2.2028512831e-04
3.5144000000e-02,2.1671241484e-04
3.6144000000e-02,2.1214431399e-04
3.7144000000e-02,2.0788949769e-04
3.8144000000e-02,2.1280409783e-04
3.9144000000e-02,2.1290885343e-04
4.0144000000e-02,2.1404433937e-04
4.1144000000e-02,2.0511142793e-04
4.2144000000e-02,2.1294630642e-04
4.3144000000e-02,2.1084653781e-04
4.4144000000e-02,2.1896728867e-04
4.5144000000e-02,2.2251115297e-04
4.6144000000e-02,2.2802403691e-04
4.7144000000e-02,2.2133635866e-04
4.8144000000e-02,2.1774923880e-04
4.9144000000e-02,2.2048192477e-04
5.0144000000e-02,2.2223590349e-04
5.1144000000e-02,2.2100683054e-04
5.2144000000e-02,2.1016767278e-04
5.3144000000e-02,2.1204692530e-04
5.4144000000e-02,2.0500172468e-04
5.5144000000e-02,2.1731028028e-04
5.6144000000e-02,2.1141400794e-04
5.7144000000e-02,2.1516059860e-04
5.8144000000e-02,2.1064366592e-04
5.9144000000e-02,2.1185620426e-04
6.0144000000e-02,2.1437486794e-04
6.1144000000e-02,2.1928013666e-04
6.2144000000e-02,2.2406495191e-04
6.3144000000e-02,2.1731621018e-04
6.4144000000e-02,2.1846795789e-04
6.5144000000e-02,2.1737007046e-04
