# Saved on 2025-06-25T11:40:04.665062
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0003
#   max_gtarget: 0.0013
#   num_level: 11
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S)
1.4400000000e-04,3.0350000088e-04,4.0570273995e-04,4.9791866331e-04,5.9467311075e-04,6.9750043622e-04,7.8388358816e-04
1.1440000000e-03,2.9370034099e-04,4.0334340156e-04,4.9181246141e-04,5.9397276345e-04,7.0288238931e-04,7.8393597505e-04
2.1440000000e-03,2.9449060094e-04,4.0945782530e-04,4.9442820455e-04,5.8941273892e-04,7.0564397902e-04,7.8990422480e-04
3.1440000000e-03,2.8897404263e-04,4.0427163185e-04,4.9594949814e-04,5.8708264987e-04,7.0623755164e-04,7.8349126852e-04
4.1440000000e-03,2.9668353818e-04,3.9805247070e-04,5.0479393394e-04,5.9907382820e-04,7.0691472501e-04,7.8486649727e-04
5.1440000000e-03,2.9917759093e-04,3.9788665163e-04,5.0164984714e-04,5.9498044720e-04,6.9993657235e-04,7.8614648373e-04
6.1440000000e-03,2.9709379305e-04,3.9217840822e-04,5.0793332775e-04,5.9253052314e-04,7.0791480539e-04,7.9673103755e-04
7.1440000000e-03,2.9478154829e-04,3.9192491386e-04,4.9811955250e-04,5.8486144553e-04,7.0597874583e-04,7.9129502410e-04
8.1440000000e-03,2.9474549592e-04,3.9543996536e-04,5.0115322665e-04,5.9205012803e-04,7.0339046943e-04,7.9461271525e-04
9.1440000000e-03,3.0194887586e-04,3.9543021558e-04,4.9867441703e-04,5.9164452978e-04,6.9559304393e-04,7.8554694483e-04
1.0144000000e-02,3.0484485251e-04,3.8898455387e-04,5.0067988923e-04,5.9618450905e-04,7.0010813943e-04,7.9074525274e-04
1.1144000000e-02,3.0951079680e-04,3.9276055759e-04,5.0063761591e-04,6.0035890783e-04,6.9484674896e-04,7.8973767813e-04
1.2144000000e-02,2.9586444725e-04,3.9139027649e-04,4.9698024668e-04,5.9865764342e-04,7.0618523750e-04,7.8807337559e-04
1.3144000000e-02,3.0184695788e-04,4.0181195800e-04,4.9535745347e-04,5.9618905652e-04,7.0134512498e-04,7.9012519564e-04
1.4144000000e-02,2.9891973099e-04,3.9962436858e-04,4.9052963732e-04,5.9286754549e-04,7.0258909545e-04,7.8754928836e-04
1.5144000000e-02,3.0803472328e-04,4.0528342652e-04,5.0079906941e-04,6.0284983192e-04,7.0336805948e-04,7.8764074715e-04
1.6144000000e-02,3.0419836548e-04,3.9849539462e-04,4.9716629292e-04,5.9804311604e-04,7.0011497883e-04,7.8277902503e-04
1.7144000000e-02,3.0412074921e-04,3.9731523430e-04,4.9792288337e-04,5.9721609432e-04,7.0388952736e-04,7.9464931332e-04
1.8144000000e-02,3.0012604839e-04,3.9713992010e-04,4.9036254495e-04,5.8606026869e-04,7.0479080023e-04,7.8863107774e-04
1.9144000000e-02,2.9160692065e-04,4.0222235839e-04,4.9599744671e-04,5.9140209487e-04,7.0834961662e-04,7.8721030150e-04
2.0144000000e-02,2.9315522625e-04,3.9936934627e-04,4.9677622883e-04,5.8669218561e-04,6.9666479249e-04,7.8102122643e-04
2.1144000000e-02,2.9750093745e-04,3.9782487875e-04,4.9786933232e-04,5.9360791056e-04,7.0331952884e-04,7.8965938883e-04
2.2144000000e-02,2.9841363357e-04,3.9165559429e-04,5.0256621762e-04,5.9230984334e-04,7.0406968007e-04,7.8792181739e-04
2.3144000000e-02,2.8985279641e-04,3.8772821426e-04,5.0386923249e-04,5.9561338276e-04,7.0981732279e-04,7.9084071331e-04
2.4144000000e-02,2.9561337215e-04,3.9975344407e-04,5.0080190704e-04,5.9550056903e-04,7.0284651883e-04,7.9476114479e-04
2.5144000000e-02,2.9504491977e-04,3.9333779569e-04,4.9664391554e-04,5.9373483964e-04,7.0532667451e-04,7.9365679994e-04
2.6144000000e-02,3.0539635191e-04,3.9890990593e-04,5.0405680668e-04,5.9668567701e-04,7.0048772614e-04,7.9412442574e-04
2.7144000000e-02,3.0493505619e-04,3.8863367081e-04,5.0160051615e-04,5.9699599660e-04,6.9848058047e-04,7.8764387581e-04
2.8144000000e-02,3.1089890399e-04,3.9377984649e-04,5.0021506468e-04,5.9941936343e-04,6.9748472015e-04,7.9458448454e-04
2.9144000000e-02,3.0376986615e-04,3.9325266698e-04,4.9036028940e-04,5.8811903727e-04,6.9777721365e-04,7.9231474956e-04
3.0144000000e-02,3.0388551750e-04,4.0011000237e-04,4.9404865422e-04,5.9545236581e-04,7.0406073064e-04,7.9165169154e-04
3.1144000000e-02,3.0511402656e-04,4.0449303924e-04,4.8791203881e-04,5.9455480368e-04,6.9742352935e-04,7.8035074694e-04
3.2144000000e-02,3.0659924960e-04,4.0552844439e-04,4.9815105740e-04,6.0148067860e-04,6.9997600804e-04,7.8685305198e-04
3.3144000000e-02,3.0342804166e-04,4.0256672946e-04,4.9524336646e-04,5.9742629674e-04,6.9954890932e-04,7.8278157162e-04
3.4144000000e-02,2.9930835808e-04,3.9699403715e-04,4.9933831178e-04,5.9640122345e-04,7.1086164098e-04,7.9245270172e-04
3.5144000000e-02,2.9523011108e-04,4.0389561036e-04,4.9465059419e-04,5.9507307014e-04,7.0388246968e-04,7.8709861555e-04
3.6144000000e-02,2.9094306228e-04,3.9957234549e-04,4.9327747547e-04,5.8875226387e-04,7.1081442002e-04,7.8942983237e-04
3.7144000000e-02,3.0370527384e-04,3.9931364881e-04,4.9769558245e-04,5.8872919908e-04,6.9898596848e-04,7.9083642049e-04
