# Saved on 2025-06-25T11:06:38.336546
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0008
#   num_level: 1
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,7.9349549196e-04
1.1440000000e-03,7.8379649494e-04
2.1440000000e-03,7.8758828749e-04
3.1440000000e-03,7.8782511991e-04
4.1440000000e-03,7.8503187979e-04
5.1440000000e-03,7.8716911958e-04
6.1440000000e-03,7.8367775131e-04
7.1440000000e-03,7.8402015788e-04
8.1440000000e-03,7.8161028796e-04
9.1440000000e-03,7.9304467363e-04
1.0144000000e-02,7.8729754023e-04
1.1144000000e-02,7.8523407865e-04
1.2144000000e-02,7.7828262874e-04
1.3144000000e-02,7.8734738054e-04
1.4144000000e-02,7.8495613707e-04
1.5144000000e-02,7.8596887761e-04
1.6144000000e-02,7.9060475400e-04
1.7144000000e-02,7.9052086221e-04
1.8144000000e-02,7.9072604422e-04
1.9144000000e-02,7.8810866398e-04
2.0144000000e-02,7.9394390923e-04
2.1144000000e-02,7.9028846812e-04
2.2144000000e-02,7.8891156591e-04
2.3144000000e-02,7.7809389040e-04
2.4144000000e-02,7.8377357568e-04
2.5144000000e-02,7.7955679444e-04
2.6144000000e-02,7.9010867921e-04
2.7144000000e-02,7.8720448073e-04
2.8144000000e-02,7.8760938777e-04
2.9144000000e-02,7.8898010543e-04
3.0144000000e-02,7.8543016571e-04
3.1144000000e-02,7.9021541751e-04
3.2144000000e-02,7.9011602793e-04
3.3144000000e-02,7.9265264503e-04
3.4144000000e-02,7.8037759522e-04
3.5144000000e-02,7.8804208897e-04
3.6144000000e-02,7.8796816524e-04
3.7144000000e-02,7.9551762610e-04
3.8144000000e-02,7.8715544078e-04
3.9144000000e-02,7.8894860053e-04
4.0144000000e-02,7.8748329543e-04
4.1144000000e-02,7.8256191046e-04
4.2144000000e-02,7.8329234384e-04
4.3144000000e-02,7.8381104686e-04
4.4144000000e-02,7.8925862908e-04
4.5144000000e-02,7.8128839959e-04
4.6144000000e-02,7.8499331721e-04
4.7144000000e-02,7.8499528172e-04
4.8144000000e-02,7.9584220657e-04
4.9144000000e-02,7.8884229879e-04
5.0144000000e-02,7.9440847912e-04
5.1144000000e-02,7.8310447861e-04
5.2144000000e-02,7.8707176726e-04
5.3144000000e-02,7.8689401562e-04
5.4144000000e-02,7.8508084698e-04
5.5144000000e-02,7.8863769886e-04
5.6144000000e-02,7.8452059824e-04
5.7144000000e-02,7.8563753050e-04
5.8144000000e-02,7.8151701018e-04
5.9144000000e-02,7.9339210060e-04
6.0144000000e-02,7.8616219980e-04
6.1144000000e-02,7.8630990174e-04
6.2144000000e-02,7.7970071288e-04
6.3144000000e-02,7.8830293205e-04
6.4144000000e-02,7.8603254224e-04
6.5144000000e-02,7.8725068306e-04
