# Saved on 2025-06-25T12:20:03.132380
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0009
#   max_gtarget: 0.0013
#   num_level: 5
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S)
1.4400000000e-04,8.8907967438e-04,9.9042532383e-04,1.0976787598e-03,1.2009019702e-03,1.3247637253e-03
1.1440000000e-03,8.9372610091e-04,9.8244505352e-04,1.0798880248e-03,1.1891531904e-03,1.3082833902e-03
2.1440000000e-03,8.9182321972e-04,9.8633689049e-04,1.0952592129e-03,1.1873019685e-03,1.3075671450e-03
3.1440000000e-03,8.8617693109e-04,9.8351607448e-04,1.0930486314e-03,1.1813059973e-03,1.3045317610e-03
4.1440000000e-03,8.8960739959e-04,9.8018848803e-04,1.0911221761e-03,1.1927251762e-03,1.3129498984e-03
5.1440000000e-03,8.8690881967e-04,9.9123833934e-04,1.0916357860e-03,1.1887032451e-03,1.3093209418e-03
6.1440000000e-03,8.8845888968e-04,9.8493801488e-04,1.0910229321e-03,1.1863802501e-03,1.3022465282e-03
7.1440000000e-03,8.8243992650e-04,9.8510485259e-04,1.0974801262e-03,1.1914082279e-03,1.3115770707e-03
8.1440000000e-03,8.8349341240e-04,9.8729418823e-04,1.0871444101e-03,1.1876914505e-03,1.3059774938e-03
9.1440000000e-03,8.8298140327e-04,9.9672237411e-04,1.0968963034e-03,1.1930557230e-03,1.3100547949e-03
1.0144000000e-02,8.9911554824e-04,9.9162301922e-04,1.0954582831e-03,1.1850253213e-03,1.3076714822e-03
1.1144000000e-02,8.8686581876e-04,9.9374032288e-04,1.0944355745e-03,1.1939756223e-03,1.3154088811e-03
1.2144000000e-02,8.8705441158e-04,9.7607815405e-04,1.0823716002e-03,1.1892944167e-03,1.3090223365e-03
1.3144000000e-02,8.8382366812e-04,9.8936514405e-04,1.0939935601e-03,1.1888134759e-03,1.3086809486e-03
1.4144000000e-02,8.8751869043e-04,9.8655342299e-04,1.0905397357e-03,1.1752051796e-03,1.2961110042e-03
1.5144000000e-02,8.8767781563e-04,9.8505843198e-04,1.1015781638e-03,1.1864530097e-03,1.3075329480e-03
1.6144000000e-02,8.8512992079e-04,9.8784046713e-04,1.0948382260e-03,1.1824783724e-03,1.3037455210e-03
1.7144000000e-02,8.9407869382e-04,9.8672702734e-04,1.0963610839e-03,1.1934433860e-03,1.3092427980e-03
1.8144000000e-02,8.8842542027e-04,9.9112396128e-04,1.1020783859e-03,1.1884686683e-03,1.3097951887e-03
1.9144000000e-02,8.8779888756e-04,9.8148273537e-04,1.0907270189e-03,1.1906018335e-03,1.3088450942e-03
2.0144000000e-02,8.8701541245e-04,9.9186800071e-04,1.0964566172e-03,1.1958882533e-03,1.3161887182e-03
2.1144000000e-02,8.9632056188e-04,9.8885167972e-04,1.0931074212e-03,1.1880999955e-03,1.3087187835e-03
2.2144000000e-02,8.8961336587e-04,9.8657183116e-04,1.0932253645e-03,1.1937594536e-03,1.3140446390e-03
