# Saved on 2025-06-25T13:30:54.389824
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -5
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 11
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S),Conductance_Target_7 (S),Conductance_Target_8 (S),Conductance_Target_9 (S),Conductance_Target_10 (S),Conductance_Target_11 (S)
1.4400000000e-04,3.9058119000e-04,4.9946695071e-04,5.8155012084e-04,6.6824890382e-04,7.6097261626e-04,8.4071689344e-04,9.5159281045e-04,1.0228408064e-03,1.1031683243e-03,1.2181458442e-03,1.3039182522e-03
1.1440000000e-03,3.8789698010e-04,4.9222609960e-04,5.8109180827e-04,6.6000691731e-04,7.6270072896e-04,8.3940576587e-04,9.3612834462e-04,1.0339239816e-03,1.1075732618e-03,1.2148704263e-03,1.2979812163e-03
2.1440000000e-03,3.8920552470e-04,4.9008744099e-04,5.8381589042e-04,6.4785330324e-04,7.4884308560e-04,8.3430713858e-04,9.4601433375e-04,1.0361160821e-03,1.1010331946e-03,1.2155930017e-03,1.2976572907e-03
3.1440000000e-03,3.9445389120e-04,4.8566311307e-04,5.8329605963e-04,6.4482992457e-04,7.6129326771e-04,8.4168270405e-04,9.4661008916e-04,1.0414548888e-03,1.1160275608e-03,1.2026011973e-03,1.2867629994e-03
4.1440000000e-03,3.9212158299e-04,4.8995978432e-04,5.8501780586e-04,6.6000007791e-04,7.6187992818e-04,8.3614773757e-04,9.5422270533e-04,1.0276720423e-03,1.1081633420e-03,1.2139515457e-03,1.2943570619e-03
5.1440000000e-03,3.9035840018e-04,4.9328791647e-04,5.7888599258e-04,6.5132997406e-04,7.6692253060e-04,8.3610873844e-04,9.4634713605e-04,1.0235956142e-03,1.1053070193e-03,1.2094680278e-03,1.2929362128e-03
6.1440000000e-03,3.9324193494e-04,4.8872647312e-04,5.7802193624e-04,6.5342268499e-04,7.5934578490e-04,8.2548169303e-04,9.4674920547e-04,1.0216089140e-03,1.0975303303e-03,1.2258627976e-03,1.3150548330e-03
7.1440000000e-03,3.9857852244e-04,4.8993842938e-04,5.7387653214e-04,6.5074375016e-04,7.6019270637e-04,8.3408740466e-04,9.5419927675e-04,1.0369656957e-03,1.1095270020e-03,1.2217837502e-03,1.2967074872e-03
8.1440000000e-03,4.0015904233e-04,4.9129870604e-04,5.8523339248e-04,6.5125605033e-04,7.5655880210e-04,8.2951934019e-04,9.4129070931e-04,1.0281519644e-03,1.1062368867e-03,1.2173848518e-03,1.2985992362e-03
9.1440000000e-03,4.0275390347e-04,5.0181031838e-04,5.7887922594e-04,6.5223997808e-04,7.5431496953e-04,8.3792001533e-04,9.4569651992e-04,1.0268345068e-03,1.1089850159e-03,1.2129662355e-03,1.3022669009e-03
1.0144000000e-02,3.9082660805e-04,4.9792924983e-04,5.7887991716e-04,6.5191750764e-04,7.6651100244e-04,8.3374208771e-04,9.4329763670e-04,1.0234591900e-03,1.1105916928e-03,1.2228418200e-03,1.2929612421e-03
1.1144000000e-02,3.9821166865e-04,5.0332932005e-04,5.7464334532e-04,6.5959029598e-04,7.6409058238e-04,8.3533603174e-04,9.4696239103e-04,1.0336713603e-03,1.1157918925e-03,1.2173687719e-03,1.3009730901e-03
1.2144000000e-02,3.9651000407e-04,4.8949157645e-04,5.8013516536e-04,6.5195090428e-04,7.7164171671e-04,8.3624436229e-04,9.3951159215e-04,1.0284201562e-03,1.1240843742e-03,1.2148269161e-03,1.2965289352e-03
1.3144000000e-02,3.9964063035e-04,4.9625868996e-04,5.7931520132e-04,6.5292057116e-04,7.6667805843e-04,8.3355334937e-04,9.4640003226e-04,1.0293810192e-03,1.1050607282e-03,1.2186765525e-03,1.3062638754e-03
1.4144000000e-02,3.9690610720e-04,4.9566308007e-04,5.7978737459e-04,6.5209766035e-04,7.6774093031e-04,8.4095874627e-04,9.4659117167e-04,1.0304623720e-03,1.1200160225e-03,1.1991977226e-03,1.2931466335e-03
1.5144000000e-02,3.9711208956e-04,4.9622929509e-04,5.8555531723e-04,6.6196051193e-04,7.6777061622e-04,8.3531653218e-04,9.5474781119e-04,1.0298178677e-03,1.1082186393e-03,1.2062738824e-03,1.2946565403e-03
1.6144000000e-02,3.9323556848e-04,4.9608057452e-04,5.8583125792e-04,6.5394378908e-04,7.7873184637e-04,8.4401421191e-04,9.4733033620e-04,1.0343998292e-03,1.1072707275e-03,1.1903394625e-03,1.2988345406e-03
