# Saved on 2025-07-12T17:14:37.061614
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE11
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,6.2237000000e-10
1.0000000000e+00,6.5359000000e-10
1.0000000000e+00,6.1964000000e-10
1.0000000000e+00,6.0962000000e-10
1.0000000000e+00,6.4626000000e-10
1.0000000000e+00,6.4371000000e-10
1.0000000000e+00,6.0807000000e-10
1.0000000000e+00,6.2911000000e-10
1.0000000000e+00,6.5505000000e-10
1.0000000000e+00,6.2364000000e-10
1.0000000000e+00,6.1231000000e-10
1.0000000000e+00,6.4472000000e-10
1.0000000000e+00,6.5303000000e-10
1.0000000000e+00,6.1397000000e-10
1.0000000000e+00,6.2239000000e-10
1.0000000000e+00,6.5752000000e-10
1.0000000000e+00,6.2975000000e-10
1.0000000000e+00,6.1082000000e-10
1.1000000000e+00,1.0212000000e-09
1.1000000000e+00,1.0562000000e-09
1.1000000000e+00,1.0689000000e-09
1.1000000000e+00,1.0514000000e-09
1.1000000000e+00,1.0142000000e-09
1.1000000000e+00,1.0472000000e-09
1.1000000000e+00,1.0329000000e-09
1.1000000000e+00,1.0642000000e-09
1.1000000000e+00,1.0729000000e-09
1.1000000000e+00,1.0686000000e-09
1.1000000000e+00,1.0299000000e-09
1.1000000000e+00,1.0492000000e-09
1.1000000000e+00,1.0765000000e-09
1.1000000000e+00,1.0453000000e-09
1.1000000000e+00,1.0911000000e-09
1.1000000000e+00,1.0541000000e-09
1.1000000000e+00,1.0389000000e-09
1.2000000000e+00,1.6958000000e-09
1.2000000000e+00,1.7438000000e-09
1.2000000000e+00,1.6842000000e-09
1.2000000000e+00,1.7271000000e-09
1.2000000000e+00,1.6523000000e-09
1.2000000000e+00,1.6677000000e-09
1.2000000000e+00,1.6878000000e-09
1.2000000000e+00,1.7240000000e-09
1.2000000000e+00,1.7093000000e-09
1.2000000000e+00,1.6812000000e-09
1.2000000000e+00,1.7062000000e-09
1.2000000000e+00,1.7250000000e-09
1.2000000000e+00,1.6954000000e-09
1.2000000000e+00,1.6595000000e-09
1.2000000000e+00,1.6936000000e-09
1.2000000000e+00,1.7168000000e-09
1.2000000000e+00,1.7037000000e-09
1.2000000000e+00,1.6853000000e-09
1.2000000000e+00,1.6820000000e-09
1.2000000000e+00,1.7274000000e-09
1.2000000000e+00,1.6895000000e-09
1.3000000000e+00,2.6932000000e-09
1.3000000000e+00,2.6968000000e-09
1.3000000000e+00,2.7134000000e-09
1.3000000000e+00,2.6792000000e-09
1.3000000000e+00,2.7194000000e-09
1.3000000000e+00,2.7037000000e-09
1.3000000000e+00,2.6656000000e-09
1.3000000000e+00,2.7017000000e-09
1.3000000000e+00,2.7181000000e-09
1.3000000000e+00,2.7269000000e-09
1.3000000000e+00,2.7565000000e-09
1.3000000000e+00,2.7287000000e-09
1.3000000000e+00,2.6819000000e-09
1.3000000000e+00,2.7258000000e-09
1.3000000000e+00,2.7425000000e-09
1.3000000000e+00,2.6784000000e-09
1.3000000000e+00,2.7144000000e-09
