# Saved on 2025-07-12T16:22:04.834238
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE12
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2.75
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,6.1966000000e-10
1.0000000000e+00,6.4157000000e-10
1.0000000000e+00,6.2230000000e-10
1.0000000000e+00,6.3187000000e-10
1.0000000000e+00,6.4065000000e-10
1.0000000000e+00,6.5529000000e-10
1.0000000000e+00,6.4207000000e-10
1.0000000000e+00,6.3706000000e-10
1.0000000000e+00,6.3900000000e-10
1.0000000000e+00,6.4348000000e-10
1.0000000000e+00,6.4437000000e-10
1.0000000000e+00,6.3725000000e-10
1.0000000000e+00,6.4423000000e-10
1.0000000000e+00,6.4133000000e-10
1.0000000000e+00,6.3945000000e-10
1.0000000000e+00,6.4094000000e-10
1.0000000000e+00,6.4476000000e-10
1.0000000000e+00,6.4424000000e-10
1.1000000000e+00,1.0604000000e-09
1.1000000000e+00,1.0686000000e-09
1.1000000000e+00,1.0728000000e-09
1.1000000000e+00,1.0674000000e-09
1.1000000000e+00,1.0713000000e-09
1.1000000000e+00,1.0629000000e-09
1.1000000000e+00,1.0740000000e-09
1.1000000000e+00,1.0750000000e-09
1.1000000000e+00,1.0733000000e-09
1.1000000000e+00,1.0669000000e-09
1.1000000000e+00,1.0715000000e-09
1.1000000000e+00,1.0699000000e-09
1.1000000000e+00,1.0739000000e-09
1.1000000000e+00,1.0706000000e-09
1.1000000000e+00,1.0729000000e-09
1.1000000000e+00,1.0655000000e-09
1.1000000000e+00,1.0772000000e-09
1.1000000000e+00,1.0779000000e-09
1.1000000000e+00,1.0712000000e-09
1.1000000000e+00,1.0701000000e-09
1.1000000000e+00,1.0717000000e-09
1.2000000000e+00,1.7487000000e-09
1.2000000000e+00,1.7543000000e-09
1.2000000000e+00,1.7437000000e-09
1.2000000000e+00,1.7371000000e-09
1.2000000000e+00,1.7461000000e-09
1.2000000000e+00,1.7439000000e-09
1.2000000000e+00,1.7410000000e-09
1.2000000000e+00,1.7416000000e-09
1.2000000000e+00,1.7619000000e-09
1.2000000000e+00,1.7559000000e-09
1.2000000000e+00,1.7405000000e-09
1.2000000000e+00,1.7469000000e-09
1.2000000000e+00,1.7637000000e-09
1.2000000000e+00,1.7549000000e-09
1.2000000000e+00,1.7311000000e-09
1.2000000000e+00,1.7344000000e-09
1.2000000000e+00,1.7600000000e-09
1.2000000000e+00,1.7393000000e-09
1.2000000000e+00,1.7624000000e-09
1.2000000000e+00,1.7643000000e-09
1.2000000000e+00,1.7400000000e-09
1.3000000000e+00,2.7690000000e-09
1.3000000000e+00,2.7654000000e-09
1.3000000000e+00,2.7802000000e-09
1.3000000000e+00,2.7723000000e-09
1.3000000000e+00,2.7612000000e-09
1.3000000000e+00,2.7753000000e-09
1.3000000000e+00,2.7772000000e-09
1.3000000000e+00,2.7583000000e-09
1.3000000000e+00,2.7435000000e-09
1.3000000000e+00,2.7708000000e-09
1.3000000000e+00,2.7993000000e-09
1.3000000000e+00,2.7710000000e-09
1.3000000000e+00,2.7623000000e-09
