# Saved on 2025-07-12T16:42:09.710494
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE12
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S)
1.4400000000e-04,4.8766818509e-04,5.9735219111e-04,6.8638604716e-04
1.1440000000e-03,4.8816244089e-04,5.9886042436e-04,6.8954788730e-04
2.1440000000e-03,4.8645295465e-04,5.9749389038e-04,6.9158719270e-04
3.1440000000e-03,4.8726087698e-04,6.0052083427e-04,6.8734218075e-04
4.1440000000e-03,4.8721274652e-04,6.0013422626e-04,6.8622575782e-04
5.1440000000e-03,5.0189097237e-04,6.0026810388e-04,6.8815767008e-04
6.1440000000e-03,5.0036676839e-04,5.9495447204e-04,6.8857589213e-04
7.1440000000e-03,4.8610043450e-04,5.9461890487e-04,6.8860659667e-04
8.1440000000e-03,4.8599034926e-04,5.9521065850e-04,6.8895256845e-04
9.1440000000e-03,4.9964422942e-04,5.9521877120e-04,6.8832829129e-04
1.0144000000e-02,4.8670950491e-04,5.9918031184e-04,6.8813154940e-04
1.1144000000e-02,4.8896479711e-04,6.0087048041e-04,6.8976944021e-04
1.2144000000e-02,4.8622190661e-04,5.9954560129e-04,6.8808854849e-04
1.3144000000e-02,4.8693636927e-04,5.9531335864e-04,6.8781671871e-04
1.4144000000e-02,4.8709065595e-04,5.9758302086e-04,6.8804300099e-04
1.5144000000e-02,4.8815498303e-04,5.9961661464e-04,6.8779714638e-04
1.6144000000e-02,4.8548059567e-04,5.9698868426e-04,6.8398207077e-04
1.7144000000e-02,4.8670572141e-04,5.9734753449e-04,6.8556102633e-04
1.8144000000e-02,5.0016784371e-04,5.9832327679e-04,6.8565081165e-04
1.9144000000e-02,4.8649151722e-04,5.9472644352e-04,6.8636414653e-04
2.0144000000e-02,4.8395566409e-04,5.9825324570e-04,6.8806992203e-04
2.1144000000e-02,4.8774007155e-04,5.9542831877e-04,6.8709094194e-04
2.2144000000e-02,4.8582020099e-04,5.9665359004e-04,6.8911751441e-04
2.3144000000e-02,4.9168400437e-04,5.9745972976e-04,6.8802713940e-04
2.4144000000e-02,4.9026453780e-04,5.9521058574e-04,6.8679408287e-04
2.5144000000e-02,4.8911893828e-04,6.0003829276e-04,6.8641027610e-04
2.6144000000e-02,4.9120659241e-04,5.9391677496e-04,6.8708053732e-04
2.7144000000e-02,4.9057340220e-04,5.9520007198e-04,6.8746478064e-04
2.8144000000e-02,5.0431644922e-04,5.9600231907e-04,6.8652756454e-04
2.9144000000e-02,4.9169932026e-04,5.9833233536e-04,6.8583132816e-04
3.0144000000e-02,5.0501148507e-04,5.9708199842e-04,6.8688852480e-04
3.1144000000e-02,4.9164445954e-04,5.9744779719e-04,6.8600616942e-04
3.2144000000e-02,4.9132384447e-04,5.9893311118e-04,6.8581532105e-04
3.3144000000e-02,5.0450846174e-04,6.0041209508e-04,6.8426052167e-04
3.4144000000e-02,4.9229449360e-04,5.9880003391e-04,6.8316112447e-04
3.5144000000e-02,4.9183894589e-04,5.9881920606e-04,6.8268796895e-04
3.6144000000e-02,4.9111320550e-04,5.9769634390e-04,6.8587425631e-04
