# Saved on 2025-07-12T16:51:58.394052
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE12
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.3
#   v_rst: -1.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,6.9452042226e-04
1.1440000000e-03,6.9283079938e-04
2.1440000000e-03,6.9633206294e-04
3.1440000000e-03,6.9649373472e-04
4.1440000000e-03,6.9546666055e-04
5.1440000000e-03,6.9567358878e-04
6.1440000000e-03,6.9775203883e-04
7.1440000000e-03,6.9714456913e-04
8.1440000000e-03,6.9767913374e-04
9.1440000000e-03,6.9883157266e-04
1.0144000000e-02,6.9824374805e-04
1.1144000000e-02,6.9744004577e-04
1.2144000000e-02,6.9768582762e-04
1.3144000000e-02,6.9619025453e-04
1.4144000000e-02,6.9598303526e-04
1.5144000000e-02,6.9628149504e-04
1.6144000000e-02,6.9584049925e-04
1.7144000000e-02,6.9759706093e-04
1.8144000000e-02,6.9685549533e-04
1.9144000000e-02,6.9302659540e-04
2.0144000000e-02,6.9814734161e-04
2.1144000000e-02,7.0056965342e-04
2.2144000000e-02,6.9922483817e-04
2.3144000000e-02,6.9604328019e-04
2.4144000000e-02,6.9877482019e-04
2.5144000000e-02,6.9955487561e-04
2.6144000000e-02,6.9937435910e-04
2.7144000000e-02,6.9848487328e-04
2.8144000000e-02,6.9951223850e-04
2.9144000000e-02,6.9903369877e-04
3.0144000000e-02,6.9999725383e-04
3.1144000000e-02,6.9778143370e-04
3.2144000000e-02,6.9615860411e-04
3.3144000000e-02,6.9789188274e-04
3.4144000000e-02,6.9853682362e-04
3.5144000000e-02,6.9843190431e-04
3.6144000000e-02,6.9790949055e-04
3.7144000000e-02,6.9828682172e-04
3.8144000000e-02,7.0015252277e-04
3.9144000000e-02,6.9938832894e-04
4.0144000000e-02,6.9845154940e-04
4.1144000000e-02,6.9976755185e-04
4.2144000000e-02,7.0242342190e-04
4.3144000000e-02,6.9993940997e-04
4.4144000000e-02,6.9892186730e-04
4.5144000000e-02,6.9914647611e-04
4.6144000000e-02,6.9769645052e-04
4.7144000000e-02,6.9693836849e-04
4.8144000000e-02,6.9666064519e-04
4.9144000000e-02,6.9588837505e-04
5.0144000000e-02,6.9578403782e-04
5.1144000000e-02,6.9519614044e-04
5.2144000000e-02,6.9492867624e-04
5.3144000000e-02,6.9476540375e-04
5.4144000000e-02,6.9664543844e-04
5.5144000000e-02,6.9673791586e-04
5.6144000000e-02,6.9924943091e-04
5.7144000000e-02,6.9763009378e-04
5.8144000000e-02,7.0008980401e-04
5.9144000000e-02,6.9932051701e-04
6.0144000000e-02,7.0080888690e-04
6.1144000000e-02,6.9755042205e-04
6.2144000000e-02,6.9834357419e-04
6.3144000000e-02,6.9911271567e-04
6.4144000000e-02,6.9625057222e-04
6.5144000000e-02,6.9769652328e-04
6.6144000000e-02,6.9758752943e-04
6.7144000000e-02,6.9759073085e-04
6.8144000000e-02,6.9644876930e-04
6.9144000000e-02,6.9698005973e-04
7.0144000000e-02,6.9883928518e-04
7.1144000000e-02,6.9983325375e-04
7.2144000000e-02,6.9870096922e-04
