# Saved on 2025-07-12T17:01:49.161150
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE12
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,7.1717491664e-04
1.1440000000e-03,7.1690388722e-04
2.1440000000e-03,7.1689166361e-04
3.1440000000e-03,7.1902759373e-04
4.1440000000e-03,7.1778500569e-04
5.1440000000e-03,7.1361966548e-04
6.1440000000e-03,7.1296606620e-04
7.1440000000e-03,7.1133377787e-04
8.1440000000e-03,7.1274458605e-04
9.1440000000e-03,7.1415670391e-04
1.0144000000e-02,7.1397167630e-04
1.1144000000e-02,7.1723210567e-04
1.2144000000e-02,7.1555266913e-04
1.3144000000e-02,7.1250542533e-04
1.4144000000e-02,7.1580907388e-04
1.5144000000e-02,7.1451955591e-04
1.6144000000e-02,7.1269962064e-04
1.7144000000e-02,7.1443479101e-04
1.8144000000e-02,7.1307709732e-04
1.9144000000e-02,7.1486116212e-04
2.0144000000e-02,7.1429785748e-04
2.1144000000e-02,7.1534384915e-04
2.2144000000e-02,7.1435511927e-04
2.3144000000e-02,7.1510825364e-04
2.4144000000e-02,7.1445341746e-04
2.5144000000e-02,7.1358772402e-04
2.6144000000e-02,7.1426118666e-04
2.7144000000e-02,7.1318041591e-04
2.8144000000e-02,7.1230148023e-04
2.9144000000e-02,7.1230395406e-04
3.0144000000e-02,7.1311333159e-04
3.1144000000e-02,7.1285161539e-04
3.2144000000e-02,7.1104303061e-04
3.3144000000e-02,7.1350776125e-04
3.4144000000e-02,7.1262773417e-04
3.5144000000e-02,7.1198672231e-04
3.6144000000e-02,7.1287111496e-04
3.7144000000e-02,7.1308684710e-04
3.8144000000e-02,7.1520727943e-04
3.9144000000e-02,7.1469126851e-04
4.0144000000e-02,7.1477392339e-04
4.1144000000e-02,7.1462040069e-04
4.2144000000e-02,7.1435199061e-04
4.3144000000e-02,7.1411159297e-04
4.4144000000e-02,7.1365982876e-04
4.5144000000e-02,7.1316106187e-04
4.6144000000e-02,7.1354210377e-04
4.7144000000e-02,7.1216229117e-04
4.8144000000e-02,7.1344991738e-04
4.9144000000e-02,7.1416965511e-04
5.0144000000e-02,7.1442380431e-04
5.1144000000e-02,7.1441165346e-04
5.2144000000e-02,7.1370675869e-04
5.3144000000e-02,7.1402857429e-04
5.4144000000e-02,7.1290363849e-04
5.5144000000e-02,7.1395887062e-04
5.6144000000e-02,7.1337017289e-04
5.7144000000e-02,7.1360387665e-04
5.8144000000e-02,7.1330876381e-04
5.9144000000e-02,7.1489688708e-04
6.0144000000e-02,7.1476955782e-04
6.1144000000e-02,7.1266877057e-04
6.2144000000e-02,7.1281247074e-04
6.3144000000e-02,7.1685157309e-04
6.4144000000e-02,7.1579335781e-04
6.5144000000e-02,7.1604648838e-04
6.6144000000e-02,7.1459122410e-04
6.7144000000e-02,7.1378024586e-04
6.8144000000e-02,7.1361595474e-04
6.9144000000e-02,7.1425572969e-04
7.0144000000e-02,7.1444083005e-04
7.1144000000e-02,7.1300244599e-04
7.2144000000e-02,7.1461705375e-04
