# Saved on 2025-07-12T16:51:58.422055
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE12
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.3
#   v_rst: -1.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,6.9836969487e-04
1.0001440000e+00,6.9308211096e-04
2.0001440000e+00,6.9663001341e-04
3.0001440000e+00,6.9393216108e-04
4.0001440000e+00,6.9505462307e-04
5.0001440000e+00,6.9576068199e-04
6.0001440000e+00,6.9692243414e-04
7.0001440000e+00,6.9481684477e-04
8.0001440000e+00,6.9622867159e-04
9.0001440000e+00,6.9670932135e-04
1.0000144000e+01,6.9622226874e-04
1.1000144000e+01,6.9347108365e-04
1.2000144000e+01,6.9798850745e-04
1.3000144000e+01,6.9494053605e-04
1.4000144000e+01,6.9727466325e-04
1.5000144000e+01,6.9529502071e-04
1.6000144000e+01,6.9507055741e-04
1.7000144000e+01,6.9659290602e-04
1.8000144000e+01,6.9726345828e-04
1.9000144000e+01,6.9679008448e-04
2.0000144000e+01,6.9611647632e-04
2.1000144000e+01,6.9790563430e-04
2.2000144000e+01,6.9919762609e-04
2.3000144000e+01,6.9706649811e-04
2.4000144000e+01,6.9585883466e-04
2.5000144000e+01,6.9455578341e-04
2.6000144000e+01,6.9654983236e-04
2.7000144000e+01,6.9778921898e-04
2.8000144000e+01,6.9826106483e-04
2.9000144000e+01,6.9683985203e-04
3.0000144000e+01,6.9908091973e-04
3.1000144000e+01,6.9698675361e-04
3.2000144000e+01,6.9520683610e-04
3.3000144000e+01,6.9545923907e-04
3.4000144000e+01,6.9476358476e-04
3.5000144000e+01,6.9551992055e-04
3.6000144000e+01,6.9524779974e-04
3.7000144000e+01,6.9642017479e-04
3.8000144000e+01,6.9831708970e-04
3.9000144000e+01,6.9502289989e-04
4.0000144000e+01,6.9313027780e-04
4.1000144000e+01,6.9624518801e-04
4.2000144000e+01,-1.5003990939e-07
4.3000144000e+01,-1.6002308811e-07
4.4000144000e+01,-1.8035200000e-07
4.5000144000e+01,-2.1626917146e-07
4.6000144000e+01,-1.4596854392e-07
4.7000144000e+01,-1.6837494954e-07
4.8000144000e+01,-1.5487811922e-07
4.9000144000e+01,-1.7576475386e-07
5.0000144000e+01,-2.1097083192e-07
5.1000144000e+01,-1.7597388435e-07
5.2000144000e+01,-1.7285065823e-07
5.3000144000e+01,-1.8710041516e-07
5.4000144000e+01,-1.5058368774e-07
5.5000144000e+01,-1.4824125927e-07
5.6000144000e+01,-1.8905243593e-07
5.7000144000e+01,-1.9808750196e-07
5.8000144000e+01,-1.6700854033e-07
5.9000144000e+01,-1.7292038024e-07
6.0000144000e+01,-1.9903561466e-07
6.1000144000e+01,-1.4312417029e-07
6.2000144000e+01,-1.5239626450e-07
6.3000144000e+01,-1.9602392598e-07
6.4000144000e+01,-1.5788980789e-07
6.5000144000e+01,-1.4157650163e-07
6.6000144000e+01,-1.6271409109e-07
6.7000144000e+01,-1.9564746268e-07
6.8000144000e+01,-1.4854800057e-07
6.9000144000e+01,-1.5390211772e-07
7.0000144000e+01,-2.0646723442e-07
7.1000144000e+01,-1.9054432698e-07
7.2000144000e+01,-1.8552485770e-07
7.3000144000e+01,-1.2124759863e-07
7.4000144000e+01,-2.3433930352e-07
7.5000144000e+01,-2.0114100607e-07
7.6000144000e+01,-1.9253818095e-07
7.7000144000e+01,-1.3120290632e-07
7.8000144000e+01,-1.9245451455e-07
7.9000144000e+01,-2.2813466671e-07
8.0000144000e+01,-2.0906064435e-07
8.1000144000e+01,-2.1159825891e-07
8.2000144000e+01,-1.3809074773e-07
8.3000144000e+01,-1.6593492802e-07
8.4000144000e+01,-1.6875141284e-07
8.5000144000e+01,-1.6904422750e-07
8.6000144000e+01,-2.1858371113e-07
8.7000144000e+01,-1.9285886665e-07
8.8000144000e+01,-1.7264150998e-07
8.9000144000e+01,-2.3683510264e-07
9.0000144000e+01,-2.1790050653e-07
9.1000144000e+01,-2.1296468589e-07
9.2000144000e+01,-1.6746865228e-07
9.3000144000e+01,-1.7312951073e-07
9.4000144000e+01,-1.9709753829e-07
9.5000144000e+01,-1.2339482325e-07
9.6000144000e+01,-2.0717832783e-07
9.7000144000e+01,-1.6032984718e-07
9.8000144000e+01,-2.0094581998e-07
9.9000144000e+01,-1.8245739142e-07
1.0000014400e+02,-1.9308195931e-07
1.0100014400e+02,-1.9467146117e-07
1.0200014400e+02,-1.9535466578e-07
1.0300014400e+02,-1.7989187029e-07
1.0400014400e+02,-2.3954005002e-07
1.0500014400e+02,-2.1105449832e-07
1.0600014400e+02,-1.9071164203e-07
1.0700014400e+02,-2.0330217509e-07
1.0800014400e+02,-1.9726485334e-07
1.0900014400e+02,-2.2805101807e-07
1.1000014400e+02,-1.8675184066e-07
1.1100014400e+02,-1.5662100949e-07
1.1200014400e+02,-2.0445945381e-07
1.1300014400e+02,-2.0190787708e-07
1.1400014400e+02,-2.4648366903e-07
1.1500014400e+02,-1.8789515721e-07
1.1600014400e+02,-2.1848611809e-07
1.1700014400e+02,-2.0466860207e-07
1.1800014400e+02,-2.0203335893e-07
1.1900014400e+02,-1.6466611186e-07
1.2000014400e+02,-1.8173235361e-07
1.2100014400e+02,-1.9893802161e-07
1.2200014400e+02,-1.5702534384e-07
1.2300014400e+02,-1.2922299675e-07
1.2400014400e+02,-9.7181978020e-08
1.2500014400e+02,-1.6254677604e-07
1.2600014400e+02,-1.3499540152e-07
1.2700014400e+02,-1.3114713759e-07
1.2800014400e+02,-2.1985252729e-07
