# Saved on 2025-07-12T17:01:49.214332
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE12
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,7.0229376433e-04
1.0001440000e+00,6.9753157732e-04
2.0001440000e+00,7.0218549808e-04
3.0001440000e+00,7.0193622378e-04
4.0001440000e+00,7.0634305303e-04
5.0001440000e+00,7.0038862759e-04
6.0001440000e+00,7.0226626121e-04
7.0001440000e+00,6.9674562837e-04
8.0001440000e+00,6.9907917350e-04
9.0001440000e+00,6.9953319326e-04
1.0000144000e+01,6.9899877417e-04
1.1000144000e+01,7.0269161370e-04
1.2000144000e+01,7.0615969889e-04
1.3000144000e+01,6.9866902777e-04
1.4000144000e+01,7.0222420618e-04
1.5000144000e+01,6.9950576290e-04
1.6000144000e+01,7.0015732490e-04
1.7000144000e+01,7.0003072324e-04
1.8000144000e+01,6.9471228926e-04
1.9000144000e+01,6.9646717748e-04
2.0000144000e+01,6.9592009822e-04
2.1000144000e+01,7.0654241426e-04
2.2000144000e+01,7.0700247306e-04
2.3000144000e+01,6.9886278652e-04
2.4000144000e+01,7.0299298386e-04
2.5000144000e+01,7.0294445322e-04
2.6000144000e+01,7.0119305747e-04
2.7000144000e+01,6.9873494795e-04
2.8000144000e+01,7.0037429396e-04
2.9000144000e+01,6.9793779403e-04
3.0000144000e+01,7.0076246629e-04
3.1000144000e+01,6.9892128522e-04
3.2000144000e+01,7.0027868787e-04
3.3000144000e+01,7.0179972681e-04
3.4000144000e+01,7.0316695201e-04
3.5000144000e+01,7.0034911914e-04
3.6000144000e+01,7.0526213676e-04
3.7000144000e+01,7.0269023126e-04
3.8000144000e+01,7.0439709816e-04
3.9000144000e+01,6.9974616054e-04
4.0000144000e+01,6.9926223659e-04
4.1000144000e+01,7.0583038905e-04
4.2000144000e+01,7.0240064815e-04
4.3000144000e+01,7.0352929470e-04
4.4000144000e+01,7.0440990385e-04
4.5000144000e+01,7.0070505899e-04
4.6000144000e+01,7.0579604653e-04
4.7000144000e+01,7.0428475738e-04
4.8000144000e+01,6.9523157435e-04
4.9000144000e+01,7.0308327849e-04
5.0000144000e+01,6.9921814429e-04
5.1000144000e+01,7.0001653512e-04
5.2000144000e+01,6.9760324550e-04
5.3000144000e+01,7.0015499659e-04
5.4000144000e+01,6.9693254773e-04
5.5000144000e+01,7.0125228376e-04
5.6000144000e+01,6.9666086347e-04
5.7000144000e+01,7.0250956924e-04
5.8000144000e+01,6.9842928497e-04
5.9000144000e+01,7.0183858043e-04
6.0000144000e+01,7.0037116529e-04
6.1000144000e+01,6.9977970270e-04
6.2000144000e+01,6.9943693234e-04
6.3000144000e+01,7.0146990765e-04
6.4000144000e+01,7.0587368100e-04
6.5000144000e+01,7.0410555054e-04
6.6000144000e+01,7.0371846959e-04
6.7000144000e+01,7.0675254392e-04
6.8000144000e+01,7.0426525781e-04
6.9000144000e+01,7.0425237936e-04
7.0000144000e+01,7.0153757406e-04
7.1000144000e+01,7.0053036325e-04
7.2000144000e+01,7.0117755968e-04
