# Saved on 2025-07-12T17:09:13.082463
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE12
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0008
#   num_level: 1
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS
1.4400000000e-04,7.9445999290e-04
1.1440000000e-03,7.9462944996e-04
2.1440000000e-03,7.9348326835e-04
3.1440000000e-03,7.9305711552e-04
4.1440000000e-03,7.9594428826e-04
5.1440000000e-03,7.9364239355e-04
6.1440000000e-03,7.9482706496e-04
7.1440000000e-03,7.9513665696e-04
8.1440000000e-03,7.9521865700e-04
9.1440000000e-03,7.9433470091e-04
1.0144000000e-02,7.9490215285e-04
1.1144000000e-02,7.9500547145e-04
1.2144000000e-02,7.9522200394e-04
1.3144000000e-02,7.9393226770e-04
1.4144000000e-02,7.9393576016e-04
1.5144000000e-02,7.9335884948e-04
1.6144000000e-02,7.9340745287e-04
1.7144000000e-02,7.9193276179e-04
1.8144000000e-02,7.9251665738e-04
1.9144000000e-02,7.9283265222e-04
2.0144000000e-02,7.9285651736e-04
2.1144000000e-02,7.9264274973e-04
2.2144000000e-02,7.9253608419e-04
2.3144000000e-02,7.9320154327e-04
2.4144000000e-02,7.9407414887e-04
2.5144000000e-02,7.9297707998e-04
2.6144000000e-02,7.9269571870e-04
2.7144000000e-02,7.9314762843e-04
2.8144000000e-02,7.9256533354e-04
2.9144000000e-02,7.9320940131e-04
3.0144000000e-02,7.9465738963e-04
3.1144000000e-02,7.9302284576e-04
3.2144000000e-02,7.9373785411e-04
3.3144000000e-02,7.9365905549e-04
3.4144000000e-02,7.9260993516e-04
3.5144000000e-02,7.9181416368e-04
3.6144000000e-02,7.9232348071e-04
3.7144000000e-02,7.9224315414e-04
3.8144000000e-02,7.9331941379e-04
3.9144000000e-02,7.9376986832e-04
4.0144000000e-02,7.9381701653e-04
4.1144000000e-02,7.9328769061e-04
4.2144000000e-02,7.9376572103e-04
4.3144000000e-02,7.9415811342e-04
4.4144000000e-02,7.9350720625e-04
4.5144000000e-02,7.9347155406e-04
4.6144000000e-02,7.9393073975e-04
4.7144000000e-02,7.9322919191e-04
4.8144000000e-02,7.9269339039e-04
4.9144000000e-02,7.9273246229e-04
5.0144000000e-02,7.9151090176e-04
5.1144000000e-02,7.9201701737e-04
5.2144000000e-02,7.9158970038e-04
5.3144000000e-02,7.9089608334e-04
5.4144000000e-02,7.9014629591e-04
5.5144000000e-02,7.9150624515e-04
5.6144000000e-02,7.9209610703e-04
5.7144000000e-02,7.9089535575e-04
5.8144000000e-02,7.9289166024e-04
5.9144000000e-02,7.9351259046e-04
6.0144000000e-02,7.9364850535e-04
6.1144000000e-02,7.9337434727e-04
6.2144000000e-02,7.9312638263e-04
6.3144000000e-02,7.9323595855e-04
6.4144000000e-02,7.9271703726e-04
6.5144000000e-02,7.9274796008e-04
6.6144000000e-02,7.9205150541e-04
6.7144000000e-02,7.9241290223e-04
6.8144000000e-02,7.9229757830e-04
6.9144000000e-02,7.9139099398e-04
7.0144000000e-02,7.9207347881e-04
7.1144000000e-02,7.9209850810e-04
7.2144000000e-02,7.9297540651e-04
