# Saved on 2025-07-12T17:09:13.102957
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE12
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0008
#   num_level: 1
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS
1.4400000000e-04,7.9575336713e-04
1.0001440000e+00,7.9412275227e-04
2.0001440000e+00,7.9705168901e-04
3.0001440000e+00,7.9581564933e-04
4.0001440000e+00,7.9489713244e-04
5.0001440000e+00,7.9370358435e-04
6.0001440000e+00,7.9528181232e-04
7.0001440000e+00,7.9471174104e-04
8.0001440000e+00,7.9468300100e-04
9.0001440000e+00,7.9451034253e-04
1.0000144000e+01,7.9450524936e-04
1.1000144000e+01,7.9023506260e-04
1.2000144000e+01,7.8806682723e-04
1.3000144000e+01,7.8928998846e-04
1.4000144000e+01,7.9035205999e-04
1.5000144000e+01,7.9058321717e-04
1.6000144000e+01,7.8753997514e-04
1.7000144000e+01,7.8696088167e-04
1.8000144000e+01,7.8802375356e-04
1.9000144000e+01,7.8895107436e-04
2.0000144000e+01,7.8690325608e-04
2.1000144000e+01,5.8196881582e-04
2.2000144000e+01,5.7423105318e-04
2.3000144000e+01,5.6680983107e-04
2.4000144000e+01,5.8302615798e-04
2.5000144000e+01,5.8551602706e-04
2.6000144000e+01,5.8822650317e-04
2.7000144000e+01,6.0125490563e-04
2.8000144000e+01,5.9541558585e-04
2.9000144000e+01,6.0333630245e-04
3.0000144000e+01,5.9785015765e-04
3.1000144000e+01,5.9995225456e-04
3.2000144000e+01,6.1158447352e-04
3.3000144000e+01,6.0883932747e-04
3.4000144000e+01,6.1151768023e-04
3.5000144000e+01,7.1907845268e-04
3.6000144000e+01,7.1618247603e-04
3.7000144000e+01,7.1515059972e-04
3.8000144000e+01,7.1654038038e-04
3.9000144000e+01,7.1515358286e-04
4.0000144000e+01,7.1540474892e-04
4.1000144000e+01,7.1513364674e-04
4.2000144000e+01,7.1545800893e-04
4.3000144000e+01,7.1440328611e-04
4.4000144000e+01,7.1769944043e-04
4.5000144000e+01,7.1523951192e-04
4.6000144000e+01,7.1430549724e-04
4.7000144000e+01,7.1615446359e-04
4.8000144000e+01,7.1679372923e-04
4.9000144000e+01,7.1576454502e-04
5.0000144000e+01,7.1565504186e-04
5.1000144000e+01,7.1664304414e-04
5.2000144000e+01,7.1596936323e-04
5.3000144000e+01,7.1547925472e-04
5.4000144000e+01,7.1594586188e-04
5.5000144000e+01,7.1589885920e-04
5.6000144000e+01,7.1819878940e-04
5.7000144000e+01,7.2100898251e-04
5.8000144000e+01,7.1504517109e-04
5.9000144000e+01,7.1664544521e-04
6.0000144000e+01,7.1538015618e-04
6.1000144000e+01,7.1607006248e-04
6.2000144000e+01,7.1476613812e-04
6.3000144000e+01,7.1723545261e-04
6.4000144000e+01,7.1579226642e-04
6.5000144000e+01,7.1683309216e-04
6.6000144000e+01,7.1324844612e-04
6.7000144000e+01,7.1602175012e-04
6.8000144000e+01,7.1532645961e-04
6.9000144000e+01,7.1588423452e-04
7.0000144000e+01,7.1447990194e-04
7.1000144000e+01,7.1672162449e-04
7.2000144000e+01,7.1587703133e-04
