# Saved on 2025-07-12T16:17:44.825039
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE13
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2.75
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e-01,2.9722000000e-07
1.0000000000e-01,2.5356000000e-07
1.0000000000e-01,2.5694000000e-07
1.0000000000e-01,2.2416000000e-07
1.0000000000e-01,2.5962000000e-07
1.0000000000e-01,2.8288000000e-07
1.0000000000e-01,2.8750000000e-07
1.0000000000e-01,3.2592000000e-07
1.0000000000e-01,2.7136000000e-07
1.0000000000e-01,3.3580000000e-07
1.0000000000e-01,3.5232000000e-07
1.0000000000e-01,3.5356000000e-07
1.0000000000e-01,3.4080000000e-07
1.0000000000e-01,3.3426000000e-07
1.0000000000e-01,2.7836000000e-07
1.0000000000e-01,3.2246000000e-07
1.0000000000e-01,3.2640000000e-07
1.0000000000e-01,3.4394000000e-07
1.0000000000e-01,3.1612000000e-07
1.0000000000e-01,3.4356000000e-07
1.0000000000e-01,3.4448000000e-07
1.0000000000e-01,3.0574000000e-07
1.0000000000e-01,3.4242000000e-07
1.0000000000e-01,3.3834000000e-07
1.0000000000e-01,2.8904000000e-07
1.0000000000e-01,2.7904000000e-07
1.0000000000e-01,2.9542000000e-07
1.0000000000e-01,2.7430000000e-07
1.0000000000e-01,2.8402000000e-07
1.0000000000e-01,2.5332000000e-07
1.0000000000e-01,2.8204000000e-07
1.0000000000e-01,2.0724000000e-07
2.0000000000e-01,4.8756000000e-07
2.0000000000e-01,6.1136000000e-07
2.0000000000e-01,3.8822000000e-07
2.0000000000e-01,4.6044000000e-07
2.0000000000e-01,4.6894000000e-07
2.0000000000e-01,5.1912000000e-07
2.0000000000e-01,4.9730000000e-07
2.0000000000e-01,4.3036000000e-07
2.0000000000e-01,4.1828000000e-07
2.0000000000e-01,4.6150000000e-07
2.0000000000e-01,4.4316000000e-07
2.0000000000e-01,4.3618000000e-07
2.0000000000e-01,3.9014000000e-07
2.0000000000e-01,4.5148000000e-07
2.0000000000e-01,3.9942000000e-07
2.0000000000e-01,5.2074000000e-07
2.0000000000e-01,3.4964000000e-07
2.0000000000e-01,5.2594000000e-07
2.0000000000e-01,4.5790000000e-07
2.0000000000e-01,5.3806000000e-07
2.0000000000e-01,4.7464000000e-07
2.0000000000e-01,3.9346000000e-07
2.0000000000e-01,3.9654000000e-07
2.0000000000e-01,4.8068000000e-07
2.0000000000e-01,5.1100000000e-07
