# Saved on 2025-07-12T16:06:33.165242
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE13
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00329
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2.3
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
7.0000000000e-01,1.6943000000e-11
7.0000000000e-01,1.4492000000e-11
7.0000000000e-01,1.4332000000e-11
7.0000000000e-01,1.7851000000e-11
7.0000000000e-01,1.9576000000e-11
7.0000000000e-01,2.0029000000e-11
7.0000000000e-01,1.6776000000e-11
7.0000000000e-01,1.5071000000e-11
7.0000000000e-01,1.3939000000e-11
7.0000000000e-01,1.6062000000e-11
7.0000000000e-01,2.1106000000e-11
8.0000000000e-01,1.8805000000e-11
8.0000000000e-01,1.8870000000e-11
8.0000000000e-01,2.1820000000e-11
8.0000000000e-01,2.3240000000e-11
8.0000000000e-01,1.7790000000e-11
8.0000000000e-01,1.7795000000e-11
8.0000000000e-01,2.2692000000e-11
8.0000000000e-01,2.1485000000e-11
8.0000000000e-01,2.1623000000e-11
8.0000000000e-01,1.8244000000e-11
8.0000000000e-01,1.8031000000e-11
9.0000000000e-01,2.4983000000e-11
9.0000000000e-01,2.7726000000e-11
9.0000000000e-01,2.7715000000e-11
9.0000000000e-01,2.4529000000e-11
9.0000000000e-01,3.1427000000e-11
9.0000000000e-01,2.6800000000e-11
9.0000000000e-01,3.1312000000e-11
9.0000000000e-01,3.0162000000e-11
9.0000000000e-01,2.9068000000e-11
9.0000000000e-01,3.2077000000e-11
1.0000000000e+00,3.1887000000e-11
1.0000000000e+00,3.6910000000e-11
1.0000000000e+00,3.1299000000e-11
1.0000000000e+00,3.8166000000e-11
1.0000000000e+00,3.6094000000e-11
1.0000000000e+00,3.9371000000e-11
1.0000000000e+00,3.2999000000e-11
1.0000000000e+00,2.9009000000e-11
1.0000000000e+00,3.2035000000e-11
1.0000000000e+00,3.2607000000e-11
1.1000000000e+00,3.8489000000e-11
1.1000000000e+00,4.0537000000e-11
1.1000000000e+00,3.8254000000e-11
1.1000000000e+00,3.9220000000e-11
1.1000000000e+00,3.9485000000e-11
1.1000000000e+00,3.9478000000e-11
1.1000000000e+00,3.6189000000e-11
1.1000000000e+00,4.0737000000e-11
1.1000000000e+00,4.0762000000e-11
1.1000000000e+00,4.1706000000e-11
1.2000000000e+00,5.2934000000e-11
1.2000000000e+00,5.0518000000e-11
1.2000000000e+00,4.3932000000e-11
1.2000000000e+00,5.1857000000e-11
1.2000000000e+00,4.5492000000e-11
1.2000000000e+00,4.1871000000e-11
1.2000000000e+00,4.1023000000e-11
1.2000000000e+00,4.2408000000e-11
1.2000000000e+00,4.0207000000e-11
1.2000000000e+00,4.4105000000e-11
1.3000000000e+00,5.3713000000e-11
1.3000000000e+00,5.6599000000e-11
1.3000000000e+00,6.4991000000e-11
1.3000000000e+00,6.0166000000e-11
1.3000000000e+00,6.0186000000e-11
1.3000000000e+00,6.0465000000e-11
1.3000000000e+00,5.4991000000e-11
1.3000000000e+00,5.8881000000e-11
1.3000000000e+00,5.5119000000e-11
1.3000000000e+00,6.0247000000e-11
1.4000000000e+00,7.0909000000e-11
