# Saved on 2025-07-12T16:13:59.891671
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE13
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2.75
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
7.0000000000e-01,1.3296000000e-09
7.0000000000e-01,1.3432000000e-09
7.0000000000e-01,1.3893000000e-09
7.0000000000e-01,1.2689000000e-09
7.0000000000e-01,1.6475000000e-09
7.0000000000e-01,1.4604000000e-09
7.0000000000e-01,1.6536000000e-09
7.0000000000e-01,1.6398000000e-09
7.0000000000e-01,1.4926000000e-09
7.0000000000e-01,1.4891000000e-09
7.0000000000e-01,1.4574000000e-09
7.0000000000e-01,1.4444000000e-09
7.0000000000e-01,1.2251000000e-09
7.0000000000e-01,1.3488000000e-09
7.0000000000e-01,1.3899000000e-09
7.0000000000e-01,1.3251000000e-09
7.0000000000e-01,1.6940000000e-09
7.0000000000e-01,1.5349000000e-09
7.0000000000e-01,1.6334000000e-09
7.0000000000e-01,1.6600000000e-09
7.0000000000e-01,1.3725000000e-09
8.0000000000e-01,2.0833000000e-09
8.0000000000e-01,1.9881000000e-09
8.0000000000e-01,1.9967000000e-09
8.0000000000e-01,1.9512000000e-09
8.0000000000e-01,1.9792000000e-09
8.0000000000e-01,1.7421000000e-09
9.0000000000e-01,2.5098000000e-09
9.0000000000e-01,2.4551000000e-09
9.0000000000e-01,2.2839000000e-09
9.0000000000e-01,2.4893000000e-09
9.0000000000e-01,2.2596000000e-09
9.0000000000e-01,2.3578000000e-09
9.0000000000e-01,2.4756000000e-09
9.0000000000e-01,2.6473000000e-09
9.0000000000e-01,2.6237000000e-09
9.0000000000e-01,2.5063000000e-09
9.0000000000e-01,2.6858000000e-09
9.0000000000e-01,2.4608000000e-09
9.0000000000e-01,2.3480000000e-09
9.0000000000e-01,2.3972000000e-09
9.0000000000e-01,2.3307000000e-09
9.0000000000e-01,2.3522000000e-09
9.0000000000e-01,2.2768000000e-09
9.0000000000e-01,2.4452000000e-09
9.0000000000e-01,2.4273000000e-09
9.0000000000e-01,2.4107000000e-09
9.0000000000e-01,2.3848000000e-09
1.0000000000e+00,3.8266000000e-09
1.0000000000e+00,3.6777000000e-09
1.0000000000e+00,4.4567000000e-09
1.0000000000e+00,3.8602000000e-09
1.0000000000e+00,4.5829000000e-09
1.0000000000e+00,4.2215000000e-09
1.0000000000e+00,4.3480000000e-09
1.0000000000e+00,4.5568000000e-09
1.0000000000e+00,3.9006000000e-09
1.0000000000e+00,3.3505000000e-09
1.0000000000e+00,4.5592000000e-09
1.0000000000e+00,4.3340000000e-09
1.0000000000e+00,4.4157000000e-09
1.0000000000e+00,4.4610000000e-09
1.0000000000e+00,3.9452000000e-09
1.0000000000e+00,4.5005000000e-09
1.0000000000e+00,4.4656000000e-09
1.0000000000e+00,4.2742000000e-09
1.0000000000e+00,4.4372000000e-09
1.0000000000e+00,4.0110000000e-09
1.0000000000e+00,4.3371000000e-09
1.1000000000e+00,5.4157000000e-09
1.1000000000e+00,5.7296000000e-09
1.1000000000e+00,5.4782000000e-09
1.1000000000e+00,5.2195000000e-09
1.1000000000e+00,5.1253000000e-09
1.1000000000e+00,4.6846000000e-09
1.1000000000e+00,5.4565000000e-09
1.1000000000e+00,5.8236000000e-09
1.1000000000e+00,4.7460000000e-09
1.1000000000e+00,5.2338000000e-09
1.1000000000e+00,5.6108000000e-09
1.1000000000e+00,5.5754000000e-09
1.1000000000e+00,3.9512000000e-09
1.1000000000e+00,3.5325000000e-09
1.1000000000e+00,3.5034000000e-09
1.1000000000e+00,3.6467000000e-09
1.1000000000e+00,4.8209000000e-09
1.1000000000e+00,5.2879000000e-09
1.1000000000e+00,5.3861000000e-09
1.1000000000e+00,4.7009000000e-09
1.2000000000e+00,6.0441000000e-09
1.2000000000e+00,5.3154000000e-09
1.2000000000e+00,5.4046000000e-09
1.2000000000e+00,5.5682000000e-09
1.2000000000e+00,4.7201000000e-09
1.2000000000e+00,4.8144000000e-09
1.2000000000e+00,5.8929000000e-09
1.2000000000e+00,5.7389000000e-09
1.2000000000e+00,4.9947000000e-09
1.2000000000e+00,4.4540000000e-09
1.2000000000e+00,5.1193000000e-09
1.2000000000e+00,4.0979000000e-09
1.2000000000e+00,4.0431000000e-09
1.2000000000e+00,3.9615000000e-09
1.2000000000e+00,4.4451000000e-09
1.2000000000e+00,3.9652000000e-09
1.2000000000e+00,3.6022000000e-09
1.2000000000e+00,3.6776000000e-09
1.2000000000e+00,3.4667000000e-09
1.2000000000e+00,3.6343000000e-09
1.3000000000e+00,4.5449000000e-09
1.3000000000e+00,5.7431000000e-09
1.3000000000e+00,5.0967000000e-09
1.3000000000e+00,5.6727000000e-09
1.3000000000e+00,5.3448000000e-09
1.3000000000e+00,5.0234000000e-09
1.3000000000e+00,4.9271000000e-09
1.3000000000e+00,4.8585000000e-09
1.3000000000e+00,4.9277000000e-09
1.3000000000e+00,5.1772000000e-09
1.3000000000e+00,4.8920000000e-09
1.3000000000e+00,4.7771000000e-09
1.3000000000e+00,4.8340000000e-09
1.3000000000e+00,4.6457000000e-09
1.3000000000e+00,6.2011000000e-09
1.3000000000e+00,4.6963000000e-09
1.3000000000e+00,4.7184000000e-09
1.3000000000e+00,4.7976000000e-09
1.3000000000e+00,4.7561000000e-09
1.3000000000e+00,5.3948000000e-09
1.3000000000e+00,5.0340000000e-09
1.4000000000e+00,6.0130000000e-09
1.4000000000e+00,6.1924000000e-09
1.4000000000e+00,6.5082000000e-09
1.4000000000e+00,6.9704000000e-09
1.4000000000e+00,8.2853000000e-09
1.4000000000e+00,7.2911000000e-09
1.4000000000e+00,6.8525000000e-09
1.4000000000e+00,7.4274000000e-09
1.4000000000e+00,7.8093000000e-09
1.4000000000e+00,7.5956000000e-09
1.4000000000e+00,8.6037000000e-09
1.4000000000e+00,6.9354000000e-09
1.4000000000e+00,6.8071000000e-09
1.4000000000e+00,6.9693000000e-09
1.4000000000e+00,6.9441000000e-09
1.4000000000e+00,6.8989000000e-09
1.4000000000e+00,6.7543000000e-09
1.4000000000e+00,6.6728000000e-09
1.4000000000e+00,6.5789000000e-09
1.4000000000e+00,6.7550000000e-09
1.5000000000e+00,7.9683000000e-09
1.5000000000e+00,7.8662000000e-09
1.5000000000e+00,7.7441000000e-09
1.5000000000e+00,7.7296000000e-09
1.5000000000e+00,7.2108000000e-09
1.5000000000e+00,7.1712000000e-09
1.5000000000e+00,7.3914000000e-09
1.5000000000e+00,7.4339000000e-09
1.5000000000e+00,7.4400000000e-09
1.5000000000e+00,7.2975000000e-09
1.5000000000e+00,7.4068000000e-09
1.5000000000e+00,7.2179000000e-09
1.5000000000e+00,7.3019000000e-09
1.5000000000e+00,7.3483000000e-09
1.5000000000e+00,7.2236000000e-09
1.5000000000e+00,7.4314000000e-09
1.5000000000e+00,7.3923000000e-09
1.5000000000e+00,7.5922000000e-09
