# Saved on 2025-07-12T15:51:22.510231
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE14
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 3
#   Reset_Compliance: 0.001
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
7.0000000000e-01,1.5998000000e-04
7.0000000000e-01,1.5940000000e-04
7.0000000000e-01,1.6024000000e-04
7.0000000000e-01,1.5938000000e-04
7.0000000000e-01,1.5978000000e-04
7.0000000000e-01,1.5930000000e-04
7.0000000000e-01,1.6036000000e-04
7.0000000000e-01,1.5932000000e-04
7.0000000000e-01,1.5836000000e-04
7.0000000000e-01,1.5998000000e-04
7.0000000000e-01,1.6010000000e-04
7.0000000000e-01,1.5960000000e-04
7.0000000000e-01,1.6014000000e-04
7.0000000000e-01,1.6056000000e-04
7.0000000000e-01,1.6016000000e-04
7.0000000000e-01,1.6058000000e-04
7.0000000000e-01,1.6084000000e-04
7.0000000000e-01,1.5998000000e-04
7.0000000000e-01,1.6032000000e-04
7.0000000000e-01,1.6052000000e-04
7.0000000000e-01,1.5960000000e-04
7.0000000000e-01,1.5826000000e-04
7.0000000000e-01,1.6070000000e-04
7.0000000000e-01,1.6100000000e-04
7.0000000000e-01,1.6032000000e-04
7.0000000000e-01,1.6174000000e-04
7.0000000000e-01,1.6076000000e-04
7.0000000000e-01,1.6128000000e-04
7.0000000000e-01,1.6044000000e-04
7.0000000000e-01,1.6044000000e-04
7.0000000000e-01,1.6004000000e-04
7.0000000000e-01,1.6064000000e-04
7.0000000000e-01,1.6010000000e-04
7.0000000000e-01,1.6112000000e-04
7.0000000000e-01,1.6118000000e-04
7.0000000000e-01,1.6012000000e-04
7.0000000000e-01,1.6016000000e-04
7.0000000000e-01,1.6060000000e-04
7.0000000000e-01,1.6092000000e-04
7.0000000000e-01,1.6002000000e-04
7.0000000000e-01,1.6110000000e-04
7.0000000000e-01,1.6058000000e-04
7.0000000000e-01,1.6144000000e-04
7.0000000000e-01,1.6036000000e-04
7.0000000000e-01,1.6124000000e-04
7.0000000000e-01,1.5992000000e-04
7.0000000000e-01,1.6108000000e-04
7.0000000000e-01,1.6260000000e-04
7.0000000000e-01,1.6026000000e-04
7.0000000000e-01,1.6050000000e-04
7.0000000000e-01,1.6212000000e-04
7.0000000000e-01,1.5996000000e-04
7.0000000000e-01,1.5972000000e-04
7.0000000000e-01,1.5980000000e-04
7.0000000000e-01,1.5970000000e-04
8.0000000000e-01,2.2658000000e-04
