# Saved on 2025-07-12T16:03:02.511929
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE14
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00329
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2.3
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.2898606150e-03
1.1440000000e-03,3.2894706237e-03
2.1440000000e-03,3.2895593904e-03
3.1440000000e-03,3.2892313902e-03
4.1440000000e-03,3.2891563023e-03
5.1440000000e-03,3.2896554330e-03
6.1440000000e-03,3.2898926293e-03
7.1440000000e-03,3.2905364060e-03
8.1440000000e-03,3.2888460555e-03
9.1440000000e-03,3.2890943112e-03
1.0144000000e-02,3.2895826735e-03
1.1144000000e-02,3.2901059603e-03
1.2144000000e-02,3.2886734698e-03
1.3144000000e-02,3.2885669498e-03
1.4144000000e-02,3.2892305171e-03
1.5144000000e-02,3.2894767355e-03
1.6144000000e-02,3.2890855800e-03
1.7144000000e-02,3.2891650335e-03
1.8144000000e-02,3.2888294663e-03
1.9144000000e-02,3.2885847031e-03
2.0144000000e-02,3.2889199792e-03
2.1144000000e-02,3.2892008312e-03
2.2144000000e-02,3.2895957702e-03
2.3144000000e-02,3.2895340701e-03
2.4144000000e-02,3.2894616015e-03
2.5144000000e-02,3.2897022902e-03
2.6144000000e-02,3.2884400571e-03
2.7144000000e-02,3.2885721885e-03
2.8144000000e-02,3.2892866875e-03
2.9144000000e-02,3.2888911664e-03
3.0144000000e-02,3.2883518725e-03
3.1144000000e-02,3.2888900023e-03
3.2144000000e-02,3.2895879121e-03
3.3144000000e-02,3.2890646253e-03
3.4144000000e-02,3.2888940768e-03
3.5144000000e-02,3.2892639865e-03
3.6144000000e-02,3.2886839472e-03
3.7144000000e-02,3.2893571188e-03
3.8144000000e-02,3.2890244620e-03
3.9144000000e-02,3.2892913441e-03
4.0144000000e-02,3.2896234188e-03
4.1144000000e-02,3.2897730125e-03
4.2144000000e-02,3.2895489130e-03
4.3144000000e-02,3.2888675923e-03
4.4144000000e-02,3.2888434362e-03
4.5144000000e-02,3.2887465204e-03
4.6144000000e-02,3.2886106055e-03
4.7144000000e-02,3.2882558298e-03
4.8144000000e-02,3.2886356348e-03
4.9144000000e-02,3.2890835428e-03
5.0144000000e-02,3.2892252784e-03
5.1144000000e-02,3.2889805152e-03
5.2144000000e-02,3.2890218426e-03
5.3144000000e-02,3.2892552554e-03
5.4144000000e-02,3.2889348222e-03
5.5144000000e-02,3.2885611290e-03
5.6144000000e-02,3.2894202741e-03
5.7144000000e-02,3.2888239366e-03
5.8144000000e-02,3.2888978603e-03
5.9144000000e-02,3.2886484405e-03
6.0144000000e-02,3.2887465204e-03
6.1144000000e-02,3.2885809196e-03
6.2144000000e-02,3.2879447099e-03
6.3144000000e-02,3.2884933171e-03
6.4144000000e-02,3.2890008879e-03
6.5144000000e-02,3.2891149749e-03
6.6144000000e-02,3.2891251612e-03
6.7144000000e-02,3.2898987411e-03
6.8144000000e-02,3.2892051968e-03
6.9144000000e-02,3.2895794720e-03
7.0144000000e-02,3.2903798274e-03
7.1144000000e-02,3.2891292358e-03
7.2144000000e-02,3.2889159047e-03
7.3144000000e-02,3.2893693424e-03
7.4144000000e-02,3.2895524055e-03
7.5144000000e-02,3.2889854629e-03
7.6144000000e-02,3.2885334804e-03
7.7144000000e-02,3.2904188265e-03
7.8144000000e-02,3.2896970515e-03
7.9144000000e-02,3.2898504287e-03
8.0144000000e-02,3.2893349999e-03
8.1144000000e-02,3.2895844197e-03
8.2144000000e-02,3.2899205689e-03
8.3144000000e-02,3.2891760929e-03
8.4144000000e-02,3.2889301656e-03
8.5144000000e-02,3.2897383790e-03
8.6144000000e-02,3.2894476317e-03
8.7144000000e-02,3.2894854667e-03
8.8144000000e-02,3.2898865175e-03
8.9144000000e-02,3.2891365117e-03
9.0144000000e-02,3.2892145100e-03
9.1144000000e-02,3.2895250479e-03
9.2144000000e-02,3.2887540874e-03
9.3144000000e-02,3.2888207352e-03
9.4144000000e-02,3.2889167778e-03
9.5144000000e-02,3.2897535129e-03
9.6144000000e-02,3.2894889591e-03
9.7144000000e-02,3.2895460026e-03
9.8144000000e-02,3.2886318513e-03
9.9144000000e-02,3.2892101444e-03
1.0014400000e-01,3.2888137503e-03
1.0114400000e-01,3.2889141585e-03
1.0214400000e-01,3.2895471668e-03
1.0314400000e-01,3.2902188832e-03
1.0414400000e-01,3.2903382089e-03
1.0514400000e-01,3.2898123027e-03
1.0614400000e-01,3.2898169593e-03
1.0714400000e-01,3.2902846579e-03
1.0814400000e-01,3.2894033939e-03
1.0914400000e-01,3.2900279621e-03
1.1014400000e-01,3.2891592127e-03
1.1114400000e-01,3.2894400647e-03
1.1214400000e-01,3.2900116639e-03
1.1314400000e-01,3.2885308610e-03
1.1414400000e-01,3.2895922777e-03
1.1514400000e-01,3.2901312807e-03
1.1614400000e-01,3.2904482214e-03
1.1714400000e-01,3.2892281888e-03
1.1814400000e-01,3.2901018858e-03
1.1914400000e-01,3.2898108475e-03
1.2014400000e-01,3.2902180101e-03
1.2114400000e-01,3.2906074193e-03
1.2214400000e-01,3.2909531728e-03
1.2314400000e-01,3.2901170198e-03
1.2414400000e-01,3.2908402500e-03
1.2514400000e-01,3.2899033977e-03
1.2614400000e-01,3.2887267298e-03
1.2714400000e-01,3.2891650335e-03
1.2814400000e-01,3.2895329059e-03
1.2914400000e-01,3.2899348298e-03
1.3014400000e-01,3.2899284270e-03
1.3114400000e-01,3.2899164944e-03
1.3214400000e-01,3.2905797707e-03
1.3314400000e-01,3.2898300560e-03
1.3414400000e-01,3.2893283060e-03
1.3514400000e-01,3.2894624746e-03
1.3614400000e-01,3.2898256904e-03
1.3714400000e-01,3.2901699888e-03
1.3814400000e-01,3.2902741805e-03
1.3914400000e-01,3.2897604979e-03
1.4014400000e-01,3.2900599763e-03
1.4114400000e-01,3.2900180668e-03
1.4214400000e-01,3.2899065991e-03
1.4314400000e-01,3.2893111347e-03
1.4414400000e-01,3.2895270851e-03
1.4514400000e-01,3.2902130624e-03
1.4614400000e-01,3.2901167287e-03
1.4714400000e-01,3.2890200964e-03
1.4814400000e-01,3.2898603240e-03
1.4914400000e-01,3.2903201645e-03
1.5014400000e-01,3.2894627657e-03
1.5114400000e-01,3.2890995499e-03
1.5214400000e-01,3.2902223757e-03
1.5314400000e-01,3.2904496766e-03
1.5414400000e-01,3.2895381446e-03
1.5514400000e-01,3.2908617868e-03
1.5614400000e-01,3.2909616129e-03
1.5714400000e-01,3.2908664434e-03
1.5814400000e-01,3.2903836109e-03
1.5914400000e-01,3.2901865779e-03
1.6014400000e-01,3.2897939673e-03
1.6114400000e-01,3.2898469362e-03
1.6214400000e-01,3.2904700493e-03
1.6314400000e-01,3.2895585173e-03
1.6414400000e-01,3.2889377326e-03
1.6514400000e-01,3.2897054916e-03
1.6614400000e-01,3.2886341796e-03
1.6714400000e-01,3.2891854062e-03
1.6814400000e-01,3.2892628224e-03
1.6914400000e-01,3.2892587478e-03
1.7014400000e-01,3.2897671917e-03
1.7114400000e-01,3.2906924025e-03
1.7214400000e-01,3.2894260949e-03
1.7314400000e-01,3.2898772042e-03
1.7414400000e-01,3.2897249912e-03
1.7514400000e-01,3.2893591560e-03
1.7614400000e-01,3.2892730087e-03
1.7714400000e-01,3.2888990245e-03
1.7814400000e-01,3.2887220732e-03
1.7914400000e-01,3.2890794682e-03
1.8014400000e-01,3.2887421548e-03
1.8114400000e-01,3.2890966395e-03
1.8214400000e-01,3.2887444831e-03
1.8314400000e-01,3.2891691080e-03
1.8414400000e-01,3.2891146839e-03
1.8514400000e-01,3.2894243486e-03
1.8614400000e-01,3.2891315641e-03
1.8714400000e-01,3.2896985067e-03
1.8814400000e-01,3.2897829078e-03
1.8914400000e-01,3.2892872696e-03
1.9014400000e-01,3.2897834899e-03
1.9114400000e-01,3.2901484519e-03
1.9214400000e-01,3.2903259853e-03
1.9314400000e-01,3.2888716669e-03
1.9414400000e-01,3.2892808667e-03
1.9514400000e-01,3.2891958836e-03
1.9614400000e-01,3.2902313978e-03
1.9714400000e-01,3.2895573531e-03
1.9814400000e-01,3.2899447251e-03
1.9914400000e-01,3.2906015986e-03
2.0014400000e-01,3.2903251122e-03
2.0114400000e-01,3.2896429184e-03
2.0214400000e-01,3.2892683521e-03
2.0314400000e-01,3.2898457721e-03
2.0414400000e-01,3.2894156175e-03
2.0514400000e-01,3.2894412288e-03
2.0614400000e-01,3.2900241786e-03
2.0714400000e-01,3.2901504892e-03
2.0814400000e-01,3.2900596852e-03
2.0914400000e-01,3.2900023507e-03
2.1014400000e-01,3.2894845936e-03
2.1114400000e-01,3.2908393769e-03
2.1214400000e-01,3.2894581091e-03
2.1314400000e-01,3.2904354157e-03
2.1414400000e-01,3.2898306381e-03
2.1514400000e-01,3.2899552025e-03
2.1614400000e-01,3.2901097438e-03
2.1714400000e-01,3.2892881427e-03
2.1814400000e-01,3.2894656761e-03
2.1914400000e-01,3.2892983290e-03
2.2014400000e-01,3.2900503720e-03
2.2114400000e-01,3.2903286046e-03
2.2214400000e-01,3.2906382694e-03
2.2314400000e-01,3.2904199907e-03
2.2414400000e-01,3.2906909473e-03
2.2514400000e-01,3.2900198130e-03
2.2614400000e-01,3.2894307515e-03
2.2714400000e-01,3.2899604412e-03
2.2814400000e-01,3.2892698073e-03
2.2914400000e-01,3.2892974559e-03
2.3014400000e-01,3.2888038550e-03
2.3114400000e-01,3.2886411645e-03
2.3214400000e-01,3.2892302261e-03
2.3314400000e-01,3.2899199869e-03
2.3414400000e-01,3.2902430394e-03
2.3514400000e-01,3.2903900137e-03
2.3614400000e-01,3.2903632382e-03
2.3714400000e-01,3.2902022940e-03
2.3814400000e-01,3.2904846012e-03
2.3914400000e-01,3.2898574136e-03
2.4014400000e-01,3.2901327359e-03
2.4114400000e-01,3.2908501453e-03
2.4214400000e-01,3.2896862831e-03
2.4314400000e-01,3.2889476279e-03
2.4414400000e-01,3.2899755752e-03
2.4514400000e-01,3.2898905920e-03
2.4614400000e-01,3.2898935024e-03
2.4714400000e-01,3.2891466981e-03
2.4814400000e-01,3.2907066634e-03
2.4914400000e-01,3.2904651016e-03
2.5014400000e-01,3.2910768641e-03
2.5114400000e-01,3.2902765088e-03
2.5214400000e-01,3.2894682954e-03
2.5314400000e-01,3.2892674790e-03
2.5414400000e-01,3.2908818685e-03
2.5514400000e-01,3.2901900704e-03
2.5614400000e-01,3.2902692328e-03
2.5714400000e-01,3.2901595114e-03
2.5814400000e-01,3.2894269680e-03
2.5914400000e-01,3.2889074646e-03
2.6014400000e-01,3.2885823748e-03
2.6114400000e-01,3.2900017686e-03
2.6214400000e-01,3.2896237099e-03
2.6314400000e-01,3.2896449557e-03
2.6414400000e-01,3.2896595076e-03
2.6514400000e-01,3.2902980456e-03
2.6614400000e-01,3.2898058998e-03
2.6714400000e-01,3.2893536263e-03
2.6814400000e-01,3.2891856972e-03
2.6914400000e-01,3.2899575308e-03
2.7014400000e-01,3.2906592241e-03
2.7114400000e-01,3.2906859997e-03
2.7214400000e-01,3.2904444379e-03
2.7314400000e-01,3.2896370976e-03
2.7414400000e-01,3.2906493288e-03
2.7514400000e-01,3.2899313373e-03
2.7614400000e-01,3.2904438558e-03
2.7714400000e-01,3.2897360506e-03
2.7814400000e-01,3.2901743543e-03
2.7914400000e-01,3.2893926254e-03
2.8014400000e-01,3.2900940278e-03
2.8114400000e-01,3.2899781945e-03
2.8214400000e-01,3.2908507274e-03
2.8314400000e-01,3.2906219712e-03
2.8414400000e-01,3.2894886681e-03
2.8514400000e-01,3.2903481042e-03
2.8614400000e-01,3.2911199378e-03
2.8714400000e-01,3.2901117811e-03
2.8814400000e-01,3.2908940921e-03
2.8914400000e-01,3.2916237251e-03
2.9014400000e-01,3.2910497976e-03
2.9114400000e-01,3.2906077104e-03
2.9214400000e-01,3.2903693500e-03
2.9314400000e-01,3.2896472840e-03
2.9414400000e-01,3.2898745849e-03
2.9514400000e-01,3.2896702760e-03
2.9614400000e-01,3.2901289524e-03
2.9714400000e-01,3.2904066029e-03
2.9814400000e-01,3.2902340172e-03
2.9914400000e-01,3.2907430432e-03
3.0014400000e-01,3.2898763311e-03
3.0114400000e-01,3.2907331479e-03
3.0214400000e-01,3.2907500281e-03
3.0314400000e-01,3.2903801184e-03
3.0414400000e-01,3.2902020030e-03
3.0514400000e-01,3.2896662015e-03
3.0614400000e-01,3.2902319799e-03
3.0714400000e-01,3.2911059679e-03
3.0814400000e-01,3.2896781340e-03
3.0914400000e-01,3.2892703894e-03
3.1014400000e-01,3.2885963446e-03
3.1114400000e-01,3.2891696901e-03
3.1214400000e-01,3.2885931432e-03
3.1314400000e-01,3.2895608456e-03
3.1414400000e-01,3.2896947232e-03
3.1514400000e-01,3.2892206218e-03
3.1614400000e-01,3.2893376192e-03
3.1714400000e-01,3.2894508331e-03
3.1814400000e-01,3.2886280678e-03
3.1914400000e-01,3.2893981552e-03
3.2014400000e-01,3.2900003134e-03
3.2114400000e-01,3.2900672522e-03
3.2214400000e-01,3.2898565405e-03
3.2314400000e-01,3.2891790033e-03
3.2414400000e-01,3.2894668402e-03
3.2514400000e-01,3.2892587478e-03
3.2614400000e-01,3.2893801108e-03
3.2714400000e-01,3.2888850546e-03
3.2814400000e-01,3.2889065915e-03
3.2914400000e-01,3.2894843025e-03
3.3014400000e-01,3.2894423930e-03
3.3114400000e-01,3.2900451333e-03
3.3214400000e-01,3.2901670784e-03
3.3314400000e-01,3.2893504249e-03
3.3414400000e-01,3.2895131153e-03
3.3514400000e-01,3.2887820271e-03
3.3614400000e-01,3.2891603769e-03
3.3714400000e-01,3.2893707976e-03
3.3814400000e-01,3.2885817927e-03
3.3914400000e-01,3.2894525793e-03
3.4014400000e-01,3.2896600896e-03
3.4114400000e-01,3.2902546809e-03
3.4214400000e-01,3.2897258643e-03
3.4314400000e-01,3.2886862755e-03
3.4414400000e-01,3.2893958269e-03
3.4514400000e-01,3.2894886681e-03
3.4614400000e-01,3.2892322633e-03
3.4714400000e-01,3.2896216726e-03
3.4814400000e-01,3.2887852285e-03
3.4914400000e-01,3.2896417542e-03
3.5014400000e-01,3.2888367423e-03
3.5114400000e-01,3.2893894240e-03
3.5214400000e-01,3.2886167173e-03
3.5314400000e-01,3.2900582300e-03
3.5414400000e-01,3.2896516495e-03
3.5514400000e-01,3.2893577009e-03
3.5614400000e-01,3.2890602597e-03
3.5714400000e-01,3.2896202174e-03
3.5814400000e-01,3.2891464070e-03
3.5914400000e-01,3.2894432661e-03
3.6014400000e-01,3.2887439011e-03
3.6114400000e-01,3.2885151450e-03
3.6214400000e-01,3.2891568844e-03
3.6314400000e-01,3.2887913403e-03
3.6414400000e-01,3.2887962880e-03
3.6514400000e-01,3.2890326111e-03
3.6614400000e-01,3.2896385528e-03
3.6714400000e-01,3.2898999052e-03
3.6814400000e-01,3.2889662543e-03
3.6914400000e-01,3.2892575837e-03
3.7014400000e-01,3.2892535091e-03
3.7114400000e-01,3.2908481080e-03
3.7214400000e-01,3.2894112519e-03
3.7314400000e-01,3.2899325015e-03
3.7414400000e-01,3.2904153340e-03
3.7514400000e-01,3.2894112519e-03
3.7614400000e-01,3.2890174771e-03
3.7714400000e-01,3.2887002453e-03
3.7814400000e-01,3.2883844688e-03
3.7914400000e-01,3.2888317946e-03
3.8014400000e-01,3.2892898889e-03
3.8114400000e-01,3.2888847636e-03
3.8214400000e-01,3.2895273762e-03
3.8314400000e-01,3.2895684126e-03
3.8414400000e-01,3.2889444265e-03
3.8514400000e-01,3.2886254485e-03
3.8614400000e-01,3.2891120645e-03
3.8714400000e-01,3.2897436176e-03
3.8814400000e-01,3.2890686998e-03
3.8914400000e-01,3.2888169517e-03
3.9014400000e-01,3.2893475145e-03
3.9114400000e-01,3.2894039759e-03
3.9214400000e-01,3.2886466943e-03
3.9314400000e-01,3.2878172351e-03
3.9414400000e-01,3.2880040817e-03
3.9514400000e-01,3.2886370900e-03
3.9614400000e-01,3.2879380160e-03
3.9714400000e-01,3.2889586873e-03
3.9814400000e-01,3.2884805114e-03
3.9914400000e-01,3.2900390215e-03
4.0014400000e-01,3.2899418147e-03
4.0114400000e-01,3.2897997880e-03
4.0214400000e-01,3.2896775519e-03
4.0314400000e-01,3.2898981590e-03
4.0414400000e-01,3.2900148653e-03
4.0514400000e-01,3.2896117773e-03
4.0614400000e-01,3.2896324410e-03
4.0714400000e-01,3.2902319799e-03
4.0814400000e-01,3.2903591637e-03
